index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.6122296,0.00019451109
1,0.000100000005,-0.0010771439,-0.002218102,-0.0035171495,0.6122296,0.00019451109
2,0.00020000001,-0.0021542879,-0.004436204,-0.007034299,0.6122296,0.00019451109
3,0.0003,-0.003231432,-0.006654307,-0.010551449,0.6122296,0.00019451109
4,0.00040000002,-0.0043085758,-0.008872408,-0.014068598,0.6122296,0.00019451109
5,0.0005,-0.0053857197,-0.0110905105,-0.017585747,0.6122296,0.00019451109
6,0.0006,-0.006462864,-0.013308614,-0.021102898,0.6122296,0.00019451109
7,0.00070000003,-0.0075400076,-0.015526715,-0.024620045,0.6122296,0.00019451109
8,0.00080000004,-0.0086171515,-0.017744817,-0.028137196,0.6122296,0.00019451109
9,0.00090000004,-0.009694295,-0.019962918,-0.031654343,0.6122296,0.00019451109
10,0.001,-0.010771439,-0.022181021,-0.035171494,0.6122296,0.00019451109
11,0.0035615386,-0.012392395,-0.018706731,-0.042266734,0.907145,0.005781259
12,0.006123077,-0.014013352,-0.015232443,-0.049361974,0.907145,0.005781259
13,0.008684616,-0.015634308,-0.011758153,-0.056457214,0.907145,0.005781259
14,0.011246154,-0.017255263,-0.008283865,-0.063552454,0.907145,0.005781259
15,0.013807693,-0.01887622,-0.004809575,-0.070647694,0.907145,0.005781259
16,0.016369231,-0.020497175,-0.0013352856,-0.077742934,0.907145,0.005781259
17,0.018930769,-0.02211813,0.0021390026,-0.08483817,0.907145,0.005781259
18,0.021492308,-0.023739088,0.0056132926,-0.09193342,0.907145,0.005781259
19,0.024053846,-0.02536004,0.009087581,-0.099028654,0.907145,0.005781259
20,0.026615385,-0.026980998,0.012561871,-0.106123894,0.907145,0.005781259
21,0.029176923,-0.029318145,0.00688759,-0.10845532,1.226971,0.012415808
22,0.03173846,-0.031655297,0.0012133103,-0.110786766,1.226971,0.012415808
23,0.0343,-0.033992443,-0.004460971,-0.11311819,1.226971,0.012415808
24,0.03686154,-0.03632959,-0.01013525,-0.11544962,1.226971,0.012415808
25,0.03942308,-0.038666736,-0.015809532,-0.11778105,1.226971,0.012415808
26,0.041984614,-0.041003887,-0.021483812,-0.12011249,1.226971,0.012415808
27,0.044546153,-0.043341033,-0.02715809,-0.122443914,1.226971,0.012415808
