index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.59418595,0.0004909128
1,0.000100000005,0.0019814959,0.0014430037,-0.003480004,0.59418595,0.0004909128
2,0.00020000001,0.0039629918,0.0028860073,-0.006960008,0.59418595,0.0004909128
3,0.0003,0.005944488,0.0043290113,-0.0104400115,0.59418595,0.0004909128
4,0.00040000002,0.0079259835,0.0057720146,-0.013920016,0.59418595,0.0004909128
5,0.0005,0.009907479,0.0072150184,-0.017400019,0.59418595,0.0004909128
6,0.0006,0.011888976,0.008658023,-0.020880023,0.59418595,0.0004909128
7,0.00070000003,0.013870471,0.010101026,-0.024360025,0.59418595,0.0004909128
8,0.00080000004,0.015851967,0.011544029,-0.027840031,0.59418595,0.0004909128
9,0.00090000004,0.017833462,0.0129870325,-0.03132003,0.59418595,0.0004909128
10,0.001,0.019814959,0.014430037,-0.034800038,0.59418595,0.0004909128
11,0.0035615386,0.025248457,0.015900018,-0.039346527,1.1921177,0.022561809
12,0.006123077,0.030681957,0.01737,-0.04389302,1.1921177,0.022561809
13,0.008684616,0.036115456,0.018839983,-0.04843951,1.1921177,0.022561809
14,0.011246154,0.041548952,0.020309966,-0.052986003,1.1921177,0.022561809
15,0.013807693,0.046982452,0.021779947,-0.057532493,1.1921177,0.022561809
16,0.016369231,0.052415952,0.02324993,-0.062078986,1.1921177,0.022561809
17,0.018930769,0.05784945,0.02471991,-0.066625476,1.1921177,0.022561809
18,0.021492308,0.063282944,0.026189893,-0.07117196,1.1921177,0.022561809
19,0.024053846,0.068716444,0.027659874,-0.075718455,1.1921177,0.022561809
20,0.026615385,0.074149944,0.029129857,-0.08026495,1.1921177,0.022561809
21,0.029176923,0.075861946,0.030464374,-0.08832495,1.7771271,0.054738462
22,0.03173846,0.077573955,0.03179889,-0.09638494,1.7771271,0.054738462
23,0.0343,0.079285964,0.03313341,-0.10444495,1.7771271,0.054738462
24,0.03686154,0.08099797,0.034467928,-0.112504944,1.7771271,0.054738462
25,0.03942308,0.08270997,0.035802446,-0.12056495,1.7771271,0.054738462
26,0.041984614,0.08442198,0.037136964,-0.12862495,1.7771271,0.054738462
27,0.044546153,0.08613398,0.038471483,-0.13668494,1.7771271,0.054738462
28,0.047107693,0.08784599,0.039805997,-0.14474495,1.7771271,0.054738462
29,0.04966923,0.089558,0.041140515,-0.15280494,1.7771271,0.054738462
30,0.052230768,0.09127,0.042475034,-0.16086495,1.7771271,0.054738462
31,0.054792307,0.0953375,0.05163703,-0.16510245,2.4953249,0.09045063
32,0.057353847,0.099405006,0.060799032,-0.16933995,2.4953249,0.09045063
33,0.059915386,0.1034725,0.069961034,-0.17357746,2.4953249,0.09045063
34,0.062476926,0.10754001,0.079123035,-0.17781498,2.4953249,0.09045063
35,0.06503846,0.11160751,0.08828503,-0.18205248,2.4953249,0.09045063
36,0.0676,0.11567501,0.09744703,-0.18629,2.4953249,0.09045063
37,0.07016154,0.11974251,0.10660903,-0.19052748,2.4953249,0.09045063
38,0.072723076,0.12381001,0.115771025,-0.194765,2.4953249,0.09045063
39,0.075284615,0.12787752,0.12493303,-0.19900249,2.4953249,0.09045063
40,0.077846155,0.13194501,0.13409503,-0.20324,2.4953249,0.09045063
41,0.08040769,0.140847,0.13774003,-0.213091,3.3509145,0.13387677
42,0.08296923,0.149749,0.14138505,-0.22294201,3.3509145,0.13387677
43,0.08553077,0.158651,0.14503005,-0.232793,3.3509145,0.13387677
44,0.08809231,0.16755298,0.14867505,-0.24264401,3.3509145,0.13387677
45,0.09065385,0.17645496,0.15232006,-0.252495,3.3509145,0.13387677
46,0.09321539,0.18535696,0.15596506,-0.262346,3.3509145,0.13387677
47,0.09577692,0.19425894,0.15961006,-0.27219698,3.3509145,0.13387677
48,0.09833847,0.20316094,0.16325508,-0.282048,3.3509145,0.13387677
49,0.100899994,0.21206293,0.16690007,-0.29189897,3.3509145,0.13387677
50,0.10346154,0.22096492,0.17054509,-0.30174997,3.3509145,0.13387677
51,0.10602307,0.22170691,0.17004158,-0.31207746,3.5932684,0.18995053
52,0.10858463,0.22244893,0.16953808,-0.32240498,3.5932684,0.18995053
53,0.11114616,0.22319092,0.16903456,-0.33273247,3.5932684,0.18995053
54,0.1137077,0.22393292,0.16853106,-0.34306,3.5932684,0.18995053
55,0.11626923,0.22467493,0.16802754,-0.35338748,3.5932684,0.18995053
56,0.118830785,0.22541693,0.16752404,-0.363715,3.5932684,0.18995053
57,0.12139231,0.22615892,0.16702051,-0.37404248,3.5932684,0.18995053
58,0.12395386,0.22690094,0.16651702,-0.38437,3.5932684,0.18995053
59,0.12651539,0.22764292,0.1660135,-0.39469746,3.5932684,0.18995053
60,0.12907693,0.22838493,0.16550998,-0.40502498,3.5932684,0.18995053
61,0.13163847,0.22421242,0.1792,-0.41879144,3.963135,0.25238848
62,0.1342,0.22003995,0.19289002,-0.432558,3.963135,0.25238848
63,0.13676155,0.21586743,0.20658001,-0.44632447,3.963135,0.25238848
64,0.13932309,0.21169496,0.22027004,-0.460091,3.963135,0.25238848
65,0.14188462,0.20752245,0.23396003,-0.47385746,3.963135,0.25238848
66,0.14444616,0.20334995,0.24765006,-0.487624,3.963135,0.25238848
67,0.1470077,0.19917744,0.26134005,-0.50139046,3.963135,0.25238848
68,0.14956923,0.19500497,0.27503008,-0.515157,3.963135,0.25238848
69,0.15213077,0.19083245,0.28872007,-0.52892345,3.963135,0.25238848
70,0.1546923,0.18665996,0.3024101,-0.54269,3.963135,0.25238848
71,0.15725383,0.17633246,0.3041966,-0.535168,3.5475607,0.3014978
72,0.15981539,0.16600499,0.3059831,-0.527646,3.5475607,0.3014978
73,0.16237693,0.15567747,0.3077696,-0.520124,3.5475607,0.3014978
74,0.16493845,0.14534998,0.3095561,-0.51260203,3.5475607,0.3014978
