index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.6026678,0.0005226156
1,0.000100000005,0.0026945765,-0.0033131714,0.00031628084,0.6026678,0.0005226156
2,0.00020000001,0.005389153,-0.006626343,0.0006325617,0.6026678,0.0005226156
3,0.0003,0.00808373,-0.009939515,0.0009488425,0.6026678,0.0005226156
4,0.00040000002,0.010778306,-0.013252686,0.0012651234,0.6026678,0.0005226156
5,0.0005,0.013472882,-0.016565857,0.0015814041,0.6026678,0.0005226156
6,0.0006,0.01616746,-0.01987903,0.001897685,0.6026678,0.0005226156
7,0.00070000003,0.018862035,-0.0231922,0.0022139656,0.6026678,0.0005226156
8,0.00080000004,0.021556612,-0.026505372,0.0025302467,0.6026678,0.0005226156
9,0.00090000004,0.024251187,-0.029818542,0.0028465274,0.6026678,0.0005226156
10,0.001,0.026945764,-0.033131715,0.0031628083,0.6026678,0.0005226156
11,0.0035615386,0.03358609,-0.036506135,0.009989938,1.3561565,0.02010744
12,0.006123077,0.040226415,-0.039880555,0.016817067,1.3561565,0.02010744
13,0.008684616,0.046866737,-0.04325498,0.023644198,1.3561565,0.02010744
14,0.011246154,0.053507067,-0.0466294,0.030471327,1.3561565,0.02010744
15,0.013807693,0.060147386,-0.05000382,0.037298456,1.3561565,0.02010744
16,0.016369231,0.06678771,-0.05337824,0.044125587,1.3561565,0.02010744
17,0.018930769,0.073428035,-0.056752656,0.050952714,1.3561565,0.02010744
18,0.021492308,0.080068365,-0.06012708,0.057779845,1.3561565,0.02010744
19,0.024053846,0.08670869,-0.0635015,0.064606965,1.3561565,0.02010744
20,0.026615385,0.09334901,-0.06687592,0.0714341,1.3561565,0.02010744
21,0.029176923,0.09517225,-0.06421003,0.0741372,0.98884803,0.046479784
22,0.03173846,0.096995495,-0.061544143,0.07684031,0.98884803,0.046479784
23,0.0343,0.098818734,-0.058878247,0.07954341,0.98884803,0.046479784
24,0.03686154,0.10064197,-0.05621236,0.08224653,0.98884803,0.046479784
25,0.03942308,0.10246521,-0.053546466,0.08494963,0.98884803,0.046479784
26,0.041984614,0.10428846,-0.050880577,0.08765273,0.98884803,0.046479784
27,0.044546153,0.1061117,-0.048214685,0.09035583,0.98884803,0.046479784
28,0.047107693,0.10793494,-0.045548797,0.093058944,0.98884803,0.046479784
29,0.04966923,0.10975817,-0.042882904,0.09576204,0.98884803,0.046479784
30,0.052230768,0.111581415,-0.040217012,0.098465145,0.98884803,0.046479784
31,0.054792307,0.12953258,-0.029136397,0.09937367,1.5969622,0.07798663
32,0.057353847,0.14748374,-0.01805578,0.10028221,1.5969622,0.07798663
33,0.059915386,0.1654349,-0.006975161,0.10119073,1.5969622,0.07798663
34,0.062476926,0.18338606,0.0041054543,0.102099255,1.5969622,0.07798663
35,0.06503846,0.2013372,0.015186071,0.103007786,1.5969622,0.07798663
36,0.0676,0.21928836,0.02626669,0.10391632,1.5969622,0.07798663
37,0.07016154,0.23723952,0.0373473,0.10482484,1.5969622,0.07798663
38,0.072723076,0.25519067,0.048427925,0.10573337,1.5969622,0.07798663
39,0.075284615,0.27314183,0.059508536,0.106641896,1.5969622,0.07798663
40,0.077846155,0.291093,0.070589155,0.10755043,1.5969622,0.07798663
41,0.08040769,0.29254493,0.068917066,0.11642407,1.5854328,0.10751712
42,0.08296923,0.29399687,0.067244984,0.12529771,1.5854328,0.10751712
43,0.08553077,0.29544884,0.065572895,0.13417135,1.5854328,0.10751712
44,0.08809231,0.29690075,0.06390081,0.14304501,1.5854328,0.10751712
45,0.09065385,0.29835272,0.06222872,0.15191863,1.5854328,0.10751712
46,0.09321539,0.29980466,0.060556635,0.16079228,1.5854328,0.10751712
47,0.09577692,0.3012566,0.058884546,0.16966592,1.5854328,0.10751712
48,0.09833847,0.30270854,0.057212465,0.17853956,1.5854328,0.10751712
49,0.100899994,0.30416048,0.05554037,0.1874132,1.5854328,0.10751712
50,0.10346154,0.30561242,0.053868286,0.19628684,1.5854328,0.10751712
51,0.10602307,0.31602404,0.03951944,0.19341165,2.5009942,0.14512536
52,0.10858463,0.32643566,0.025170598,0.19053645,2.5009942,0.14512536
53,0.11114616,0.33684728,0.010821747,0.18766126,2.5009942,0.14512536
54,0.1137077,0.3472589,-0.0035270937,0.18478607,2.5009942,0.14512536
55,0.11626923,0.3576705,-0.01787594,0.18191087,2.5009942,0.14512536
56,0.118830785,0.36808214,-0.03222479,0.17903568,2.5009942,0.14512536
57,0.12139231,0.37849373,-0.046573624,0.17616047,2.5009942,0.14512536
58,0.12395386,0.38890535,-0.060922474,0.17328528,2.5009942,0.14512536
59,0.12651539,0.39931697,-0.075271316,0.17041008,2.5009942,0.14512536
60,0.12907693,0.4097286,-0.089620166,0.16753489,2.5009942,0.14512536
61,0.13163847,0.42338133,-0.10446977,0.17271705,3.4487705,0.18225463
62,0.1342,0.43703404,-0.11931938,0.17789924,3.4487705,0.18225463
63,0.13676155,0.45068678,-0.13416898,0.1830814,3.4487705,0.18225463
64,0.13932309,0.46433952,-0.1490186,0.1882636,3.4487705,0.18225463
65,0.14188462,0.47799224,-0.1638682,0.19344574,3.4487705,0.18225463
66,0.14444616,0.49164498,-0.17871782,0.19862792,3.4487705,0.18225463
67,0.1470077,0.5052977,-0.19356743,0.2038101,3.4487705,0.18225463
68,0.14956923,0.51895046,-0.20841703,0.20899227,3.4487705,0.18225463
69,0.15213077,0.53260314,-0.22326665,0.21417443,3.4487705,0.18225463
70,0.1546923,0.5462559,-0.23811625,0.21935661,3.4487705,0.18225463
71,0.15725383,0.5575605,-0.22757207,0.2185504,3.544605,0.21822943
72,0.15981539,0.5688652,-0.21702787,0.21774422,3.544605,0.21822943
73,0.16237693,0.5801698,-0.20648369,0.216938,3.544605,0.21822943
74,0.16493845,0.5914745,-0.19593951,0.2161318,3.544605,0.21822943
75,0.16749999,0.6027791,-0.1853953,0.2153256,3.544605,0.21822943
76,0.17006153,0.61408377,-0.17485112,0.21451941,3.544605,0.21822943
77,0.17262307,0.6253884,-0.16430694,0.2137132,3.544605,0.21822943
78,0.17518461,0.63669306,-0.15376274,0.212907,3.544605,0.21822943
79,0.17774615,0.6479976,-0.14321855,0.21210079,3.544605,0.21822943
80,0.18030769,0.6593023,-0.13267437,0.21129459,3.544605,0.21822943
81,0.18286921,0.67675185,-0.11850149,0.21382792,3.9473546,0.26072592
82,0.18543077,0.6942015,-0.10432863,0.21636125,3.9473546,0.26072592
83,0.1879923,0.7116511,-0.09015576,0.2188946,3.9473546,0.26072592
84,0.19055384,0.7291007,-0.0759829,0.22142792,3.9473546,0.26072592
85,0.19311538,0.7465503,-0.061810028,0.22396126,3.9473546,0.26072592
86,0.19567692,0.76399994,-0.04763716,0.2264946,3.9473546,0.26072592
87,0.19823846,0.7814495,-0.033464294,0.22902793,3.9473546,0.26072592
88,0.2008,0.79889905,-0.019291423,0.23156126,3.9473546,0.26072592
89,0.20336153,0.8163487,-0.0051185554,0.23409459,3.9473546,0.26072592
90,0.20592308,0.8337983,0.009054313,0.23662792,3.9473546,0.26072592
91,0.2084846,0.8295076,0.00492951,0.2497101,3.5952246,0.30816475
92,0.21104616,0.8252169,0.0008047074,0.26279226,3.5952246,0.30816475
93,0.2136077,0.82092625,-0.0033200956,0.27587444,3.5952246,0.30816475
94,0.21616924,0.8166356,-0.0074448986,0.2889566,3.5952246,0.30816475
95,0.21873078,0.8123449,-0.011569701,0.30203876,3.5952246,0.30816475
96,0.22129232,0.8080542,-0.015694505,0.31512094,3.5952246,0.30816475
97,0.22385384,0.8037635,-0.019819308,0.3282031,3.5952246,0.30816475
98,0.2264154,0.79947287,-0.02394411,0.3412853,3.5952246,0.30816475
99,0.2289769,0.7951821,-0.028068913,0.35436743,3.5952246,0.30816475
100,0.23153846,0.79089147,-0.032193717,0.3674496,3.5952246,0.30816475
101,0.23409998,0.8173178,-0.06218209,0.3542147,4.321968,0.35439286
102,0.23666155,0.84374416,-0.09217046,0.34097987,4.321968,0.35439286
103,0.23922308,0.87017053,-0.12215884,0.32774496,4.321968,0.35439286
104,0.24178462,0.8965969,-0.1521472,0.3145101,4.321968,0.35439286
105,0.24434614,0.9230232,-0.18213558,0.3012752,4.321968,0.35439286
106,0.24690771,0.9494496,-0.21212396,0.28804034,4.321968,0.35439286
107,0.24946922,0.97587585,-0.24211232,0.27480543,4.321968,0.35439286
108,0.25203076,1.0023023,-0.2721007,0.26157057,4.321968,0.35439286
109,0.2545923,1.0287285,-0.30208907,0.24833567,4.321968,0.35439286
110,0.25715384,1.0551549,-0.33207744,0.23510079,4.321968,0.35439286
111,0.25971538,1.0740579,-0.3382914,0.23390156,4.660937,0.41106826
112,0.26227692,1.0929612,-0.34450537,0.23270236,4.660937,0.41106826
113,0.26483846,1.1118642,-0.3507193,0.23150313,4.660937,0.41106826
114,0.26740003,1.1307673,-0.3569333,0.23030391,4.660937,0.41106826
115,0.26996154,1.1496704,-0.3631472,0.22910468,4.660937,0.41106826
116,0.2725231,1.1685736,-0.36936116,0.22790547,4.660937,0.41106826
117,0.2750846,1.1874766,-0.37557513,0.22670624,4.660937,0.41106826
118,0.27764615,1.2063798,-0.3817891,0.22550702,4.660937,0.41106826
119,0.2802077,1.2252828,-0.38800302,0.22430779,4.660937,0.41106826
120,0.28276923,1.2441859,-0.39421698,0.22310857,4.660937,0.41106826
121,0.28533077,1.2897115,-0.3719627,0.21274035,5.7920265,0.46540555
122,0.2878923,1.3352371,-0.34970847,0.20237215,5.7920265,0.46540555
