index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.6118867,0.00021401996
1,0.000100000005,8.630848e-05,0.0042700656,0.00044452824,0.6118867,0.00021401996
2,0.00020000001,0.00017261696,0.008540131,0.0008890565,0.6118867,0.00021401996
3,0.0003,0.00025892543,0.012810198,0.0013335848,0.6118867,0.00021401996
4,0.00040000002,0.00034523392,0.017080262,0.001778113,0.6118867,0.00021401996
5,0.0005,0.00043154237,0.021350328,0.0022226411,0.6118867,0.00021401996
6,0.0006,0.00051785086,0.025620395,0.0026671696,0.6118867,0.00021401996
7,0.00070000003,0.0006041593,0.029890459,0.0031116975,0.6118867,0.00021401996
8,0.00080000004,0.00069046783,0.034160525,0.003556226,0.6118867,0.00021401996
9,0.00090000004,0.0007767762,0.03843059,0.004000754,0.6118867,0.00021401996
10,0.001,0.00086308474,0.042700656,0.0044452823,0.6118867,0.00021401996
11,0.0035615386,0.00071345706,0.050400656,0.0012832396,1.3197157,0.006739219
12,0.006123077,0.00056382956,0.058100656,-0.0018788031,1.3197157,0.006739219
13,0.008684616,0.00041420187,0.06580066,-0.005040846,1.3197157,0.006739219
14,0.011246154,0.00026457428,0.07350066,-0.008202888,1.3197157,0.006739219
15,0.013807693,0.000114946655,0.08120066,-0.011364931,1.3197157,0.006739219
16,0.016369231,-3.468097e-05,0.08890066,-0.014526974,1.3197157,0.006739219
17,0.018930769,-0.00018430856,0.09660067,-0.017689016,1.3197157,0.006739219
18,0.021492308,-0.0003339362,0.10430066,-0.020851059,1.3197157,0.006739219
19,0.024053846,-0.00048356378,0.11200066,-0.024013102,1.3197157,0.006739219
20,0.026615385,-0.00063319143,0.11970066,-0.027175145,1.3197157,0.006739219
21,0.029176923,-0.0041654925,0.125968,-0.02428938,1.7554193,0.01468331
22,0.03173846,-0.0076977937,0.13223533,-0.021403618,1.7554193,0.01468331
23,0.0343,-0.011230094,0.13850267,-0.018517854,1.7554193,0.01468331
24,0.03686154,-0.014762396,0.14477001,-0.015632091,1.7554193,0.01468331
25,0.03942308,-0.018294696,0.15103734,-0.0127463285,1.7554193,0.01468331
26,0.041984614,-0.021826997,0.15730467,-0.009860565,1.7554193,0.01468331
27,0.044546153,-0.025359297,0.16357201,-0.006974802,1.7554193,0.01468331
28,0.047107693,-0.028891599,0.16983935,-0.0040890384,1.7554193,0.01468331
29,0.04966923,-0.0324239,0.17610668,-0.0012032752,1.7554193,0.01468331
30,0.052230768,-0.0359562,0.18237402,0.0016824882,1.7554193,0.01468331
31,0.054792307,-0.03795146,0.18672693,0.00084051595,1.8680695,0.023950476
32,0.057353847,-0.039946716,0.19107987,-1.4562393e-06,1.8680695,0.023950476
33,0.059915386,-0.04194197,0.19543278,-0.0008434284,1.8680695,0.023950476
34,0.062476926,-0.043937232,0.19978571,-0.0016854006,1.8680695,0.023950476
35,0.06503846,-0.045932487,0.20413862,-0.002527373,1.8680695,0.023950476
36,0.0676,-0.04792775,0.20849156,-0.003369345,1.8680695,0.023950476
37,0.07016154,-0.049923003,0.21284446,-0.0042113173,1.8680695,0.023950476
38,0.072723076,-0.051918264,0.21719739,-0.0050532897,1.8680695,0.023950476
39,0.075284615,-0.05391352,0.2215503,-0.0058952617,1.8680695,0.023950476
40,0.077846155,-0.055908777,0.22590323,-0.006737234,1.8680695,0.023950476
41,0.08040769,-0.053410053,0.23244374,-0.004519346,2.143643,0.03489036
42,0.08296923,-0.050911333,0.23898426,-0.0023014587,2.143643,0.03489036
43,0.08553077,-0.048412606,0.24552476,-8.3570834e-05,2.143643,0.03489036
44,0.08809231,-0.045913886,0.2520653,0.0021343166,2.143643,0.03489036
45,0.09065385,-0.043415163,0.2586058,0.004352204,2.143643,0.03489036
46,0.09321539,-0.040916443,0.26514632,0.0065700924,2.143643,0.03489036
47,0.09577692,-0.03841772,0.27168685,0.008787979,2.143643,0.03489036
48,0.09833847,-0.035918996,0.27822733,0.011005867,2.143643,0.03489036
49,0.100899994,-0.033420272,0.28476784,0.013223754,2.143643,0.03489036
50,0.10346154,-0.03092155,0.29130837,0.015441642,2.143643,0.03489036
51,0.10602307,-0.03239053,0.2990525,0.015537077,2.419643,0.04756202
52,0.10858463,-0.033859514,0.30679667,0.015632512,2.419643,0.04756202
53,0.11114616,-0.035328493,0.31454083,0.015727948,2.419643,0.04756202
54,0.1137077,-0.03679747,0.322285,0.015823383,2.419643,0.04756202
55,0.11626923,-0.038266454,0.33002913,0.015918817,2.419643,0.04756202
56,0.118830785,-0.039735436,0.3377733,0.016014254,2.419643,0.04756202
57,0.12139231,-0.04120441,0.34551746,0.016109688,2.419643,0.04756202
58,0.12395386,-0.042673394,0.3532616,0.016205123,2.419643,0.04756202
59,0.12651539,-0.044142373,0.36100575,0.016300557,2.419643,0.04756202
60,0.12907693,-0.045611355,0.36874992,0.016395994,2.419643,0.04756202
