index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.6110201,6.756083e-08
1,0.000100000005,-0.0027494833,-0.0030410767,-0.0012694912,0.6110201,6.756083e-08
2,0.00020000001,-0.0054989667,-0.0060821534,-0.0025389823,0.6110201,6.756083e-08
3,0.0003,-0.00824845,-0.00912323,-0.0038084735,0.6110201,6.756083e-08
4,0.00040000002,-0.010997933,-0.012164307,-0.0050779646,0.6110201,6.756083e-08
5,0.0005,-0.013747416,-0.015205383,-0.0063474555,0.6110201,6.756083e-08
6,0.0006,-0.0164969,-0.01824646,-0.007616947,0.6110201,6.756083e-08
7,0.00070000003,-0.019246383,-0.021287536,-0.008886438,0.6110201,6.756083e-08
8,0.00080000004,-0.021995867,-0.024328614,-0.010155929,0.6110201,6.756083e-08
9,0.00090000004,-0.024745349,-0.02736969,-0.01142542,0.6110201,6.756083e-08
10,0.001,-0.027494833,-0.030410767,-0.012694911,0.6110201,6.756083e-08
11,0.0035615386,-0.03050008,-0.037257057,-0.01495599,1.3229767,3.2393261e-06
12,0.006123077,-0.033505328,-0.044103347,-0.01721707,1.3229767,3.2393261e-06
13,0.008684616,-0.036510576,-0.050949633,-0.01947815,1.3229767,3.2393261e-06
14,0.011246154,-0.039515823,-0.057795927,-0.02173923,1.3229767,3.2393261e-06
15,0.013807693,-0.04252107,-0.06464221,-0.024000308,1.3229767,3.2393261e-06
16,0.016369231,-0.04552632,-0.07148851,-0.02626139,1.3229767,3.2393261e-06
17,0.018930769,-0.048531562,-0.078334786,-0.028522467,1.3229767,3.2393261e-06
18,0.021492308,-0.051536817,-0.08518109,-0.030783547,1.3229767,3.2393261e-06
19,0.024053846,-0.05454206,-0.092027366,-0.03304462,1.3229767,3.2393261e-06
20,0.026615385,-0.05754731,-0.09887366,-0.035305705,1.3229767,3.2393261e-06
21,0.029176923,-0.059950475,-0.098475784,-0.03821622,1.2199858,8.669948e-06
22,0.03173846,-0.062353645,-0.09807791,-0.04112674,1.2199858,8.669948e-06
23,0.0343,-0.06475681,-0.097680025,-0.04403726,1.2199858,8.669948e-06
24,0.03686154,-0.06715998,-0.09728216,-0.046947777,1.2199858,8.669948e-06
25,0.03942308,-0.06956314,-0.09688428,-0.049858294,1.2199858,8.669948e-06
26,0.041984614,-0.07196631,-0.096486405,-0.05276881,1.2199858,8.669948e-06
27,0.044546153,-0.074369475,-0.09608853,-0.05567933,1.2199858,8.669948e-06
28,0.047107693,-0.076772645,-0.09569065,-0.058589846,1.2199858,8.669948e-06
29,0.04966923,-0.07917581,-0.09529277,-0.06150036,1.2199858,8.669948e-06
30,0.052230768,-0.08157898,-0.09489489,-0.06441088,1.2199858,8.669948e-06
31,0.054792307,-0.08388635,-0.104423344,-0.07409301,2.0707138,1.2999653e-05
32,0.057353847,-0.08619372,-0.1139518,-0.08377513,2.0707138,1.2999653e-05
33,0.059915386,-0.088501096,-0.12348026,-0.09345727,2.0707138,1.2999653e-05
34,0.062476926,-0.090808466,-0.13300872,-0.1031394,2.0707138,1.2999653e-05
35,0.06503846,-0.09311584,-0.14253716,-0.11282152,2.0707138,1.2999653e-05
36,0.0676,-0.09542321,-0.15206563,-0.12250365,2.0707138,1.2999653e-05
37,0.07016154,-0.09773058,-0.16159408,-0.13218577,2.0707138,1.2999653e-05
38,0.072723076,-0.10003795,-0.17112254,-0.1418679,2.0707138,1.2999653e-05
39,0.075284615,-0.10234532,-0.18065098,-0.15155002,2.0707138,1.2999653e-05
40,0.077846155,-0.10465269,-0.19017944,-0.16123216,2.0707138,1.2999653e-05
41,0.08040769,-0.10149583,-0.19888255,-0.16076055,2.0804243,2.1088634e-05
42,0.08296923,-0.09833899,-0.20758569,-0.16028896,2.0804243,2.1088634e-05
43,0.08553077,-0.095182136,-0.2162888,-0.15981737,2.0804243,2.1088634e-05
