index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.45745796,0.0022467468
1,0.000100000005,-0.0036087998,0.0018768273,0.0005319972,0.45745796,0.0022467468
2,0.00020000001,-0.0072175995,0.0037536547,0.0010639944,0.45745796,0.0022467468
3,0.0003,-0.0108264,0.005630482,0.0015959915,0.45745796,0.0022467468
4,0.00040000002,-0.014435199,0.0075073093,0.0021279887,0.45745796,0.0022467468
5,0.0005,-0.018043999,0.009384137,0.0026599858,0.45745796,0.0022467468
6,0.0006,-0.0216528,0.011260964,0.003191983,0.45745796,0.0022467468
7,0.00070000003,-0.025261598,0.013137791,0.0037239802,0.45745796,0.0022467468
8,0.00080000004,-0.028870398,0.015014619,0.0042559775,0.45745796,0.0022467468
9,0.00090000004,-0.032479197,0.016891446,0.0047879745,0.45745796,0.0022467468
10,0.001,-0.036087997,0.018768273,0.0053199716,0.45745796,0.0022467468
11,0.0035615386,-0.038643196,0.014015465,0.009304769,0.67142034,0.034561217
12,0.006123077,-0.0411984,0.009262657,0.013289567,0.67142034,0.034561217
13,0.008684616,-0.0437536,0.0045098476,0.017274365,0.67142034,0.034561217
14,0.011246154,-0.0463088,-0.00024296064,0.021259163,0.67142034,0.034561217
15,0.013807693,-0.048864,-0.004995769,0.02524396,0.67142034,0.034561217
16,0.016369231,-0.051419202,-0.009748578,0.029228758,0.67142034,0.034561217
17,0.018930769,-0.053974405,-0.014501385,0.033213556,0.67142034,0.034561217
18,0.021492308,-0.056529608,-0.019254195,0.037198354,0.67142034,0.034561217
19,0.024053846,-0.059084803,-0.024007002,0.04118315,0.67142034,0.034561217
20,0.026615385,-0.061640006,-0.028759811,0.04516795,0.67142034,0.034561217
21,0.029176923,-0.0672312,-0.020047823,0.051950358,1.111234,0.06927663
22,0.03173846,-0.07282241,-0.011335838,0.058732763,1.111234,0.06927663
23,0.0343,-0.078413606,-0.0026238505,0.065515175,1.111234,0.06927663
24,0.03686154,-0.084004804,0.0060881358,0.07229758,1.111234,0.06927663
25,0.03942308,-0.08959601,0.014800122,0.079079986,1.111234,0.06927663
26,0.041984614,-0.09518722,0.02351211,0.0858624,1.111234,0.06927663
27,0.044546153,-0.100778416,0.032224093,0.092644796,1.111234,0.06927663
28,0.047107693,-0.10636961,0.040936083,0.09942721,1.111234,0.06927663
29,0.04966923,-0.111960806,0.04964807,0.106209606,1.111234,0.06927663
30,0.052230768,-0.11755201,0.058360055,0.11299202,1.111234,0.06927663
31,0.054792307,-0.11706561,0.06628168,0.1125968,1.350728,0.1185042
32,0.057353847,-0.116579205,0.0742033,0.11220161,1.350728,0.1185042
33,0.059915386,-0.1160928,0.082124904,0.11180639,1.350728,0.1185042
34,0.062476926,-0.115606405,0.090046525,0.1114112,1.350728,0.1185042
35,0.06503846,-0.11511999,0.097968146,0.111015975,1.350728,0.1185042
36,0.0676,-0.11463359,0.10588977,0.110620774,1.350728,0.1185042
37,0.07016154,-0.11414719,0.11381138,0.110225566,1.350728,0.1185042
38,0.072723076,-0.11366079,0.121733,0.109830365,1.350728,0.1185042
39,0.075284615,-0.11317438,0.12965462,0.10943514,1.350728,0.1185042
40,0.077846155,-0.11268798,0.13757624,0.10903994,1.350728,0.1185042
41,0.08040769,-0.11903358,0.13484983,0.11621034,1.6752017,0.3556049
42,0.08296923,-0.12537919,0.13212343,0.12338075,1.6752017,0.3556049
43,0.08553077,-0.13172479,0.129397,0.13055114,1.6752017,0.3556049
44,0.08809231,-0.13807039,0.1266706,0.13772155,1.6752017,0.3556049
45,0.09065385,-0.14441599,0.12394419,0.14489195,1.6752017,0.3556049
46,0.09321539,-0.1507616,0.12121779,0.15206236,1.6752017,0.3556049
47,0.09577692,-0.15710719,0.118491374,0.15923275,1.6752017,0.3556049
48,0.09833847,-0.1634528,0.11576497,0.16640316,1.6752017,0.3556049
49,0.100899994,-0.16979839,0.113038555,0.17357357,1.6752017,0.3556049
50,0.10346154,-0.176144,0.11031215,0.18074396,1.6752017,0.3556049
51,0.10602307,-0.17949119,0.11206094,0.18798636,1.8679111,0.46732455
52,0.10858463,-0.1828384,0.11380974,0.19522877,1.8679111,0.46732455
53,0.11114616,-0.1861856,0.115558535,0.20247117,1.8679111,0.46732455
54,0.1137077,-0.18953279,0.117307335,0.20971356,1.8679111,0.46732455
55,0.11626923,-0.19287997,0.11905612,0.21695596,1.8679111,0.46732455
56,0.118830785,-0.1962272,0.12080492,0.22419837,1.8679111,0.46732455
57,0.12139231,-0.19957437,0.122553706,0.23144077,1.8679111,0.46732455
58,0.12395386,-0.20292157,0.12430251,0.23868316,1.8679111,0.46732455
59,0.12651539,-0.20626876,0.12605129,0.24592555,1.8679111,0.46732455
60,0.12907693,-0.20961596,0.12780009,0.25316796,1.8679111,0.46732455
61,0.13163847,-0.21582876,0.13409048,0.25874317,2.1385634,0.5443986
62,0.1342,-0.22204156,0.14038089,0.26431835,2.1385634,0.5443986
63,0.13676155,-0.22825435,0.14667127,0.2698936,2.1385634,0.5443986
64,0.13932309,-0.23446718,0.15296167,0.27546877,2.1385634,0.5443986
65,0.14188462,-0.24067995,0.15925205,0.28104398,2.1385634,0.5443986
66,0.14444616,-0.24689275,0.16554245,0.2866192,2.1385634,0.5443986
67,0.1470077,-0.25310555,0.17183284,0.2921944,2.1385634,0.5443986
68,0.14956923,-0.25931835,0.17812324,0.29776958,2.1385634,0.5443986
69,0.15213077,-0.26553115,0.18441363,0.3033448,2.1385634,0.5443986
70,0.1546923,-0.27174395,0.19070402,0.30892,2.1385634,0.5443986
71,0.15725383,-0.29076636,0.19764003,0.30476236,2.850701,0.6577131
72,0.15981539,-0.30978876,0.20457603,0.3006048,2.850701,0.6577131
73,0.16237693,-0.32881117,0.21151204,0.2964472,2.850701,0.6577131
74,0.16493845,-0.34783357,0.21844806,0.29228958,2.850701,0.6577131
75,0.16749999,-0.36685598,0.22538406,0.28813198,2.850701,0.6577131
76,0.17006153,-0.3858784,0.23232007,0.28397438,2.850701,0.6577131
77,0.17262307,-0.4049008,0.23925607,0.27981678,2.850701,0.6577131
78,0.17518461,-0.4239232,0.24619208,0.27565917,2.850701,0.6577131
79,0.17774615,-0.44294557,0.25312808,0.27150157,2.850701,0.6577131
80,0.18030769,-0.461968,0.2600641,0.26734397,2.850701,0.6577131
81,0.18286921,-0.46097517,0.2430193,0.26730716,2.9753819,0.75971746
82,0.18543077,-0.4599824,0.22597452,0.26727036,2.9753819,0.75971746
83,0.1879923,-0.45898962,0.20892972,0.26723355,2.9753819,0.75971746
84,0.19055384,-0.45799682,0.19188493,0.26719677,2.9753819,0.75971746
85,0.19311538,-0.457004,0.17484014,0.26715994,2.9753819,0.75971746
86,0.19567692,-0.45601118,0.15779535,0.26712316,2.9753819,0.75971746
87,0.19823846,-0.4550184,0.14075056,0.26708633,2.9753819,0.75971746
88,0.2008,-0.4540256,0.123705775,0.26704955,2.9753819,0.75971746
89,0.20336153,-0.45303276,0.10666098,0.26701272,2.9753819,0.75971746
90,0.20592308,-0.45204,0.08961619,0.26697594,2.9753819,0.75971746
91,0.2084846,-0.46500078,0.08730499,0.25902793,2.8895583,0.7979406
92,0.21104616,-0.4779616,0.08499379,0.25107995,2.8895583,0.7979406
93,0.2136077,-0.4909224,0.08268258,0.24313194,2.8895583,0.7979406
94,0.21616924,-0.5038832,0.08037138,0.23518395,2.8895583,0.7979406
