index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.5962558,0.003340674
1,0.000100000005,0.0012426777,0.0036679977,-0.0018013451,0.5962558,0.003340674
2,0.00020000001,0.0024853554,0.0073359953,-0.0036026903,0.5962558,0.003340674
3,0.0003,0.0037280333,0.011003993,-0.0054040356,0.5962558,0.003340674
4,0.00040000002,0.0049707107,0.014671991,-0.0072053806,0.5962558,0.003340674
5,0.0005,0.0062133884,0.018339988,-0.009006726,0.5962558,0.003340674
6,0.0006,0.0074560666,0.022007987,-0.010808071,0.5962558,0.003340674
7,0.00070000003,0.008698744,0.025675982,-0.012609416,0.5962558,0.003340674
8,0.00080000004,0.009941421,0.029343981,-0.014410761,0.5962558,0.003340674
9,0.00090000004,0.011184099,0.033011977,-0.016212106,0.5962558,0.003340674
10,0.001,0.012426777,0.036679976,-0.018013451,0.5962558,0.003340674
11,0.0035615386,0.012461438,0.04079464,-0.016121447,0.76436055,0.087656386
12,0.006123077,0.012496099,0.04490931,-0.014229445,0.76436055,0.087656386
13,0.008684616,0.01253076,0.049023975,-0.012337442,0.76436055,0.087656386
14,0.011246154,0.012565421,0.053138644,-0.010445438,0.76436055,0.087656386
15,0.013807693,0.012600081,0.05725331,-0.008553435,0.76436055,0.087656386
16,0.016369231,0.012634743,0.061367974,-0.0066614314,0.76436055,0.087656386
17,0.018930769,0.012669403,0.065482646,-0.004769428,0.76436055,0.087656386
18,0.021492308,0.012704064,0.06959731,-0.0028774247,0.76436055,0.087656386
19,0.024053846,0.012738725,0.07371197,-0.0009854215,0.76436055,0.087656386
20,0.026615385,0.012773386,0.07782664,0.0009065819,0.76436055,0.087656386
21,0.029176923,0.020973397,0.074742645,0.0076839295,1.1427711,0.22806093
22,0.03173846,0.029173408,0.071658656,0.014461277,1.1427711,0.22806093
23,0.0343,0.03737342,0.06857466,0.021238625,1.1427711,0.22806093
24,0.03686154,0.045573432,0.06549066,0.028015971,1.1427711,0.22806093
25,0.03942308,0.05377344,0.06240667,0.034793317,1.1427711,0.22806093
26,0.041984614,0.061973453,0.059322678,0.041570667,1.1427711,0.22806093
27,0.044546153,0.07017346,0.05623868,0.048348013,1.1427711,0.22806093
28,0.047107693,0.07837348,0.05315469,0.055125363,1.1427711,0.22806093
29,0.04966923,0.086573474,0.05007069,0.061902706,1.1427711,0.22806093
30,0.052230768,0.09477349,0.0469867,0.068680055,1.1427711,0.22806093
31,0.054792307,0.098374814,0.045340024,0.07782805,1.678032,0.4066168
32,0.057353847,0.10197615,0.043693352,0.08697605,1.678032,0.4066168
33,0.059915386,0.10557747,0.04204668,0.09612404,1.678032,0.4066168
34,0.062476926,0.1091788,0.04040001,0.10527204,1.678032,0.4066168
35,0.06503846,0.112780124,0.038753334,0.11442003,1.678032,0.4066168
36,0.0676,0.11638145,0.037106663,0.12356803,1.678032,0.4066168
37,0.07016154,0.11998277,0.035459988,0.13271601,1.678032,0.4066168
38,0.072723076,0.1235841,0.033813316,0.14186402,1.678032,0.4066168
39,0.075284615,0.12718542,0.03216664,0.151012,1.678032,0.4066168
40,0.077846155,0.13078675,0.030519968,0.16016,1.678032,0.4066168
41,0.08040769,0.14069608,0.0422173,0.15666267,2.6854854,0.58566314
42,0.08296923,0.15060543,0.053914636,0.15316534,2.6854854,0.58566314
43,0.08553077,0.16051476,0.06561197,0.14966801,2.6854854,0.58566314
44,0.08809231,0.1704241,0.0773093,0.14617068,2.6854854,0.58566314
45,0.09065385,0.18033344,0.08900663,0.14267334,2.6854854,0.58566314
46,0.09321539,0.19024277,0.10070397,0.13917601,2.6854854,0.58566314
47,0.09577692,0.2001521,0.1124013,0.13567868,2.6854854,0.58566314
48,0.09833847,0.21006145,0.124098636,0.13218133,2.6854854,0.58566314
49,0.100899994,0.21997076,0.13579597,0.128684,2.6854854,0.58566314
50,0.10346154,0.22988011,0.1474933,0.12518667,2.6854854,0.58566314
51,0.10602307,0.2429641,0.1515093,0.128908,3.506086,0.7121266
52,0.10858463,0.2560481,0.1555253,0.13262932,3.506086,0.7121266
53,0.11114616,0.2691321,0.15954131,0.13635065,3.506086,0.7121266
54,0.1137077,0.28221613,0.1635573,0.14007197,3.506086,0.7121266
55,0.11626923,0.29530013,0.1675733,0.1437933,3.506086,0.7121266
56,0.118830785,0.30838412,0.17158931,0.14751464,3.506086,0.7121266
57,0.12139231,0.3214681,0.1756053,0.15123595,3.506086,0.7121266
58,0.12395386,0.3345521,0.17962131,0.15495728,3.506086,0.7121266
59,0.12651539,0.34763613,0.1836373,0.15867859,3.506086,0.7121266
60,0.12907693,0.36072013,0.1876533,0.16239993,3.506086,0.7121266
61,0.13163847,0.37682813,0.1965373,0.15944926,4.4909563,0.8093697
62,0.1342,0.3929361,0.2054213,0.15649861,4.4909563,0.8093697
63,0.13676155,0.40904412,0.21430531,0.15354794,4.4909563,0.8093697
64,0.13932309,0.42515212,0.22318932,0.15059729,4.4909563,0.8093697
