index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.53638977,0.0028749604
1,0.000100000005,-2.8370966e-06,-0.0019432666,0.003740412,0.53638977,0.0028749604
2,0.00020000001,-5.6741933e-06,-0.0038865332,0.007480824,0.53638977,0.0028749604
3,0.0003,-8.51129e-06,-0.0058298,0.011221237,0.53638977,0.0028749604
4,0.00040000002,-1.1348387e-05,-0.0077730664,0.014961648,0.53638977,0.0028749604
5,0.0005,-1.41854825e-05,-0.009716333,0.01870206,0.53638977,0.0028749604
6,0.0006,-1.702258e-05,-0.0116596,0.022442473,0.53638977,0.0028749604
7,0.00070000003,-1.9859675e-05,-0.013602866,0.026182884,0.53638977,0.0028749604
8,0.00080000004,-2.2696773e-05,-0.015546133,0.029923296,0.53638977,0.0028749604
9,0.00090000004,-2.5533867e-05,-0.017489398,0.03366371,0.53638977,0.0028749604
10,0.001,-2.8370965e-05,-0.019432666,0.03740412,0.53638977,0.0028749604
11,0.0035615386,0.0028531915,-0.013034081,0.038690656,0.18563327,0.113065414
12,0.006123077,0.005734754,-0.006635499,0.039977193,0.18563327,0.113065414
13,0.008684616,0.008616316,-0.0002369145,0.04126373,0.18563327,0.113065414
14,0.011246154,0.0114978785,0.0061616674,0.042550266,0.18563327,0.113065414
15,0.013807693,0.01437944,0.012560251,0.043836802,0.18563327,0.113065414
16,0.016369231,0.017261002,0.018958837,0.04512334,0.18563327,0.113065414
17,0.018930769,0.020142565,0.025357418,0.046409875,0.18563327,0.113065414
18,0.021492308,0.023024129,0.031756002,0.04769641,0.18563327,0.113065414
19,0.024053846,0.02590569,0.038154583,0.048982944,0.18563327,0.113065414
20,0.026615385,0.028787252,0.044553168,0.050269485,0.18563327,0.113065414
21,0.029176923,0.028509945,0.045302108,0.04326594,0.6473961,0.44309145
22,0.03173846,0.028232642,0.046051044,0.0362624,0.6473961,0.44309145
23,0.0343,0.027955333,0.046799984,0.029258853,0.6473961,0.44309145
24,0.03686154,0.027678028,0.04754892,0.022255313,0.6473961,0.44309145
25,0.03942308,0.02740072,0.04829786,0.015251768,0.6473961,0.44309145
26,0.041984614,0.027123418,0.0490468,0.008248225,0.6473961,0.44309145
27,0.044546153,0.02684611,0.049795732,0.0012446819,0.6473961,0.44309145
28,0.047107693,0.026568806,0.05054467,-0.005758863,0.6473961,0.44309145
29,0.04966923,0.026291497,0.051293608,-0.012762404,0.6473961,0.44309145
30,0.052230768,0.026014192,0.052042548,-0.019765949,0.6473961,0.44309145
31,0.054792307,0.017717734,0.052053187,-0.01698013,0.66766787,0.736314
32,0.057353847,0.009421281,0.052063826,-0.014194314,0.66766787,0.736314
33,0.059915386,0.0011248235,0.052074466,-0.011408495,0.66766787,0.736314
34,0.062476926,-0.0071716327,0.05208511,-0.008622677,0.66766787,0.736314
35,0.06503846,-0.015468088,0.05209575,-0.005836859,0.66766787,0.736314
36,0.0676,-0.023764543,0.052106388,-0.0030510412,0.66766787,0.736314
37,0.07016154,-0.032060996,0.052117027,-0.00026522297,0.66766787,0.736314
38,0.072723076,-0.04035746,0.052127667,0.0025205947,0.66766787,0.736314
39,0.075284615,-0.04865391,0.052138306,0.0053064125,0.66766787,0.736314
40,0.077846155,-0.056950368,0.052148946,0.008092231,0.66766787,0.736314
41,0.08040769,-0.05160356,0.053391494,0.005403562,0.60011697,1.0557944
42,0.08296923,-0.046256755,0.054634046,0.002714893,0.60011697,1.0557944
43,0.08553077,-0.040909942,0.055876594,2.6224181e-05,0.60011697,1.0557944
44,0.08809231,-0.03556314,0.057119146,-0.0026624445,0.60011697,1.0557944
45,0.09065385,-0.03021633,0.058361694,-0.0053511136,0.60011697,1.0557944
46,0.09321539,-0.024869526,0.059604242,-0.008039783,0.60011697,1.0557944
47,0.09577692,-0.019522717,0.060846794,-0.010728451,0.60011697,1.0557944
48,0.09833847,-0.0141759105,0.062089343,-0.013417121,0.60011697,1.0557944
49,0.100899994,-0.008829102,0.063331895,-0.01610579,0.60011697,1.0557944
50,0.10346154,-0.0034822947,0.06457444,-0.018794458,0.60011697,1.0557944
51,0.10602307,-0.0076659806,0.0692943,-0.0044830926,1.1545941,1.551143
52,0.10858463,-0.011849666,0.074014165,0.009828272,1.1545941,1.551143
53,0.11114616,-0.016033351,0.078734025,0.024139639,1.1545941,1.551143
54,0.1137077,-0.020217039,0.083453886,0.038451,1.1545941,1.551143
55,0.11626923,-0.024400722,0.08817375,0.052762367,1.1545941,1.551143
56,0.118830785,-0.02858441,0.09289361,0.06707373,1.1545941,1.551143
57,0.12139231,-0.032768093,0.09761347,0.0813851,1.1545941,1.551143
58,0.12395386,-0.03695178,0.10233333,0.095696464,1.1545941,1.551143
59,0.12651539,-0.041135464,0.10705319,0.11000783,1.1545941,1.551143
60,0.12907693,-0.04531915,0.11177305,0.124319196,1.1545941,1.551143
61,0.13163847,-0.04202624,0.11420992,0.106087275,1.4247823,2.0564275
62,0.1342,-0.038733337,0.116646804,0.08785535,1.4247823,2.0564275
63,0.13676155,-0.035440426,0.11908367,0.069623426,1.4247823,2.0564275
64,0.13932309,-0.03214752,0.12152055,0.051391505,1.4247823,2.0564275
65,0.14188462,-0.02885461,0.123957425,0.03315958,1.4247823,2.0564275
66,0.14444616,-0.025561703,0.1263943,0.014927655,1.4247823,2.0564275
67,0.1470077,-0.022268794,0.12883118,-0.0033042654,1.4247823,2.0564275
68,0.14956923,-0.018975887,0.13126805,-0.02153619,1.4247823,2.0564275
69,0.15213077,-0.015682979,0.13370493,-0.03976811,1.4247823,2.0564275
70,0.1546923,-0.012390071,0.1361418,-0.058000036,1.4247823,2.0564275
71,0.15725383,-0.02344752,0.12914677,-0.053102165,1.2104319,2.2826014
72,0.15981539,-0.03450497,0.12215175,-0.0482043,1.2104319,2.2826014
73,0.16237693,-0.04556242,0.115156725,-0.04330643,1.2104319,2.2826014
74,0.16493845,-0.056619868,0.108161695,-0.038408563,1.2104319,2.2826014
75,0.16749999,-0.06767732,0.101166666,-0.033510692,1.2104319,2.2826014
76,0.17006153,-0.07873477,0.09417163,-0.028612826,1.2104319,2.2826014
77,0.17262307,-0.089792214,0.087176606,-0.023714958,1.2104319,2.2826014
78,0.17518461,-0.10084966,0.08018158,-0.01881709,1.2104319,2.2826014
