index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.6102845,1.6940753e-07
1,0.000100000005,0.0027766547,0.00249252,0.002111667,0.6102845,1.6940753e-07
2,0.00020000001,0.0055533093,0.00498504,0.004223334,0.6102845,1.6940753e-07
3,0.0003,0.008329964,0.0074775605,0.0063350014,0.6102845,1.6940753e-07
4,0.00040000002,0.011106619,0.00997008,0.008446668,0.6102845,1.6940753e-07
5,0.0005,0.013883273,0.0124626,0.010558335,0.6102845,1.6940753e-07
6,0.0006,0.016659928,0.014955121,0.012670003,0.6102845,1.6940753e-07
7,0.00070000003,0.019436583,0.01744764,0.014781669,0.6102845,1.6940753e-07
8,0.00080000004,0.022213237,0.01994016,0.016893337,0.6102845,1.6940753e-07
9,0.00090000004,0.024989892,0.02243268,0.019005002,0.6102845,1.6940753e-07
10,0.001,0.027766546,0.0249252,0.02111667,0.6102845,1.6940753e-07
11,0.0035615386,0.030316545,0.028151851,0.019555008,0.6572041,5.219408e-06
12,0.006123077,0.03286654,0.031378504,0.01799335,0.6572041,5.219408e-06
13,0.008684616,0.035416543,0.034605157,0.016431687,0.6572041,5.219408e-06
14,0.011246154,0.03796654,0.03783181,0.014870028,0.6572041,5.219408e-06
15,0.013807693,0.040516537,0.041058462,0.013308367,0.6572041,5.219408e-06
16,0.016369231,0.043066535,0.044285115,0.0117467055,0.6572041,5.219408e-06
17,0.018930769,0.045616534,0.047511764,0.010185045,0.6572041,5.219408e-06
18,0.021492308,0.04816653,0.050738417,0.008623384,0.6572041,5.219408e-06
19,0.024053846,0.050716527,0.05396507,0.0070617227,0.6572041,5.219408e-06
20,0.026615385,0.053266525,0.057191722,0.0055000624,0.6572041,5.219408e-06
21,0.029176923,0.05944904,0.0628759,0.0074858824,1.3435345,1.0359023e-05
22,0.03173846,0.06563156,0.06856008,0.009471702,1.3435345,1.0359023e-05
23,0.0343,0.07181408,0.07424425,0.011457522,1.3435345,1.0359023e-05
24,0.03686154,0.0779966,0.07992843,0.013443342,1.3435345,1.0359023e-05
25,0.03942308,0.08417912,0.08561261,0.015429163,1.3435345,1.0359023e-05
26,0.041984614,0.09036164,0.091296785,0.017414983,1.3435345,1.0359023e-05
27,0.044546153,0.096544154,0.09698096,0.019400803,1.3435345,1.0359023e-05
28,0.047107693,0.10272667,0.10266514,0.021386623,1.3435345,1.0359023e-05
29,0.04966923,0.10890918,0.10834931,0.023372442,1.3435345,1.0359023e-05
30,0.052230768,0.115091704,0.11403349,0.025358263,1.3435345,1.0359023e-05
31,0.054792307,0.117166705,0.122125134,0.03069409,1.927833,1.6936847e-05
