index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.59525293,0.00066579925
1,0.000100000005,-0.00076381536,-0.0029589424,0.002930491,0.59525293,0.00066579925
2,0.00020000001,-0.0015276307,-0.005917885,0.005860982,0.59525293,0.00066579925
3,0.0003,-0.002291446,-0.008876828,0.008791473,0.59525293,0.00066579925
4,0.00040000002,-0.0030552614,-0.01183577,0.011721964,0.59525293,0.00066579925
5,0.0005,-0.0038190768,-0.014794712,0.014652454,0.59525293,0.00066579925
6,0.0006,-0.004582892,-0.017753655,0.017582946,0.59525293,0.00066579925
7,0.00070000003,-0.0053467075,-0.020712597,0.020513436,0.59525293,0.00066579925
8,0.00080000004,-0.006110523,-0.02367154,0.023443928,0.59525293,0.00066579925
9,0.00090000004,-0.0068743383,-0.026630482,0.026374416,0.59525293,0.00066579925
10,0.001,-0.0076381536,-0.029589424,0.029304909,0.59525293,0.00066579925
11,0.0035615386,-0.0047296192,-0.034023564,0.039993927,1.793457,0.015164811
12,0.006123077,-0.0018210849,-0.038457707,0.050682954,1.793457,0.015164811
13,0.008684616,0.0010874495,-0.042891845,0.061371975,1.793457,0.015164811
14,0.011246154,0.003995984,-0.047325987,0.072060995,1.793457,0.015164811
15,0.013807693,0.0069045178,-0.051760126,0.082750015,1.793457,0.015164811
16,0.016369231,0.009813053,-0.05619427,0.093439035,1.793457,0.015164811
17,0.018930769,0.012721587,-0.060628407,0.10412806,1.793457,0.015164811
18,0.021492308,0.015630122,-0.06506255,0.11481708,1.793457,0.015164811
19,0.024053846,0.018538656,-0.06949669,0.1255061,1.793457,0.015164811
20,0.026615385,0.02144719,-0.07393083,0.13619512,1.793457,0.015164811
21,0.029176923,0.014958575,-0.08612392,0.14074147,3.1080503,0.037289184
22,0.03173846,0.008469961,-0.09831702,0.14528783,3.1080503,0.037289184
23,0.0343,0.001981345,-0.11051011,0.14983417,3.1080503,0.037289184
24,0.03686154,-0.004507269,-0.12270321,0.15438053,3.1080503,0.037289184
25,0.03942308,-0.0109958835,-0.13489631,0.15892687,3.1080503,0.037289184
26,0.041984614,-0.0174845,-0.1470894,0.16347322,3.1080503,0.037289184
27,0.044546153,-0.023973111,-0.15928249,0.16801956,3.1080503,0.037289184
28,0.047107693,-0.030461729,-0.17147559,0.17256592,3.1080503,0.037289184
29,0.04966923,-0.03695034,-0.18366867,0.17711225,3.1080503,0.037289184
30,0.052230768,-0.043438956,-0.19586177,0.18165861,3.1080503,0.037289184
31,0.054792307,-0.0464918,-0.19891259,0.18420005,3.3094969,0.072690204
32,0.057353847,-0.049544655,-0.2019634,0.18674153,3.3094969,0.072690204
33,0.059915386,-0.0525975,-0.20501423,0.18928297,3.3094969,0.072690204
34,0.062476926,-0.055650353,-0.20806503,0.19182442,3.3094969,0.072690204
35,0.06503846,-0.0587032,-0.21111584,0.19436586,3.3094969,0.072690204
36,0.0676,-0.061756052,-0.21416667,0.19690733,3.3094969,0.072690204
37,0.07016154,-0.0648089,-0.21721748,0.19944876,3.3094969,0.072690204
38,0.072723076,-0.06786174,-0.22026828,0.20199023,3.3094969,0.072690204
39,0.075284615,-0.0709146,-0.22331908,0.20453165,3.3094969,0.072690204
40,0.077846155,-0.07396744,-0.2263699,0.20707312,3.3094969,0.072690204
41,0.08040769,-0.07662638,-0.23797111,0.21074548,3.9320955,0.10377215
42,0.08296923,-0.07928532,-0.24957234,0.21441787,3.9320955,0.10377215
43,0.08553077,-0.08194427,-0.26117355,0.21809024,3.9320955,0.10377215
44,0.08809231,-0.08460321,-0.27277476,0.2217626,3.9320955,0.10377215
45,0.09065385,-0.08726215,-0.28437597,0.22543496,3.9320955,0.10377215
46,0.09321539,-0.089921094,-0.2959772,0.22910735,3.9320955,0.10377215
47,0.09577692,-0.09258004,-0.3075784,0.23277971,3.9320955,0.10377215
48,0.09833847,-0.095238976,-0.31917962,0.23645207,3.9320955,0.10377215
49,0.100899994,-0.09789792,-0.3307808,0.24012443,3.9320955,0.10377215
50,0.10346154,-0.100556865,-0.34238204,0.24379681,3.9320955,0.10377215
51,0.10602307,-0.1087154,-0.34498447,0.2516273,4.4989157,0.1415168
52,0.10858463,-0.116873935,-0.34758693,0.2594578,4.4989157,0.1415168
53,0.11114616,-0.12503248,-0.3501894,0.26728827,4.4989157,0.1415168
54,0.1137077,-0.13319102,-0.35279185,0.27511877,4.4989157,0.1415168
55,0.11626923,-0.14134955,-0.35539424,0.28294924,4.4989157,0.1415168
56,0.118830785,-0.14950809,-0.3579967,0.29077974,4.4989157,0.1415168
57,0.12139231,-0.15766661,-0.36059916,0.2986102,4.4989157,0.1415168
58,0.12395386,-0.16582516,-0.3632016,0.3064407,4.4989157,0.1415168
59,0.12651539,-0.1739837,-0.36580402,0.31427118,4.4989157,0.1415168
60,0.12907693,-0.18214223,-0.36840647,0.32210168,4.4989157,0.1415168
61,0.13163847,-0.18441458,-0.36846665,0.3255956,4.4144387,0.18523934
62,0.1342,-0.18668696,-0.3685268,0.32908946,4.4144387,0.18523934
63,0.13676155,-0.1889593,-0.36858696,0.33258337,4.4144387,0.18523934
64,0.13932309,-0.19123167,-0.36864713,0.33607727,4.4144387,0.18523934
65,0.14188462,-0.19350404,-0.36870727,0.33957118,4.4144387,0.18523934
66,0.14444616,-0.1957764,-0.36876744,0.34306508,4.4144387,0.18523934
67,0.1470077,-0.19804874,-0.36882758,0.34655896,4.4144387,0.18523934
68,0.14956923,-0.20032112,-0.36888775,0.35005286,4.4144387,0.18523934
69,0.15213077,-0.20259346,-0.3689479,0.35354674,4.4144387,0.18523934
70,0.1546923,-0.20486583,-0.36900806,0.35704064,4.4144387,0.18523934
71,0.15725383,-0.20892069,-0.37790278,0.34618452,4.404592,0.23678859
72,0.15981539,-0.21297559,-0.38679752,0.33532846,4.404592,0.23678859
73,0.16237693,-0.21703045,-0.39569223,0.32447237,4.404592,0.23678859
74,0.16493845,-0.22108534,-0.40458697,0.31361628,4.404592,0.23678859
75,0.16749999,-0.2251402,-0.4134817,0.30276015,4.404592,0.23678859
76,0.17006153,-0.22919509,-0.42237645,0.2919041,4.404592,0.23678859
77,0.17262307,-0.23324995,-0.43127117,0.28104797,4.404592,0.23678859
78,0.17518461,-0.23730484,-0.44016588,0.27019188,4.404592,0.23678859
79,0.17774615,-0.24135968,-0.44906062,0.2593358,4.404592,0.23678859
80,0.18030769,-0.24541457,-0.45795533,0.24847968,4.404592,0.23678859
81,0.18286921,-0.25033897,-0.46850857,0.2537992,4.758725,0.29940504
82,0.18543077,-0.2552634,-0.47906184,0.25911868,4.758725,0.29940504
83,0.1879923,-0.26018775,-0.48961508,0.2644382,4.758725,0.29940504
84,0.19055384,-0.26511216,-0.5001683,0.26975772,4.758725,0.29940504
85,0.19311538,-0.27003655,-0.51072156,0.27507722,4.758725,0.29940504
86,0.19567692,-0.27496096,-0.5212748,0.28039673,4.758725,0.29940504
87,0.19823846,-0.27988535,-0.53182805,0.28571624,4.758725,0.29940504
88,0.2008,-0.28480974,-0.5423813,0.29103574,4.758725,0.29940504
89,0.20336153,-0.28973415,-0.5529345,0.29635522,4.758725,0.29940504
90,0.20592308,-0.29465854,-0.56348777,0.30167475,4.758725,0.29940504
91,0.2084846,-0.31039473,-0.57823855,0.31171986,5.5366244,0.39091846
92,0.21104616,-0.3261309,-0.59298944,0.321765,5.5366244,0.39091846
93,0.2136077,-0.3418671,-0.6077402,0.33181015,5.5366244,0.39091846
94,0.21616924,-0.35760325,-0.62249106,0.3418553,5.5366244,0.39091846
95,0.21873078,-0.37333944,-0.63724184,0.3519004,5.5366244,0.39091846
96,0.22129232,-0.38907564,-0.6519927,0.36194554,5.5366244,0.39091846
97,0.22385384,-0.4048118,-0.6667435,0.37199068,5.5366244,0.39091846
98,0.2264154,-0.420548,-0.6814943,0.3820358,5.5366244,0.39091846
99,0.2289769,-0.43628415,-0.69624513,0.3920809,5.5366244,0.39091846
100,0.23153846,-0.45202035,-0.7109959,0.40212604,5.5366244,0.39091846
101,0.23409998,-0.43799675,-0.73731583,0.40514964,5.629642,0.50833315
102,0.23666155,-0.4239732,-0.76363575,0.4081732,5.629642,0.50833315
103,0.23922308,-0.4099496,-0.7899556,0.4111968,5.629642,0.50833315
104,0.24178462,-0.39592603,-0.8162756,0.4142204,5.629642,0.50833315
105,0.24434614,-0.38190246,-0.84259546,0.41724396,5.629642,0.50833315
106,0.24690771,-0.36787885,-0.8689154,0.42026752,5.629642,0.50833315
107,0.24946922,-0.35385528,-0.8952353,0.4232911,5.629642,0.50833315
108,0.25203076,-0.3398317,-0.92155516,0.42631468,5.629642,0.50833315
109,0.2545923,-0.3258081,-0.9478751,0.42933825,5.629642,0.50833315
110,0.25715384,-0.31178454,-0.974195,0.43236184,5.629642,0.50833315
111,0.25971538,-0.30400363,-0.994632,0.43820736,5.9485025,0.6680367
112,0.26227692,-0.29622275,-1.015069,0.4440529,5.9485025,0.6680367
113,0.26483846,-0.28844187,-1.035506,0.44989842,5.9485025,0.6680367
114,0.26740003,-0.280661,-1.055943,0.45574397,5.9485025,0.6680367
115,0.26996154,-0.27288008,-1.07638,0.4615895,5.9485025,0.6680367
116,0.2725231,-0.2650992,-1.096817,0.467435,5.9485025,0.6680367
117,0.2750846,-0.2573183,-1.117254,0.47328055,5.9485025,0.6680367
118,0.27764615,-0.2495374,-1.137691,0.47912607,5.9485025,0.6680367
119,0.2802077,-0.2417565,-1.158128,0.4849716,5.9485025,0.6680367
120,0.28276923,-0.2339756,-1.178565,0.49081713,5.9485025,0.6680367
121,0.28533077,-0.22814226,-1.193104,0.5011122,6.201493,0.87951297
122,0.2878923,-0.22230893,-1.207643,0.5114074,6.201493,0.87951297
123,0.29045385,-0.2164756,-1.2221822,0.52170247,6.201493,0.87951297
124,0.29301542,-0.21064228,-1.2367212,0.53199756,6.201493,0.87951297
125,0.29557693,-0.20480892,-1.2512602,0.5422927,6.201493,0.87951297
126,0.2981385,-0.1989756,-1.2657993,0.5525878,6.201493,0.87951297
127,0.3007,-0.19314227,-1.2803383,0.5628829,6.201493,0.87951297
128,0.30326155,-0.18730894,-1.2948773,0.57317805,6.201493,0.87951297
129,0.3058231,-0.1814756,-1.3094163,0.5834731,6.201493,0.87951297
130,0.30838463,-0.17564225,-1.3239553,0.59376824,6.201493,0.87951297
131,0.31094617,-0.17475364,-1.3686521,0.6063804,6.9146314,1.0245485
132,0.3135077,-0.17386502,-1.4133489,0.6189926,6.9146314,1.0245485
133,0.31606925,-0.1729764,-1.4580456,0.63160485,6.9146314,1.0245485
134,0.31863078,-0.17208779,-1.5027423,0.644217,6.9146314,1.0245485
135,0.32119232,-0.17119917,-1.5474391,0.65682924,6.9146314,1.0245485
136,0.32375386,-0.17031056,-1.5921359,0.66944146,6.9146314,1.0245485
137,0.3263154,-0.16942194,-1.6368326,0.6820537,6.9146314,1.0245485
138,0.3288769,-0.16853333,-1.6815293,0.69466585,6.9146314,1.0245485
139,0.33143845,-0.16764471,-1.726226,0.707278,6.9146314,1.0245485
140,0.334,-0.1667561,-1.7709228,0.71989024,6.9146314,1.0245485
141,0.33656153,-0.15083577,-1.8057581,0.7036561,7.152829,1.1702754
142,0.33912307,-0.13491544,-1.8405936,0.6874219,7.152829,1.1702754
143,0.3416846,-0.11899511,-1.8754289,0.6711878,7.152829,1.1702754
144,0.34424615,-0.10307478,-1.9102643,0.65495366,7.152829,1.1702754
145,0.3468077,-0.08715445,-1.9450996,0.63871956,7.152829,1.1702754
146,0.34936923,-0.07123413,-1.9799349,0.6224854,7.152829,1.1702754
147,0.35193077,-0.055313796,-2.0147703,0.60625124,7.152829,1.1702754
148,0.3544923,-0.03939347,-2.0496056,0.5900171,7.152829,1.1702754
149,0.35705385,-0.02347314,-2.084441,0.5737829,7.152829,1.1702754
150,0.3596154,-0.00755281,-2.1192763,0.5575488,7.152829,1.1702754
