index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.5494764,-0.00023237886
1,0.000100000005,0.001623782,-0.0037658077,-5.7961082e-05,0.5494764,-0.00023237886
2,0.00020000001,0.003247564,-0.0075316154,-0.000115922165,0.5494764,-0.00023237886
3,0.0003,0.004871346,-0.011297423,-0.00017388325,0.5494764,-0.00023237886
4,0.00040000002,0.006495128,-0.015063231,-0.00023184433,0.5494764,-0.00023237886
5,0.0005,0.00811891,-0.018829038,-0.0002898054,0.5494764,-0.00023237886
6,0.0006,0.009742692,-0.022594847,-0.0003477665,0.5494764,-0.00023237886
7,0.00070000003,0.0113664735,-0.026360653,-0.00040572757,0.5494764,-0.00023237886
8,0.00080000004,0.012990256,-0.030126462,-0.00046368866,0.5494764,-0.00023237886
9,0.00090000004,0.014614037,-0.033892266,-0.0005216497,0.5494764,-0.00023237886
10,0.001,0.01623782,-0.037658077,-0.0005796108,0.5494764,-0.00023237886
11,0.0035615386,0.019393235,-0.03987357,0.0046944874,0.64462835,-0.011230083
12,0.006123077,0.022548653,-0.04208907,0.009968585,0.64462835,-0.011230083
13,0.008684616,0.025704067,-0.04430457,0.015242684,0.64462835,-0.011230083
14,0.011246154,0.028859485,-0.046520066,0.020516781,0.64462835,-0.011230083
15,0.013807693,0.0320149,-0.04873556,0.02579088,0.64462835,-0.011230083
16,0.016369231,0.035170317,-0.05095106,0.03106498,0.64462835,-0.011230083
17,0.018930769,0.03832573,-0.053166553,0.036339078,0.64462835,-0.011230083
18,0.021492308,0.04148115,-0.055382054,0.041613173,0.64462835,-0.011230083
19,0.024053846,0.044636562,-0.057597544,0.04688727,0.64462835,-0.011230083
20,0.026615385,0.04779198,-0.059813045,0.05216137,0.64462835,-0.011230083
21,0.029176923,0.054532524,-0.0609967,0.056659885,1.1512771,-0.023840167
22,0.03173846,0.061273076,-0.062180363,0.061158396,1.1512771,-0.023840167
23,0.0343,0.06801362,-0.063364014,0.065656915,1.1512771,-0.023840167
24,0.03686154,0.07475417,-0.06454768,0.07015543,1.1512771,-0.023840167
25,0.03942308,0.08149472,-0.06573133,0.07465394,1.1512771,-0.023840167
26,0.041984614,0.088235274,-0.06691499,0.07915246,1.1512771,-0.023840167
27,0.044546153,0.094975814,-0.06809865,0.08365097,1.1512771,-0.023840167
28,0.047107693,0.10171636,-0.06928231,0.08814948,1.1512771,-0.023840167
29,0.04966923,0.10845691,-0.07046596,0.09264799,1.1512771,-0.023840167
30,0.052230768,0.11519746,-0.07164962,0.09714651,1.1512771,-0.023840167
31,0.054792307,0.1201327,-0.073142394,0.10766328,1.7666223,-0.040240947
32,0.057353847,0.12506795,-0.07463518,0.11818006,1.7666223,-0.040240947
33,0.059915386,0.1300032,-0.076127954,0.12869684,1.7666223,-0.040240947
34,0.062476926,0.13493845,-0.07762073,0.1392136,1.7666223,-0.040240947
35,0.06503846,0.13987368,-0.07911351,0.14973038,1.7666223,-0.040240947
