index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.60502017,0.0018874
1,0.000100000005,0.0008141653,-0.0029795377,0.0029551198,0.60502017,0.0018874
2,0.00020000001,0.0016283306,-0.0059590754,0.0059102396,0.60502017,0.0018874
3,0.0003,0.002442496,-0.008938613,0.00886536,0.60502017,0.0018874
4,0.00040000002,0.0032566611,-0.011918151,0.011820479,0.60502017,0.0018874
5,0.0005,0.0040708263,-0.014897688,0.014775599,0.60502017,0.0018874
6,0.0006,0.004884992,-0.017877227,0.01773072,0.60502017,0.0018874
7,0.00070000003,0.005699157,-0.020856764,0.020685839,0.60502017,0.0018874
8,0.00080000004,0.0065133222,-0.023836302,0.023640959,0.60502017,0.0018874
9,0.00090000004,0.007327487,-0.02681584,0.026596079,0.60502017,0.0018874
10,0.001,0.008141653,-0.029795377,0.029551199,0.60502017,0.0018874
11,0.0035615386,0.0041849623,-0.034903243,0.040048838,1.8568035,0.06296046
12,0.006123077,0.00022827182,-0.04001111,0.050546482,1.8568035,0.06296046
13,0.008684616,-0.0037284195,-0.04511898,0.06104412,1.8568035,0.06296046
14,0.011246154,-0.007685109,-0.050226845,0.071541764,1.8568035,0.06296046
15,0.013807693,-0.0116418,-0.055334713,0.0820394,1.8568035,0.06296046
16,0.016369231,-0.015598492,-0.06044258,0.092537045,1.8568035,0.06296046
17,0.018930769,-0.019555181,-0.06555045,0.10303469,1.8568035,0.06296046
18,0.021492308,-0.023511872,-0.07065832,0.11353233,1.8568035,0.06296046
19,0.024053846,-0.02746856,-0.07576618,0.124029964,1.8568035,0.06296046
20,0.026615385,-0.031425253,-0.08087405,0.13452761,1.8568035,0.06296046
21,0.029176923,-0.030526834,-0.08742051,0.1455095,3.178512,0.12703486
22,0.03173846,-0.029628417,-0.09396697,0.15649138,3.178512,0.12703486
23,0.0343,-0.028730001,-0.10051342,0.16747329,3.178512,0.12703486
24,0.03686154,-0.027831584,-0.10705988,0.17845517,3.178512,0.12703486
25,0.03942308,-0.026933163,-0.113606334,0.18943706,3.178512,0.12703486
26,0.041984614,-0.026034746,-0.1201528,0.20041895,3.178512,0.12703486
27,0.044546153,-0.02513633,-0.12669925,0.21140084,3.178512,0.12703486
28,0.047107693,-0.024237912,-0.13324572,0.22238272,3.178512,0.12703486
29,0.04966923,-0.023339493,-0.13979217,0.23336461,3.178512,0.12703486
30,0.052230768,-0.022441076,-0.14633863,0.2443465,3.178512,0.12703486
31,0.054792307,-0.010345,-0.15434098,0.25330082,4.4124503,0.15644298
32,0.057353847,0.0017510764,-0.16234335,0.26225516,4.4124503,0.15644298
33,0.059915386,0.013847152,-0.17034571,0.27120948,4.4124503,0.15644298
34,0.062476926,0.025943229,-0.17834808,0.28016382,4.4124503,0.15644298
35,0.06503846,0.038039304,-0.18635044,0.28911817,4.4124503,0.15644298
36,0.0676,0.05013538,-0.1943528,0.2980725,4.4124503,0.15644298
37,0.07016154,0.06223145,-0.20235516,0.3070268,4.4124503,0.15644298
38,0.072723076,0.074327536,-0.21035753,0.31598118,4.4124503,0.15644298
39,0.075284615,0.086423606,-0.21835987,0.32493547,4.4124503,0.15644298
40,0.077846155,0.09851968,-0.22636224,0.3338898,4.4124503,0.15644298
41,0.08040769,0.10442439,-0.22813153,0.33729687,4.6449122,0.18783453
42,0.08296923,0.11032911,-0.22990084,0.340704,4.6449122,0.18783453
43,0.08553077,0.1162338,-0.23167014,0.34411108,4.6449122,0.18783453
44,0.08809231,0.122138515,-0.23343943,0.34751815,4.6449122,0.18783453
45,0.09065385,0.12804322,-0.23520872,0.35092524,4.6449122,0.18783453
46,0.09321539,0.13394794,-0.23697802,0.35433233,4.6449122,0.18783453
47,0.09577692,0.13985263,-0.23874731,0.35773942,4.6449122,0.18783453
48,0.09833847,0.14575735,-0.24051662,0.3611465,4.6449122,0.18783453
49,0.100899994,0.15166204,-0.24228589,0.36455357,4.6449122,0.18783453
50,0.10346154,0.15756676,-0.2440552,0.36796066,4.6449122,0.18783453
51,0.10602307,0.15046754,-0.25676072,0.37811893,5.1586523,0.22620845
52,0.10858463,0.14336835,-0.26946622,0.3882772,5.1586523,0.22620845
53,0.11114616,0.13626914,-0.28217173,0.39843547,5.1586523,0.22620845
54,0.1137077,0.12916994,-0.29487726,0.40859374,5.1586523,0.22620845
55,0.11626923,0.12207072,-0.30758277,0.418752,5.1586523,0.22620845
56,0.118830785,0.11497152,-0.3202883,0.42891026,5.1586523,0.22620845
57,0.12139231,0.10787231,-0.33299378,0.43906856,5.1586523,0.22620845
58,0.12395386,0.10077311,-0.3456993,0.4492268,5.1586523,0.22620845
59,0.12651539,0.09367389,-0.3584048,0.45938507,5.1586523,0.22620845
60,0.12907693,0.08657469,-0.37111032,0.46954334,5.1586523,0.22620845
61,0.13163847,0.092842415,-0.37292606,0.46531105,4.809037,0.27249599
62,0.1342,0.09911015,-0.37474182,0.46107876,4.809037,0.27249599
63,0.13676155,0.10537787,-0.37655753,0.45684648,4.809037,0.27249599
64,0.13932309,0.1116456,-0.37837332,0.4526142,4.809037,0.27249599
65,0.14188462,0.11791333,-0.38018903,0.4483819,4.809037,0.27249599
66,0.14444616,0.12418106,-0.3820048,0.44414964,4.809037,0.27249599
67,0.1470077,0.13044879,-0.3838205,0.43991736,4.809037,0.27249599
68,0.14956923,0.13671651,-0.38563627,0.43568507,4.809037,0.27249599
69,0.15213077,0.14298424,-0.387452,0.43145278,4.809037,0.27249599
70,0.1546923,0.14925197,-0.38926774,0.4272205,4.809037,0.27249599
71,0.15725383,0.15035984,-0.38690633,0.41947484,4.0977335,0.32367912
72,0.15981539,0.15146771,-0.38454494,0.41172916,4.0977335,0.32367912
73,0.16237693,0.15257558,-0.3821835,0.4039835,4.0977335,0.32367912
74,0.16493845,0.15368345,-0.37982208,0.39623785,4.0977335,0.32367912
75,0.16749999,0.15479133,-0.37746066,0.38849217,4.0977335,0.32367912
76,0.17006153,0.1558992,-0.37509924,0.38074648,4.0977335,0.32367912
77,0.17262307,0.15700705,-0.37273782,0.3730008,4.0977335,0.32367912
78,0.17518461,0.15811493,-0.37037644,0.36525515,4.0977335,0.32367912
79,0.17774615,0.1592228,-0.368015,0.35750946,4.0977335,0.32367912
80,0.18030769,0.16033067,-0.36565357,0.3497638,4.0977335,0.32367912
81,0.18286921,0.17163303,-0.36580238,0.36932522,4.8860826,0.3805867
82,0.18543077,0.18293539,-0.36595124,0.38888666,4.8860826,0.3805867
83,0.1879923,0.19423775,-0.3661,0.40844804,4.8860826,0.3805867
84,0.19055384,0.20554012,-0.36624885,0.4280095,4.8860826,0.3805867
85,0.19311538,0.21684247,-0.36639768,0.4475709,4.8860826,0.3805867
86,0.19567692,0.22814485,-0.3665465,0.46713233,4.8860826,0.3805867
87,0.19823846,0.2394472,-0.36669534,0.4866937,4.8860826,0.3805867
88,0.2008,0.25074956,-0.36684415,0.50625515,4.8860826,0.3805867
89,0.20336153,0.2620519,-0.36699295,0.52581656,4.8860826,0.3805867
90,0.20592308,0.2733543,-0.36714178,0.54537797,4.8860826,0.3805867
91,0.2084846,0.27682278,-0.36729845,0.5575047,5.080991,0.43346342
92,0.21104616,0.2802913,-0.36745515,0.5696315,5.080991,0.43346342
93,0.2136077,0.28375977,-0.36761189,0.58175826,5.080991,0.43346342
94,0.21616924,0.2872283,-0.36776856,0.59388506,5.080991,0.43346342
95,0.21873078,0.29069674,-0.36792523,0.60601187,5.080991,0.43346342
96,0.22129232,0.29416525,-0.36808193,0.6181386,5.080991,0.43346342
97,0.22385384,0.29763374,-0.36823863,0.63026536,5.080991,0.43346342
98,0.2264154,0.30110225,-0.36839533,0.64239216,5.080991,0.43346342
99,0.2289769,0.30457073,-0.368552,0.6545189,5.080991,0.43346342
100,0.23153846,0.30803922,-0.3687087,0.6666457,5.080991,0.43346342
101,0.23409998,0.31001878,-0.38602525,0.6790559,5.4735126,0.48721626
102,0.23666155,0.3119983,-0.4033418,0.6914662,5.4735126,0.48721626
103,0.23922308,0.31397784,-0.42065835,0.70387644,5.4735126,0.48721626
104,0.24178462,0.31595743,-0.43797487,0.7162867,5.4735126,0.48721626
105,0.24434614,0.31793696,-0.4552914,0.72869694,5.4735126,0.48721626
106,0.24690771,0.3199165,-0.47260797,0.7411072,5.4735126,0.48721626
107,0.24946922,0.32189602,-0.4899245,0.75351745,5.4735126,0.48721626
108,0.25203076,0.32387558,-0.5072411,0.76592773,5.4735126,0.48721626
109,0.2545923,0.3258551,-0.5245576,0.7783379,5.4735126,0.48721626
110,0.25715384,0.32783467,-0.5418741,0.7907482,5.4735126,0.48721626
111,0.25971538,0.36190158,-0.56177884,0.8270607,6.914866,0.54307115
112,0.26227692,0.3959685,-0.5816836,0.8633734,6.914866,0.54307115
113,0.26483846,0.4300354,-0.60158825,0.899686,6.914866,0.54307115
114,0.26740003,0.46410236,-0.621493,0.93599856,6.914866,0.54307115
115,0.26996154,0.49816924,-0.6413977,0.97231114,6.914866,0.54307115
116,0.2725231,0.53223616,-0.66130245,1.0086237,6.914866,0.54307115
117,0.2750846,0.5663031,-0.6812071,1.0449363,6.914866,0.54307115
118,0.27764615,0.60037005,-0.70111185,1.0812489,6.914866,0.54307115
119,0.2802077,0.63443685,-0.7210165,1.1175615,6.914866,0.54307115
120,0.28276923,0.6685038,-0.74092126,1.153874,6.914866,0.54307115
121,0.28533077,0.697403,-0.7968197,1.1438212,7.934207,0.61414874
122,0.2878923,0.7263023,-0.8527181,1.1337686,7.934207,0.61414874
123,0.29045385,0.7552015,-0.90861654,1.1237158,7.934207,0.61414874
124,0.29301542,0.7841008,-0.964515,1.113663,7.934207,0.61414874
125,0.29557693,0.81299996,-1.0204134,1.1036103,7.934207,0.61414874
126,0.2981385,0.8418993,-1.0763118,1.0935575,7.934207,0.61414874
127,0.3007,0.8707984,-1.1322103,1.0835047,7.934207,0.61414874
128,0.30326155,0.89969766,-1.1881087,1.0734519,7.934207,0.61414874
129,0.3058231,0.92859685,-1.244007,1.0633992,7.934207,0.61414874
130,0.30838463,0.9574961,-1.2999054,1.0533464,7.934207,0.61414874
131,0.31094617,0.98259765,-1.3384259,1.0761157,8.951735,0.7212146
132,0.3135077,1.0076993,-1.3769464,1.0988849,8.951735,0.7212146
133,0.31606925,1.0328008,-1.4154669,1.1216543,8.951735,0.7212146
134,0.31863078,1.0579025,-1.4539874,1.1444235,8.951735,0.7212146
135,0.32119232,1.083004,-1.4925078,1.1671928,8.951735,0.7212146
136,0.32375386,1.1081055,-1.5310284,1.1899621,8.951735,0.7212146
137,0.3263154,1.1332071,-1.5695487,1.2127314,8.951735,0.7212146
138,0.3288769,1.1583086,-1.6080692,1.2355007,8.951735,0.7212146
139,0.33143845,1.1834103,-1.6465898,1.2582699,8.951735,0.7212146
140,0.334,1.2085118,-1.6851102,1.2810392,8.951735,0.7212146
