index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.007915586,0.005832454,0.00081776717,0.2916598,0.29165983
2,0.025316456,0.016082872,0.012831905,0.0033115076,0.60210544,0.6021055
3,0.037974685,0.023145258,0.020801036,0.009576463,0.8450053,0.84500533
4,0.050632913,0.02544013,0.025125425,0.021386163,0.9709467,0.9709468
5,0.06329114,0.026403189,0.024998564,0.03697156,0.9968211,0.99682117
6,0.07594937,0.025647648,0.024823157,0.053802945,1.0176543,1.0176544
7,0.088607594,0.025123049,0.024662472,0.07191758,1.0381733,1.0381734
8,0.101265825,0.024807928,0.024907967,0.09142314,1.0575849,1.057585
9,0.11392406,0.024195613,0.02456272,0.1123904,1.0777272,1.0777273
10,0.12658228,0.02434122,0.02507385,0.13488424,1.0962464,1.0962465
11,0.1392405,0.024400346,0.028930776,0.15862621,1.1101341,1.1101342
12,0.15189874,0.023754032,0.03502587,0.18369831,1.1212682,1.1212683
13,0.16455697,0.022082845,0.04242601,0.21017587,1.1334708,1.1334709
14,0.17721519,0.020499006,0.05037689,0.23846631,1.1455598,1.14556
15,0.18987343,0.018245742,0.05804755,0.26890346,1.1578238,1.157824
16,0.20253165,0.014654242,0.06645498,0.3013549,1.1708167,1.1708169
17,0.21518987,0.010732114,0.076353274,0.33593684,1.184591,1.1845913
18,0.22784811,0.0065911696,0.08894306,0.37248537,1.1997201,1.1997204
19,0.24050634,3.0952506e-06,0.103376366,0.411267,1.212301,1.2123013
20,0.25316456,-0.0063474257,0.11779421,0.45354357,1.2244166,1.2244169
21,0.2658228,0.0026439638,0.11842407,0.50061536,1.2429217,1.2429221
22,0.278481,0.015028136,0.12017098,0.55154324,1.2595091,1.2595094
23,0.29113925,0.025563024,0.12356159,0.6067273,1.2723955,1.2723958
24,0.30379748,0.035949856,0.1196366,0.6663033,1.2862359,1.2862363
25,0.3164557,0.045784198,0.11324203,0.73036385,1.2990924,1.2990927
26,0.32911393,0.053176966,0.10666099,0.79940987,1.3113457,1.3113459
27,0.34177217,0.054957755,0.097039685,0.8733127,1.3239249,1.3239251
28,0.35443038,0.052019052,0.08563404,0.9520295,1.3361082,1.3361084
29,0.36708862,0.052307762,0.075760685,1.0365827,1.348039,1.3480393
30,0.37974685,0.05155578,0.06427334,1.1269522,1.3593003,1.3593005
31,0.39240506,0.050963864,0.049151458,1.2234474,1.3693273,1.3693275
32,0.4050633,0.056033105,0.029529296,1.3263756,1.3788066,1.3788068
33,0.41772154,0.054328095,0.009034935,1.4371922,1.3876461,1.3876463
34,0.43037975,0.04389101,-0.021483125,1.5541126,1.3929471,1.3929474
35,0.443038,0.027221685,-0.058638535,1.6780703,1.3981472,1.3981476
36,0.45569623,0.009245671,-0.103574544,1.8099494,1.4002018,1.4002022
37,0.46835443,-0.0066062696,-0.15735175,1.9505621,1.3958633,1.3958637
38,0.48101267,-0.03007309,-0.21042055,2.1030722,1.386887,1.3868873
39,0.4936709,-0.06119188,-0.27057797,2.2654552,1.374478,1.3744783
40,0.5063291,-0.09658317,-0.34044105,2.4380329,1.3555425,1.3555429
41,0.51898736,-0.12025406,-0.42283973,2.6231482,1.338789,1.3387893
42,0.53164554,-0.12881401,-0.5187528,2.8203073,1.3189657,1.318966
43,0.5443038,-0.12501928,-0.62217194,3.0319328,1.2872815,1.2872819
44,0.556962,-0.090634786,-0.7463238,3.2486765,1.2454816,1.245482
45,0.56962025,-0.04862535,-0.87660885,3.4815435,1.1888796,1.18888
46,0.5822785,-0.020011393,-1.0156397,3.732432,1.1150694,1.1150697
47,0.5949367,0.01828104,-1.1764247,3.991941,1.0286907,1.028691
48,0.6075949,0.07058153,-1.354609,4.2621155,0.93406785,0.9340682
49,0.62025315,0.135813,-1.5411153,4.5498724,0.82222813,0.8222285
50,0.6329114,0.2082048,-1.7530055,4.847082,0.67082465,0.670825
51,0.6455696,0.2734728,-2.0026765,5.1487327,0.45705503,0.4570554
52,0.65822786,0.33143458,-2.2657735,5.4765735,0.240315,0.24031536
53,0.67088604,0.40179655,-2.5570836,5.8181567,-0.03888963,-0.038889274
54,0.6835443,0.5255677,-2.8522267,6.1847997,-0.32962096,-0.3296206
55,0.6962025,0.65913075,-3.1691391,6.57721,-0.5191849,-0.5191845
56,0.70886075,0.82630235,-3.523533,6.976341,-0.676851,-0.6768506
57,0.721519,0.9902415,-3.933902,7.3805523,-0.83060753,-0.8306072
58,0.73417723,1.1672492,-4.366174,7.817665,-1.0005417,-1.0005412
