index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0010122282,0.0059412513,-0.004595528,0.06848172,0.068481736
2,0.025316456,0.0059562074,0.011433277,-0.012112125,0.12101125,0.12101126
3,0.037974685,0.013938408,0.012152864,-0.02104609,0.16943258,0.1694326
4,0.050632913,0.024538103,0.018279046,-0.027784463,0.19733872,0.19733872
5,0.06329114,0.03380695,0.02535734,-0.037146,0.22403717,0.22403717
6,0.07594937,0.042211145,0.02930618,-0.05011796,0.2514561,0.2514561
7,0.088607594,0.047193516,0.028477663,-0.06677413,0.29273635,0.29273632
8,0.101265825,0.05140904,0.026319519,-0.08492273,0.3308378,0.33083776
9,0.11392406,0.05821468,0.029053321,-0.103949994,0.36816177,0.36816174
10,0.12658228,0.066648126,0.031889632,-0.124094754,0.40191045,0.40191042
11,0.1392405,0.079724446,0.039267138,-0.14203759,0.43347147,0.43347144
12,0.15189874,0.09548024,0.04701401,-0.16021155,0.4594451,0.45944506
13,0.16455697,0.113254696,0.057526723,-0.17773676,0.47909746,0.47909743
14,0.17721519,0.13226338,0.06714151,-0.19747274,0.49652636,0.49652633
15,0.18987343,0.15354373,0.076211676,-0.21821663,0.51176035,0.51176035
16,0.20253165,0.17653246,0.08455656,-0.24098438,0.5264133,0.5264133
17,0.21518987,0.20144081,0.08977825,-0.266183,0.5453419,0.5453419
18,0.22784811,0.22502625,0.088838786,-0.296585,0.5664694,0.5664694
19,0.24050634,0.24915344,0.08542854,-0.33017716,0.58750963,0.58750963
20,0.25316456,0.2755735,0.08250036,-0.36583596,0.6088514,0.6088514
21,0.2658228,0.3035072,0.06763538,-0.40216008,0.6308021,0.6308021
22,0.278481,0.3356295,0.049894996,-0.4385416,0.6493794,0.6493794
23,0.29113925,0.3699783,0.03162053,-0.47822642,0.6572782,0.6572782
24,0.30379748,0.4005302,0.009193439,-0.52470654,0.6582276,0.6582276
25,0.3164557,0.42514268,-0.010825859,-0.58081496,0.659589,0.65958893
26,0.32911393,0.45006138,-0.024259612,-0.6438861,0.66464657,0.6646465
27,0.34177217,0.4781998,-0.034043588,-0.7116238,0.67024636,0.6702463
28,0.35443038,0.5103482,-0.04592284,-0.78292346,0.67639893,0.6763989
29,0.36708862,0.54065555,-0.057232156,-0.86104363,0.6843394,0.68433934
30,0.37974685,0.568023,-0.07328231,-0.94577146,0.6910955,0.6910954
31,0.39240506,0.5946408,-0.08969571,-1.0377076,0.7038295,0.70382947
32,0.4050633,0.6273176,-0.09359311,-1.1366047,0.7124417,0.7124416
33,0.41772154,0.6792451,-0.08232945,-1.2352153,0.7185116,0.7185115
34,0.43037975,0.7422501,-0.07208674,-1.3376231,0.7308539,0.73085386
35,0.443038,0.7997496,-0.060597885,-1.4533291,0.7345035,0.73450345
36,0.45569623,0.86513275,-0.04416367,-1.5754299,0.7505455,0.75054544
37,0.46835443,0.92096704,-0.03805451,-1.7149395,0.7726293,0.77262926
38,0.48101267,0.9891457,-0.005650636,-1.8587023,0.78754807,0.78754795
39,0.4936709,1.0505148,0.022861574,-2.0202036,0.80981797,0.8098178
40,0.5063291,1.1276001,0.05716564,-2.1889653,0.82935596,0.8293558
41,0.51898736,1.2055296,0.11129698,-2.3686373,0.8259074,0.82590723
42,0.53164554,1.2967223,0.18863933,-2.5518794,0.81985754,0.81985736
