index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0001847788,0.0018372526,-0.010618274,0.3607435,0.3607435
2,0.025316456,0.0011931735,0.0069325287,-0.021650812,0.67633283,0.67633283
3,0.037974685,0.0026212255,0.012826886,-0.033729102,0.9676044,0.9676044
4,0.050632913,0.003996868,0.018257711,-0.047090318,1.2975974,1.2975974
5,0.06329114,0.0023353575,0.021939628,-0.061645716,1.7176976,1.7176976
6,0.07594937,0.004107194,0.026067726,-0.0776491,2.0956094,2.0956094
7,0.088607594,0.0039374838,0.02801004,-0.09549821,2.3865116,2.3865113
8,0.101265825,-0.0021434487,0.025834445,-0.113737345,2.6148145,2.6148143
9,0.11392406,-0.010548342,0.019134706,-0.1314302,2.7630503,2.76305
10,0.12658228,-0.019938465,0.0075523984,-0.14844997,2.8497505,2.8497503
11,0.1392405,-0.03217653,-0.0038983906,-0.16595377,2.9345372,2.934537
12,0.15189874,-0.045826964,-0.01513754,-0.18486756,3.0163465,3.0163462
13,0.16455697,-0.057482377,-0.0273465,-0.20652434,3.0754244,3.0754242
14,0.17721519,-0.06852886,-0.039956592,-0.23082143,3.1091037,3.1091034
15,0.18987343,-0.082213804,-0.053514294,-0.25587964,3.1383827,3.1383824
16,0.20253165,-0.09781414,-0.06702898,-0.28272966,3.1667092,3.166709
17,0.21518987,-0.115726225,-0.080421545,-0.31139123,3.1927106,3.1927104
18,0.22784811,-0.14024827,-0.093964286,-0.33814272,3.2127814,3.2127812
19,0.24050634,-0.16981472,-0.110416755,-0.363159,3.2285492,3.228549
20,0.25316456,-0.20273711,-0.12619148,-0.38988647,3.2439198,3.2439196
21,0.2658228,-0.23922186,-0.13671513,-0.42059383,3.2602215,3.2602212
22,0.278481,-0.27909455,-0.14891538,-0.45268086,3.276325,3.2763247
23,0.29113925,-0.32161263,-0.16127653,-0.48804724,3.2948313,3.294831
24,0.30379748,-0.36869243,-0.17441157,-0.52446854,3.3127964,3.312796
25,0.3164557,-0.41966167,-0.18536276,-0.5640223,3.329055,3.3290548
26,0.32911393,-0.47479534,-0.1958117,-0.60601264,3.346144,3.346144
27,0.34177217,-0.5345437,-0.20500627,-0.65025216,3.362598,3.362598
28,0.35443038,-0.5993493,-0.21595983,-0.6958571,3.378365,3.378365
29,0.36708862,-0.6686639,-0.22981292,-0.74372977,3.3953292,3.3953292
30,0.37974685,-0.73650503,-0.24249731,-0.8038202,3.4157906,3.4157906
31,0.39240506,-0.8093042,-0.25432065,-0.8685209,3.4396336,3.4396336
32,0.4050633,-0.88454384,-0.2655752,-0.94136673,3.4566977,3.4566977
33,0.41772154,-0.9653775,-0.2766334,-1.0197521,3.4692583,3.4692583
34,0.43037975,-1.0498883,-0.28732336,-1.1065623,3.47715,3.47715
35,0.443038,-1.1342784,-0.30099285,-1.2056884,3.4905958,3.4905958
36,0.45569623,-1.2246683,-0.31660026,-1.3126876,3.5036106,3.5036106
37,0.46835443,-1.3204687,-0.32307148,-1.4300716,3.5106556,3.5106556
38,0.48101267,-1.4196608,-0.32166144,-1.5601969,3.5045483,3.5045483
39,0.4936709,-1.5270481,-0.31866285,-1.7000111,3.5064437,3.5064437
40,0.5063291,-1.6563435,-0.32279873,-1.8391134,3.5201685,3.5201685
41,0.51898736,-1.7987652,-0.3275239,-1.9858676,3.5515869,3.5515869
42,0.53164554,-1.9177668,-0.3253386,-2.1700683,3.6230626,3.6230626
43,0.5443038,-2.039044,-0.3228363,-2.3722837,3.7052872,3.7052872
44,0.556962,-2.1625545,-0.33150718,-2.5923796,3.7807631,3.7807631
45,0.56962025,-2.2975562,-0.33596268,-2.826748,3.862419,3.862419
46,0.5822785,-2.4745708,-0.3406058,-3.055023,3.9375472,3.9375472
47,0.5949367,-2.6426682,-0.34732482,-3.312966,4.022999,4.022999
48,0.6075949,-2.8147073,-0.3485728,-3.592359,4.101402,4.101402
49,0.62025315,-2.9898622,-0.35027975,-3.894133,4.174824,4.174824
50,0.6329114,-3.1003687,-0.3498879,-4.2495055,4.225538,4.225538
51,0.6455696,-3.2056592,-0.34394586,-4.6326604,4.2427726,4.2427726
52,0.65822786,-3.3258848,-0.32934666,-5.0396185,4.2587,4.2587
53,0.67088604,-3.4230027,-0.31859112,-5.4831505,4.2371235,4.2371235
54,0.6835443,-3.464191,-0.2977496,-5.9660487,4.194572,4.194572
55,0.6962025,-3.3971646,-0.16823283,-6.4653506,4.058725,4.058725
56,0.70886075,-3.3863068,-0.016174644,-7.000828,3.9625607,3.9625607
57,0.721519,-3.2055485,0.2111327,-7.522547,3.8021019,3.8021019
58,0.73417723,-2.9573793,0.5300565,-8.018718,3.6413703,3.6413703
59,0.7468354,-2.71159,0.90793,-8.536085,3.5358567,3.5358567
60,0.75949365,-2.382171,1.2624571,-9.089953,3.381082,3.381082
61,0.7721519,-1.9040504,1.7098726,-9.53454,3.1461017,3.1461017
62,0.7848101,-1.3956845,2.2152007,-9.9940815,2.8824663,2.8824663
