index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.009434129,-0.0029171505,0.004684252,0.08328472,0.08328472
2,0.025316456,0.02021999,-0.0058722147,0.010345681,0.16499928,0.16499928
3,0.037974685,0.032438483,-0.012172777,0.009195133,0.20074226,0.20074227
4,0.050632913,0.045521572,-0.019063592,0.0075874785,0.23615393,0.23615395
5,0.06329114,0.05935157,-0.026714545,0.005667456,0.27064908,0.27064908
6,0.07594937,0.07399517,-0.035171468,0.0034137503,0.3038382,0.30383816
7,0.088607594,0.089514725,-0.044519044,0.0006227228,0.33586052,0.3358605
8,0.101265825,0.10596203,-0.054947123,-0.0024863614,0.36612463,0.36612457
9,0.11392406,0.12352235,-0.06607652,-0.006537689,0.39477834,0.39477825
10,0.12658228,0.14269918,-0.07728834,-0.011304933,0.42309037,0.42309028
11,0.1392405,0.16344775,-0.0892232,-0.015496859,0.45198193,0.45198184
12,0.15189874,0.18541569,-0.102287926,-0.019992316,0.48118728,0.4811872
13,0.16455697,0.20874336,-0.116475835,-0.024674036,0.51073104,0.510731
14,0.17721519,0.23404011,-0.13113077,-0.029205099,0.5429565,0.5429564
15,0.18987343,0.26120266,-0.14615127,-0.034686886,0.5776309,0.57763076
16,0.20253165,0.293221,-0.15722544,-0.03592071,0.60692483,0.6069247
17,0.21518987,0.3272417,-0.16989264,-0.038376454,0.6311671,0.631167
18,0.22784811,0.36340016,-0.18430656,-0.042120013,0.65518886,0.65518874
19,0.24050634,0.4021213,-0.2003682,-0.04572726,0.678645,0.6786449
20,0.25316456,0.44363588,-0.21802844,-0.049852494,0.70342433,0.7034242
21,0.2658228,0.4880048,-0.23718068,-0.05672408,0.72778964,0.7277895
22,0.278481,0.53220767,-0.26228416,-0.06835282,0.7322743,0.7322742
23,0.29113925,0.5761045,-0.2935247,-0.08586125,0.7168428,0.71684265
24,0.30379748,0.621982,-0.32800186,-0.10640693,0.71014595,0.71014583
25,0.3164557,0.67166024,-0.36451948,-0.12831827,0.70057005,0.7005699
26,0.32911393,0.72596556,-0.40259287,-0.15088545,0.6871352,0.6871351
27,0.34177217,0.7860896,-0.4408632,-0.17380649,0.6658957,0.66589564
28,0.35443038,0.85336703,-0.4782645,-0.19525912,0.63925916,0.6392591
29,0.36708862,0.92340785,-0.5198893,-0.22085892,0.6111969,0.61119676
30,0.37974685,0.99844956,-0.5644626,-0.24807872,0.57977176,0.57977164
31,0.39240506,1.0769964,-0.61498636,-0.27789378,0.5461189,0.5461188
32,0.4050633,1.1635842,-0.6664774,-0.3080397,0.5100472,0.5100471
33,0.41772154,1.2597942,-0.71987003,-0.33420148,0.47588438,0.47588426
34,0.43037975,1.3629144,-0.7796468,-0.3583276,0.44160587,0.44160575
35,0.443038,1.475958,-0.8421271,-0.37548786,0.40248066,0.40248054
36,0.45569623,1.6073741,-0.891422,-0.364451,0.3548021,0.35480198
37,0.46835443,1.7538003,-0.91738015,-0.34744427,0.30249408,0.30249393
38,0.48101267,1.9141711,-0.91621816,-0.31592333,0.24491471,0.24491458
39,0.4936709,2.087601,-0.92130595,-0.28505224,0.17668447,0.17668433
40,0.5063291,2.2730765,-0.91972065,-0.24411224,0.112194486,0.112194344
41,0.51898736,2.4712288,-0.9094889,-0.19535598,0.04785598,0.04785583
42,0.53164554,2.6762989,-0.88132536,-0.12168176,0.0026484132,0.0026482567
43,0.5443038,2.8906717,-0.8387324,-0.032525092,-0.03398479,-0.03398496
44,0.556962,3.1123626,-0.78926504,0.07872985,-0.05929244,-0.05929262
45,0.56962025,3.3377886,-0.71741986,0.20981072,-0.082516745,-0.08251692
46,0.5822785,3.5754504,-0.63596404,0.35276073,-0.11096123,-0.11096141
47,0.5949367,3.8145545,-0.5137342,0.50386196,-0.11910169,-0.11910188
48,0.6075949,4.051984,-0.37585443,0.68410486,-0.13370502,-0.13370523
49,0.62025315,4.298071,-0.22214065,0.87937117,-0.15402545,-0.15402566
50,0.6329114,4.5441084,-0.062499076,1.10968,-0.18032518,-0.18032537
51,0.6455696,4.8165007,0.10350771,1.3467813,-0.21920905,-0.21920925
52,0.65822786,5.1044736,0.27546895,1.6079658,-0.27110192,-0.27110213
53,0.67088604,5.419197,0.46513444,1.8763231,-0.32483357,-0.32483378
54,0.6835443,5.741153,0.62479615,2.2027268,-0.40067646,-0.40067667
