index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0002901713,-0.011129941,-0.0011729058,0.017306343,0.017306358
2,0.025316456,-0.00020471367,-0.023614254,-0.002706495,0.03699676,0.03699678
3,0.037974685,-0.0007231102,-0.03730919,-0.004453776,0.0583321,0.05833213
4,0.050632913,-0.0010234392,-0.052059263,-0.006478825,0.080990486,0.08099052
5,0.06329114,-0.0011426772,-0.06782034,-0.008834491,0.10472915,0.10472918
6,0.07594937,-0.0011800244,-0.084657066,-0.011666549,0.12888782,0.12888783
7,0.088607594,-0.0011663728,-0.10275227,-0.014675617,0.15490396,0.154904
8,0.101265825,-0.00090671366,-0.12225737,-0.017637314,0.18347737,0.1834774
9,0.11392406,-0.00020159973,-0.14310423,-0.021278163,0.2140727,0.21407272
10,0.12658228,0.0014025788,-0.16520736,-0.026283741,0.24397095,0.24397096
11,0.1392405,0.0047380347,-0.1880527,-0.03380746,0.26827973,0.26827976
12,0.15189874,0.008142215,-0.21282852,-0.04064542,0.29964185,0.29964188
13,0.16455697,0.0118927825,-0.23948213,-0.047016833,0.33595946,0.3359595
14,0.17721519,0.018356867,-0.26740146,-0.05431167,0.3692538,0.36925384
15,0.18987343,0.024720723,-0.2980433,-0.0588481,0.391643,0.39164302
16,0.20253165,0.030984392,-0.33092675,-0.06415077,0.41500166,0.4150017
17,0.21518987,0.040057987,-0.36531615,-0.07183447,0.43478063,0.43478063
18,0.22784811,0.051336054,-0.40140805,-0.08133545,0.45061868,0.45061868
19,0.24050634,0.06669231,-0.43657395,-0.0986882,0.449195,0.449195
20,0.25316456,0.08414578,-0.47405753,-0.11727379,0.4490172,0.4490172
21,0.2658228,0.10319978,-0.51438606,-0.13716064,0.4483071,0.44830713
22,0.278481,0.12454635,-0.5564497,-0.16045077,0.445039,0.44503903
23,0.29113925,0.14732789,-0.6016576,-0.18590026,0.44103962,0.44103965
24,0.30379748,0.1701973,-0.65104985,-0.21334113,0.43714303,0.43714306
25,0.3164557,0.19865482,-0.70264834,-0.24173541,0.4360169,0.43601692
26,0.32911393,0.23073354,-0.75689906,-0.27233094,0.4318361,0.43183613
