index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.007006256,-0.00067542796,0.0074830186,0.027444998,0.027444998
2,0.025316456,-0.017342981,-0.004203246,0.012872177,0.063732095,0.063732095
3,0.037974685,-0.026568383,-0.011016561,0.019761298,0.09543328,0.09543327
4,0.050632913,-0.034713984,-0.017732322,0.029060135,0.12463036,0.12463035
5,0.06329114,-0.040843878,-0.015541882,0.04301683,0.18723956,0.18723956
6,0.07594937,-0.047903325,-0.013012126,0.05781044,0.2420373,0.24203728
7,0.088607594,-0.054254867,-0.007293014,0.07354392,0.2893898,0.28938976
8,0.101265825,-0.060426082,-0.0005560727,0.090563156,0.3391336,0.33913356
9,0.11392406,-0.068573296,0.0059995134,0.10846926,0.39088872,0.3908887
10,0.12658228,-0.07616753,0.012759147,0.12818822,0.450728,0.45072797
11,0.1392405,-0.08389524,0.023712112,0.14779946,0.50082624,0.5008262
12,0.15189874,-0.092560686,0.03679013,0.16781634,0.55203867,0.5520386
13,0.16455697,-0.103232384,0.051929526,0.18764794,0.6044973,0.60449725
14,0.17721519,-0.114828534,0.06760477,0.20913798,0.6565249,0.65652484
15,0.18987343,-0.12835325,0.08359754,0.23186171,0.71640724,0.7164072
16,0.20253165,-0.14230101,0.097284675,0.25855494,0.7927036,0.7927035
17,0.21518987,-0.15507545,0.11380383,0.2872366,0.87873363,0.8787335
18,0.22784811,-0.1650005,0.12958713,0.320285,0.98933995,0.9893398
19,0.24050634,-0.17389314,0.14947495,0.35475034,1.1190865,1.1190865
20,0.25316456,-0.1941677,0.17180571,0.38577995,1.2297318,1.2297318
21,0.2658228,-0.2280894,0.19828919,0.40580973,1.2897325,1.2897325
22,0.278481,-0.25933123,0.22953276,0.43168655,1.3613499,1.3613499
