index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.0032104047,-0.0021679555,-0.0103365835,0.063313365,0.06331336
2,0.025316456,-0.008187735,-0.0037787408,-0.021610137,0.121938735,0.12193874
3,0.037974685,-0.013228787,-0.005100922,-0.034234993,0.18374854,0.18374854
4,0.050632913,-0.018435381,-0.0057898858,-0.047995858,0.24698952,0.24698953
5,0.06329114,-0.023217028,-0.0074549587,-0.06292978,0.31937194,0.31937194
6,0.07594937,-0.029442254,-0.009013236,-0.0785424,0.38631558,0.38631558
7,0.088607594,-0.03645999,-0.010590903,-0.09520337,0.45673674,0.45673674
8,0.101265825,-0.04384523,-0.011649968,-0.11321347,0.5254719,0.5254719
9,0.11392406,-0.05389514,-0.01732514,-0.13068688,0.5708385,0.5708385
10,0.12658228,-0.066203,-0.02318379,-0.14861716,0.61492956,0.61492956
11,0.1392405,-0.07815453,-0.03246539,-0.16744447,0.6649025,0.66490257
12,0.15189874,-0.09147071,-0.042657048,-0.18560602,0.7234371,0.72343713
13,0.16455697,-0.1126625,-0.06014044,-0.18479785,0.79024935,0.7902494
14,0.17721519,-0.13672298,-0.07685904,-0.18266578,0.8537609,0.85376096
15,0.18987343,-0.16317098,-0.08647436,-0.19541737,0.8888874,0.8888875
16,0.20253165,-0.19326791,-0.09254238,-0.20943782,0.9160138,0.9160139
17,0.21518987,-0.22675861,-0.099430375,-0.221507,0.9399782,0.9399783
18,0.22784811,-0.2642362,-0.10115958,-0.23185243,0.95601887,0.956019
19,0.24050634,-0.3045457,-0.09244661,-0.23921132,0.96399325,0.9639934
20,0.25316456,-0.34730226,-0.08319305,-0.25019902,0.97381604,0.97381616
21,0.2658228,-0.3924719,-0.07415152,-0.2656361,0.98693985,0.98693997
22,0.278481,-0.43950275,-0.06636512,-0.28739974,1.0064288,1.006429
23,0.29113925,-0.49236882,-0.060483005,-0.30623427,1.0209644,1.0209645
24,0.30379748,-0.55034924,-0.05961443,-0.32445836,1.0329423,1.0329424
25,0.3164557,-0.61147857,-0.05896853,-0.34732124,1.0477792,1.0477793
