index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.006870417,0.008532616,-0.002403874,0.012936135,0.012936139
2,0.025316456,-0.014682656,0.018022068,-0.0052059176,0.02755275,0.027552743
3,0.037974685,-0.023357145,0.02836953,-0.0082263425,0.04356817,0.043568164
4,0.050632913,-0.032719765,0.039461367,-0.011654946,0.060710736,0.060710724
5,0.06329114,-0.042769928,0.05127405,-0.015426446,0.07893338,0.078933366
6,0.07594937,-0.053757515,0.06383998,-0.019130746,0.09843056,0.09843056
7,0.088607594,-0.065616034,0.07731722,-0.023031328,0.11931644,0.11931643
8,0.101265825,-0.07840314,0.0918079,-0.027144836,0.14150614,0.14150612
9,0.11392406,-0.092128746,0.10729573,-0.03186395,0.16534135,0.16534133
10,0.12658228,-0.10681635,0.12391208,-0.036928166,0.19039944,0.19039942
11,0.1392405,-0.12271459,0.14146103,-0.042489726,0.21677634,0.21677631
12,0.15189874,-0.13964258,0.16021028,-0.048534617,0.24487054,0.24487051
13,0.16455697,-0.15757069,0.18038608,-0.05486874,0.27487907,0.27487904
14,0.17721519,-0.17646155,0.2021894,-0.06151883,0.3074745,0.30747446
15,0.18987343,-0.19631407,0.2258808,-0.068366505,0.34211528,0.34211525
16,0.20253165,-0.21719313,0.25185838,-0.07464321,0.3784485,0.37844846
17,0.21518987,-0.2390212,0.2802506,-0.08111886,0.41746077,0.41746074
18,0.22784811,-0.26168957,0.31135693,-0.08808525,0.4588535,0.4588535
19,0.24050634,-0.28549924,0.3452552,-0.095485605,0.50394106,0.50394106
20,0.25316456,-0.30970365,0.38285518,-0.102759965,0.55306077,0.55306077
21,0.2658228,-0.3354801,0.4235329,-0.11068051,0.60654753,0.60654753
22,0.278481,-0.36369637,0.46715403,-0.118762866,0.66544086,0.66544086
23,0.29113925,-0.39449045,0.5141518,-0.12576273,0.72981864,0.72981864
24,0.30379748,-0.4271003,0.56504923,-0.13322207,0.7988774,0.7988774
25,0.3164557,-0.4616198,0.6199914,-0.14118934,0.87398154,0.87398154
26,0.32911393,-0.4998936,0.6776089,-0.15186387,0.95814395,0.95814395
27,0.34177217,-0.5425346,0.7378083,-0.16418694,1.0530392,1.0530392
28,0.35443038,-0.5887657,0.8018995,-0.17571342,1.1536186,1.1536186
29,0.36708862,-0.63977873,0.8696886,-0.18468754,1.2631807,1.2631806
30,0.37974685,-0.6952938,0.94149417,-0.19470987,1.379982,1.3799818
31,0.39240506,-0.7534343,1.0192413,-0.20704292,1.5105174,1.5105171
32,0.4050633,-0.81429046,1.104186,-0.21798043,1.6464962,1.6464959
33,0.41772154,-0.8854879,1.1917021,-0.22281021,1.7816343,1.7816341
34,0.43037975,-0.96010184,1.2872895,-0.22897375,1.9242847,1.9242845
35,0.443038,-1.0348226,1.3941507,-0.23667546,2.0872147,2.0872145
36,0.45569623,-1.1100132,1.512968,-0.23845808,2.2638385,2.2638383
37,0.46835443,-1.1933676,1.6393695,-0.24377611,2.4528806,2.4528804
38,0.48101267,-1.2809472,1.7771485,-0.24681167,2.6604846,2.6604843
39,0.4936709,-1.3693945,1.9292992,-0.2510843,2.8783946,2.8783944
40,0.5063291,-1.4699683,2.0899267,-0.25824246,3.1301525,3.1301522
41,0.51898736,-1.5741725,2.2647176,-0.2747749,3.398375,3.398375
42,0.53164554,-1.6922275,2.4483926,-0.29776305,3.6730063,3.6730065
43,0.5443038,-1.8300151,2.6386719,-0.31762436,3.9941263,3.9941266
44,0.556962,-1.9879482,2.8342614,-0.34194443,4.331638,4.331638
45,0.56962025,-2.1717274,3.0309258,-0.36689353,4.667131,4.667131
46,0.5822785,-2.3770201,3.231539,-0.39717072,5.03942,5.03942
47,0.5949367,-2.6043644,3.4346316,-0.43943274,5.4447427,5.4447427
48,0.6075949,-2.8497574,3.6491685,-0.47408214,5.8965797,5.8965797
49,0.62025315,-3.0927453,3.8993785,-0.484202,6.3857455,6.3857455
50,0.6329114,-3.3545828,4.1629453,-0.5043741,6.908878,6.908878
51,0.6455696,-3.6381018,4.439076,-0.53710485,7.439719,7.439719
52,0.65822786,-3.9202209,4.752674,-0.5854259,7.935202,7.935202
53,0.67088604,-4.214436,5.0964956,-0.6276539,8.390663,8.390663
54,0.6835443,-4.527802,5.4680433,-0.6642607,8.8493595,8.8493595
55,0.6962025,-4.87285,5.8600955,-0.6754914,9.310675,9.310675
56,0.70886075,-5.2734146,6.2485547,-0.644312,9.813159,9.813159
57,0.721519,-5.7061524,6.654906,-0.56318533,10.3507395,10.3507395
58,0.73417723,-6.1336174,7.1318736,-0.5627411,10.929261,10.929261
59,0.7468354,-6.5995493,7.6337795,-0.50699943,11.455494,11.455494
60,0.75949365,-7.1015544,8.163649,-0.40303376,11.935587,11.935587
61,0.7721519,-7.663471,8.711564,-0.29503542,12.389508,12.389508
62,0.7848101,-8.2801485,9.286383,-0.17300665,12.872438,12.872438
63,0.79746836,-8.947503,9.900455,-0.040575966,13.386499,13.386499
64,0.8101266,-9.70154,10.507291,0.14024934,13.922252,13.922253
65,0.8227848,-10.595226,11.053863,0.30000502,14.456584,14.456585
66,0.835443,-11.618962,11.540199,0.41737485,15.008385,15.008386
67,0.84810126,-12.747607,12.024654,0.42323354,15.529637,15.529638
68,0.8607595,-13.964159,12.549156,0.46061796,16.028505,16.028507
69,0.87341774,-15.345893,12.922137,0.4730125,16.510849,16.51085
70,0.886076,-16.863478,13.22833,0.38555765,16.98096,16.980963
71,0.89873415,-18.502846,13.479175,0.13479519,17.445496,17.445498
72,0.9113924,-20.270243,13.697962,-0.16909567,17.92058,17.920582
