index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0050081555,-0.008780323,-0.0041951183,0.116592675,0.116592675
2,0.025316456,0.010801725,-0.018903768,-0.008302471,0.22756192,0.22756192
3,0.037974685,0.01586319,-0.030032102,-0.014246063,0.3368641,0.3368641
4,0.050632913,0.020585913,-0.041810814,-0.021731049,0.43826202,0.438262
5,0.06329114,0.02533438,-0.054914694,-0.029156832,0.53473717,0.5347371
6,0.07594937,0.031366736,-0.06869191,-0.03678938,0.6358124,0.63581234
7,0.088607594,0.04040149,-0.08186272,-0.045335256,0.72046703,0.720467
8,0.101265825,0.053440474,-0.09427418,-0.053198934,0.780547,0.78054696
9,0.11392406,0.067573234,-0.10786105,-0.06102707,0.8407392,0.84073913
10,0.12658228,0.08299481,-0.122047275,-0.06957662,0.90450376,0.9045037
11,0.1392405,0.09846571,-0.1386374,-0.07794808,0.96778464,0.9677845
12,0.15189874,0.11356688,-0.15883312,-0.083326526,1.0371759,1.0371758
13,0.16455697,0.13000526,-0.18013498,-0.089454226,1.1054304,1.1054302
14,0.17721519,0.14837117,-0.20223294,-0.096104845,1.1717187,1.1717186
15,0.18987343,0.16787302,-0.22605538,-0.10284624,1.2377253,1.237725
16,0.20253165,0.19192141,-0.24804586,-0.11169407,1.3169607,1.3169605
17,0.21518987,0.21981288,-0.26987374,-0.119527385,1.3853095,1.3853092
18,0.22784811,0.2502357,-0.29302266,-0.12722436,1.4497335,1.4497333
19,0.24050634,0.28335437,-0.31678477,-0.13712332,1.5073162,1.507316
20,0.25316456,0.3214721,-0.3392897,-0.14656766,1.5530298,1.5530295
21,0.2658228,0.36088368,-0.36482742,-0.15961927,1.5984876,1.5984874
22,0.278481,0.4028228,-0.39412245,-0.1713655,1.6365176,1.6365174
23,0.29113925,0.45416063,-0.41529265,-0.18140572,1.6645222,1.6645219
24,0.30379748,0.50976616,-0.4386489,-0.18972251,1.6936432,1.693643
25,0.3164557,0.5691601,-0.46291104,-0.20211259,1.7239922,1.723992
26,0.32911393,0.63080615,-0.49283206,-0.21645343,1.7539897,1.7539895
27,0.34177217,0.6962066,-0.525123,-0.23297048,1.7824864,1.7824863
28,0.35443038,0.76295495,-0.563282,-0.25471807,1.806373,1.8063729
29,0.36708862,0.83555496,-0.6010864,-0.2789666,1.8293041,1.829304
30,0.37974685,0.91548306,-0.6338759,-0.30865934,1.852615,1.8526149
31,0.39240506,1.0022336,-0.6680956,-0.33666497,1.887338,1.8873379
32,0.4050633,1.0995874,-0.6969408,-0.36388066,1.9264655,1.9264654
33,0.41772154,1.2001488,-0.72593814,-0.40634218,1.963224,1.9632239
34,0.43037975,1.3067769,-0.74555755,-0.4608646,2.011029,2.011029
35,0.443038,1.4266167,-0.7683799,-0.50763357,2.0730252,2.0730252
36,0.45569623,1.556414,-0.7962707,-0.5540631,2.1354465,2.1354465
37,0.46835443,1.693758,-0.8337247,-0.60608655,2.2122102,2.2122102
38,0.48101267,1.8377848,-0.8772075,-0.66987586,2.2981431,2.2981434
39,0.4936709,1.9889723,-0.9175347,-0.75062585,2.3870664,2.3870666
40,0.5063291,2.1418238,-0.9570724,-0.85556483,2.472333,2.472333
41,0.51898736,2.284503,-1.0032263,-0.9937088,2.5486856,2.5486856
42,0.53164554,2.4088604,-1.050967,-1.1684737,2.6249971,2.6249971
43,0.5443038,2.5320196,-1.1122353,-1.3600335,2.7226834,2.7226834
44,0.556962,2.6641073,-1.1825078,-1.5638773,2.8150015,2.8150015
45,0.56962025,2.7980006,-1.2663364,-1.783198,2.9026687,2.9026687
46,0.5822785,2.9442647,-1.3478854,-2.0182545,2.9962153,2.9962153
47,0.5949367,3.0825176,-1.4140581,-2.2855387,3.1129863,3.1129863
48,0.6075949,3.249918,-1.4749113,-2.5613534,3.2144504,3.2144504
49,0.62025315,3.4157343,-1.5121249,-2.867076,3.2957146,3.2957146
50,0.6329114,3.6275787,-1.5621871,-3.1697214,3.3638227,3.3638227
51,0.6455696,3.8770854,-1.6233523,-3.4735806,3.4198697,3.4198697
52,0.65822786,4.1490116,-1.6863776,-3.7945914,3.4690905,3.4690905
53,0.67088604,4.4509616,-1.7550688,-4.12858,3.5173912,3.5173912
54,0.6835443,4.7972484,-1.8473572,-4.459629,3.585356,3.585356
55,0.6962025,5.1573033,-1.9592957,-4.8221684,3.6651573,3.6651573
56,0.70886075,5.545738,-2.062581,-5.2123175,3.767582,3.767582
57,0.721519,5.9514713,-2.1767654,-5.638737,3.8954644,3.8954644
58,0.73417723,6.3777046,-2.3196476,-6.0971956,4.0779243,4.0779243
59,0.7468354,6.8307137,-2.513345,-6.577032,4.2838216,4.2838216
60,0.75949365,7.3151436,-2.7308872,-7.089525,4.5162735,4.5162735
61,0.7721519,7.804606,-3.0557904,-7.618952,4.8110094,4.8110094
62,0.7848101,8.228133,-3.4930599,-8.2123,5.1256447,5.1256447
63,0.79746836,8.639223,-4.0749893,-8.78903,5.4332685,5.4332685
64,0.8101266,9.098185,-4.715403,-9.381944,5.7036886,5.7036886
