index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.0066184397,-0.0073725055,-0.005199949,0.01785634,0.017856343
2,0.025316456,-0.014252843,-0.015502015,-0.011025965,0.03641466,0.03641466
3,0.037974685,-0.022532713,-0.024439638,-0.017532462,0.055050623,0.05505061
4,0.050632913,-0.03150942,-0.033893812,-0.024728509,0.07338743,0.073387414
5,0.06329114,-0.04101572,-0.044039138,-0.032523505,0.091350846,0.09135084
6,0.07594937,-0.051154286,-0.055070013,-0.040720843,0.10918385,0.109183855
7,0.088607594,-0.06194421,-0.066863835,-0.049735732,0.12661253,0.12661253
8,0.101265825,-0.073868565,-0.079359666,-0.059297316,0.14350225,0.14350225
9,0.11392406,-0.08946631,-0.09143383,-0.06693344,0.16572887,0.16572888
10,0.12658228,-0.10718809,-0.103682324,-0.07418075,0.19041207,0.19041207
11,0.1392405,-0.12593746,-0.11692272,-0.08217804,0.214748,0.214748
12,0.15189874,-0.14607777,-0.13061973,-0.09119647,0.2344591,0.2344591
13,0.16455697,-0.16792747,-0.14547247,-0.099617586,0.2559853,0.2559853
14,0.17721519,-0.19126566,-0.16123709,-0.10877465,0.27870485,0.27870485
15,0.18987343,-0.21602209,-0.17797293,-0.11927147,0.30160278,0.30160278
16,0.20253165,-0.24239482,-0.19577383,-0.13103968,0.3240493,0.3240493
17,0.21518987,-0.26802883,-0.21404245,-0.14927174,0.33370188,0.33370188
18,0.22784811,-0.29432666,-0.23500837,-0.16936208,0.34081656,0.34081656
19,0.24050634,-0.3235339,-0.256524,-0.1907877,0.34438676,0.34438673
20,0.25316456,-0.35551164,-0.27917644,-0.21367364,0.34750143,0.3475014
21,0.2658228,-0.38963547,-0.3035375,-0.23881067,0.35007283,0.3500728
22,0.278481,-0.4241317,-0.33059838,-0.26786712,0.35124716,0.35124713
23,0.29113925,-0.45900786,-0.36071056,-0.30096853,0.34441593,0.3444159
24,0.30379748,-0.49572945,-0.39306477,-0.33742812,0.33579174,0.3357917
25,0.3164557,-0.5332559,-0.42866498,-0.37759656,0.3248421,0.32484207
26,0.32911393,-0.57154983,-0.46792182,-0.4213445,0.31259352,0.3125935
27,0.34177217,-0.61076736,-0.5094997,-0.46986908,0.300335,0.30033496
28,0.35443038,-0.653644,-0.5529417,-0.52168155,0.28896242,0.2889624
29,0.36708862,-0.7003952,-0.5985585,-0.5769037,0.28174806,0.28174803
30,0.37974685,-0.752368,-0.6445866,-0.6365868,0.2789682,0.27896816
31,0.39240506,-0.8051787,-0.694821,-0.7023129,0.27475882,0.2747588
32,0.4050633,-0.8618392,-0.7488221,-0.77275854,0.25708696,0.25708693
33,0.41772154,-0.9167877,-0.80901235,-0.85137683,0.23097989,0.23097986
34,0.43037975,-0.9762207,-0.87428284,-0.9352311,0.2011878,0.20118777
35,0.443038,-1.0402619,-0.9431046,-1.0263375,0.18904181,0.1890418
36,0.45569623,-1.1129531,-1.0137576,-1.1242434,0.18369502,0.183695
37,0.46835443,-1.1935512,-1.085172,-1.2312632,0.18263252,0.1826325
38,0.48101267,-1.2865415,-1.1593252,-1.3436642,0.17790073,0.17790073
39,0.4936709,-1.3947065,-1.2248466,-1.4664636,0.18145488,0.1814549
40,0.5063291,-1.5143571,-1.292471,-1.5977279,0.18251903,0.18251905
41,0.51898736,-1.6420249,-1.36186,-1.7417575,0.18628207,0.1862821
42,0.53164554,-1.7723176,-1.4407821,-1.9005008,0.18525627,0.1852563
43,0.5443038,-1.9023112,-1.5263358,-2.0782511,0.18028171,0.18028173
44,0.556962,-2.0368257,-1.6175758,-2.2724333,0.17623879,0.1762388
45,0.56962025,-2.1863759,-1.7123758,-2.477349,0.17255126,0.17255129
46,0.5822785,-2.3392687,-1.8242425,-2.6959972,0.18003298,0.18003301
47,0.5949367,-2.5154526,-1.9376885,-2.9223962,0.19169329,0.19169334
48,0.6075949,-2.6985135,-2.0719597,-3.159968,0.20599908,0.20599912
49,0.62025315,-2.892013,-2.2207222,-3.4108033,0.22325407,0.22325411
50,0.6329114,-3.1087925,-2.3855462,-3.6656349,0.25460944,0.25460947
51,0.6455696,-3.3198905,-2.5438657,-3.9632845,0.30573842,0.30573845
52,0.65822786,-3.519891,-2.7212527,-4.2942405,0.3686447,0.3686447
53,0.67088604,-3.7161832,-2.9124377,-4.6578236,0.44824457,0.44824457
54,0.6835443,-3.90292,-3.0959127,-5.069734,0.5497763,0.5497763
55,0.6962025,-4.070718,-3.3169253,-5.512789,0.6795332,0.6795332
56,0.70886075,-4.2023,-3.6222034,-5.9628577,0.8655672,0.8655672
57,0.721519,-4.2799525,-3.9686918,-6.4454355,1.0673826,1.0673827
58,0.73417723,-4.2814,-4.3432364,-6.9663973,1.2801269,1.280127
59,0.7468354,-4.2363863,-4.787665,-7.4877653,1.5436978,1.5436978
60,0.75949365,-4.0387616,-5.3442607,-7.9263654,1.8621286,1.8621286
61,0.7721519,-3.799112,-5.883809,-8.4550495,2.168308,2.168308
62,0.7848101,-3.5251143,-6.495862,-8.979345,2.4625206,2.4625206
63,0.79746836,-3.1253815,-7.2475376,-9.309633,2.734161,2.734161
64,0.8101266,-2.6191587,-8.068202,-9.515235,2.9434984,2.9434984
65,0.8227848,-2.0410037,-8.914356,-9.790484,3.1285343,3.1285343
66,0.835443,-1.4099193,-9.840135,-10.007668,3.2751353,3.2751353
67,0.84810126,-0.7876471,-10.877748,-10.22588,3.392239,3.392239
68,0.8607595,-0.1459226,-12.008232,-10.492866,3.5206103,3.5206103
69,0.87341774,0.49349558,-13.266551,-10.749617,3.7388787,3.7388787
70,0.886076,1.2581875,-14.567022,-11.112389,4.000813,4.000813
71,0.89873415,2.0885456,-15.938688,-11.609023,4.212945,4.212945
72,0.9113924,2.8789415,-17.483528,-12.11078,4.4206424,4.420642
73,0.9240506,3.5712495,-19.173937,-12.755949,4.7718096,4.771809
74,0.93670887,4.364724,-20.98492,-13.360176,5.265766,5.2657657
75,0.9493671,5.5147443,-22.830816,-13.6071005,6.0010505,6.00105
76,0.96202534,6.471718,-24.908943,-13.923455,6.8924036,6.892403
77,0.9746835,7.4315443,-27.02148,-14.789537,7.649224,7.6492233
78,0.98734176,8.541015,-29.268675,-15.657383,8.171216,8.171215
79,1.0,10.307012,-31.484848,-16.018774,8.22611,8.2261095
