index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.004432008,0.010139804,0.0012027362,0.034735247,0.034735255
2,0.025316456,-0.010319903,0.021140749,0.00029234745,0.069140136,0.06914015
3,0.037974685,-0.017581347,0.03264247,-0.0017278045,0.10409717,0.104097195
4,0.050632913,-0.025141554,0.045220792,-0.0038653107,0.1406239,0.14062394
5,0.06329114,-0.035061136,0.05738372,-0.0062195957,0.17662403,0.17662409
6,0.07594937,-0.04779906,0.06819472,-0.009238746,0.21100733,0.21100737
7,0.088607594,-0.06252949,0.078876324,-0.010804207,0.24665305,0.2466531
8,0.101265825,-0.07966481,0.08838271,-0.011671819,0.28648493,0.286485
9,0.11392406,-0.098162115,0.09855383,-0.011606311,0.32489485,0.3248949
10,0.12658228,-0.11877982,0.10786173,-0.011045277,0.36573794,0.365738
11,0.1392405,-0.14000362,0.11942235,-0.011941951,0.41384608,0.41384614
12,0.15189874,-0.1623616,0.13232699,-0.012826608,0.46492955,0.4649296
13,0.16455697,-0.18369962,0.14965524,-0.0118618,0.5246448,0.52464485
14,0.17721519,-0.20759532,0.16645718,-0.009271286,0.58935225,0.5893523
15,0.18987343,-0.23471461,0.18170609,-0.004893207,0.6579611,0.65796113
16,0.20253165,-0.26352495,0.19459906,0.0068232296,0.7255232,0.72552323
17,0.21518987,-0.29348597,0.20711547,0.022751171,0.79998225,0.7999823
18,0.22784811,-0.32926464,0.21721573,0.033399593,0.8870078,0.88700783
19,0.24050634,-0.36699653,0.22052352,0.051182598,0.97277755,0.9727776
20,0.25316456,-0.40930042,0.22536573,0.06605075,1.0458801,1.0458801
21,0.2658228,-0.45600834,0.22836336,0.078971565,1.1254877,1.1254877
22,0.278481,-0.50701416,0.22322309,0.08970559,1.2033739,1.2033739
23,0.29113925,-0.5614049,0.2139872,0.10142886,1.2829816,1.2829816
24,0.30379748,-0.6195846,0.20043279,0.11257473,1.3516091,1.3516091
25,0.3164557,-0.6817472,0.18392499,0.12352759,1.4205931,1.4205931
26,0.32911393,-0.7477226,0.16738056,0.13913935,1.5022651,1.5022652
27,0.34177217,-0.8161155,0.14512824,0.15926404,1.5839833,1.5839834
28,0.35443038,-0.889327,0.12308362,0.1820803,1.6596798,1.6596799
29,0.36708862,-0.96832687,0.10498896,0.20847727,1.7357402,1.7357403
30,0.37974685,-1.0540646,0.08884224,0.23511285,1.8202419,1.820242
31,0.39240506,-1.145731,0.07047307,0.26383758,1.908216,1.9082161
32,0.4050633,-1.2452877,0.044610575,0.28437287,1.9976256,1.9976257
33,0.41772154,-1.3535724,0.01794338,0.30131122,2.090036,2.090036
34,0.43037975,-1.4731027,-0.0012868252,0.30532667,2.1936758,2.1936758
35,0.443038,-1.6022803,-0.018829715,0.3096504,2.2956264,2.2956264
36,0.45569623,-1.741196,-0.03914076,0.30914214,2.3940403,2.3940403
37,0.46835443,-1.887986,-0.075368315,0.30578575,2.486254,2.486254
38,0.48101267,-2.0430844,-0.12617949,0.30258512,2.5709345,2.5709345
39,0.4936709,-2.2110176,-0.1777718,0.29651955,2.6532588,2.6532588
40,0.5063291,-2.387285,-0.24640422,0.29817367,2.7458434,2.7458434
41,0.51898736,-2.5693152,-0.33834234,0.2890614,2.8453455,2.8453455
42,0.53164554,-2.7613547,-0.43967274,0.2605441,2.9387631,2.9387631
43,0.5443038,-2.9552383,-0.560937,0.2033803,3.034908,3.034908
44,0.556962,-3.1689985,-0.6725706,0.12813635,3.1288,3.1288
45,0.56962025,-3.3916826,-0.7883461,0.028069764,3.2378578,3.2378578
46,0.5822785,-3.64638,-0.8897269,-0.06147618,3.3461838,3.3461838
47,0.5949367,-3.9209514,-1.0096837,-0.13174695,3.4518874,3.4518874
48,0.6075949,-4.201642,-1.1606101,-0.20964302,3.549101,3.549101
49,0.62025315,-4.4982758,-1.3185623,-0.30596286,3.624352,3.624352
50,0.6329114,-4.809768,-1.5056617,-0.3877641,3.6839862,3.6839862
51,0.6455696,-5.1281443,-1.7344503,-0.45459133,3.728297,3.728297
52,0.65822786,-5.478044,-1.9716665,-0.4998547,3.7737062,3.7737062
53,0.67088604,-5.8551617,-2.2212672,-0.5507211,3.8190553,3.8190553
54,0.6835443,-6.2745595,-2.458906,-0.62439084,3.8861475,3.8861475
55,0.6962025,-6.7412014,-2.663608,-0.7401043,3.9680274,3.9680274
56,0.70886075,-7.260979,-2.8308935,-0.8648717,4.06087,4.06087
57,0.721519,-7.815063,-3.0226238,-0.99139106,4.1479597,4.1479597
58,0.73417723,-8.413367,-3.2025552,-1.138197,4.25904,4.25904
59,0.7468354,-9.045187,-3.3989081,-1.3259147,4.3584566,4.3584566
60,0.75949365,-9.713613,-3.6035771,-1.5624273,4.43983,4.43983
61,0.7721519,-10.437052,-3.8319435,-1.7928536,4.507203,4.507203
62,0.7848101,-11.219096,-4.0668936,-2.037126,4.5526543,4.5526543
63,0.79746836,-12.032201,-4.3426666,-2.355129,4.607832,4.607832
64,0.8101266,-12.850537,-4.652216,-2.8087153,4.7146435,4.7146435
65,0.8227848,-13.706245,-4.9745593,-3.3450727,4.8497343,4.8497343
66,0.835443,-14.685844,-5.292377,-3.8363771,4.986881,4.986881
67,0.84810126,-15.763155,-5.6480794,-4.309762,5.103211,5.103211
68,0.8607595,-16.892878,-6.0674944,-4.864131,5.195356,5.195356
69,0.87341774,-18.121086,-6.6283083,-5.346946,5.2773285,5.2773285
70,0.886076,-19.450716,-7.3106136,-5.7647266,5.3452435,5.3452435
71,0.89873415,-20.858843,-8.073226,-6.266224,5.4565067,5.4565067
72,0.9113924,-22.345665,-8.849815,-6.943684,5.500457,5.500457
73,0.9240506,-23.916737,-9.610777,-7.78953,5.5382743,5.5382743
74,0.93670887,-25.593502,-10.56378,-8.537043,5.603383,5.603383
75,0.9493671,-27.324303,-11.704642,-9.262521,5.6164427,5.6164427
76,0.96202534,-29.163237,-13.0411625,-9.766408,5.6319933,5.6319933
77,0.9746835,-31.09737,-14.508026,-10.278627,5.654832,5.654832
78,0.98734176,-33.127464,-16.104939,-10.928749,5.665168,5.665168
79,1.0,-35.434143,-17.776903,-11.377102,5.6608543,5.6608543
