index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.010379235,0.0038472845,0.0015632182,4.655198e-06,4.660355e-06
2,0.025316456,-0.022045912,0.008171775,0.003320367,9.7117845e-06,9.715523e-06
3,0.037974685,-0.03484985,0.012917818,0.0052488027,2.2779539e-05,2.279007e-05
4,0.050632913,-0.048650652,0.018033378,0.0073273787,3.5664703e-05,3.56729e-05
5,0.06329114,-0.063419476,0.02350774,0.0095517505,3.8705293e-05,3.8712755e-05
6,0.07594937,-0.07923975,0.02937186,0.011934485,4.9695183e-05,4.9697865e-05
7,0.088607594,-0.09623604,0.035671886,0.014494344,5.83371e-05,5.8343336e-05
8,0.101265825,-0.11451593,0.042447694,0.017247528,7.085257e-05,7.08521e-05
9,0.11392406,-0.13415293,0.049726557,0.02020511,7.8939185e-05,7.894999e-05
10,0.12658228,-0.15519802,0.057527363,0.023374768,8.444545e-05,8.4463725e-05
11,0.1392405,-0.17770131,0.06586867,0.02676405,9.4884555e-05,9.4898736e-05
12,0.15189874,-0.20173004,0.0747754,0.030383084,0.000111225294,0.00011123688
13,0.16455697,-0.22737777,0.08428227,0.03424596,0.00012183945,0.000121853605
14,0.17721519,-0.25476846,0.0944352,0.038371343,0.00012853478,0.00012855488
15,0.18987343,-0.28405806,0.105292015,0.04278273,0.00014425382,0.00014427114
16,0.20253165,-0.3154324,0.11692157,0.047508106,0.00016960013,0.00016961437
17,0.21518987,-0.34909976,0.12940107,0.052578837,0.00019561792,0.00019563947
18,0.22784811,-0.38528198,0.14281277,0.05802834,0.0002248725,0.00022489834
19,0.24050634,-0.42420924,0.15724194,0.063891284,0.0002612102,0.00026123345
20,0.25316456,-0.46612063,0.17277728,0.07020368,0.0002905553,0.00029058883
21,0.2658228,-0.5112664,0.18951151,0.077003196,0.00032629698,0.00032633365
22,0.278481,-0.559904,0.20754004,0.08432863,0.0003444394,0.0003444711
23,0.29113925,-0.612284,0.22695576,0.09221772,0.00037251698,0.00037256593
24,0.30379748,-0.66862696,0.24784043,0.10070369,0.00042099296,0.00042103982
25,0.3164557,-0.72910786,0.27025893,0.10981288,0.00045357327,0.00045362848
26,0.32911393,-0.79387045,0.2942645,0.119566955,0.00047265433,0.00047270837
27,0.34177217,-0.86307675,0.3199173,0.12999031,0.0004942478,0.0004943089
28,0.35443038,-0.93697166,0.34730798,0.14111984,0.00051622756,0.0005162859
29,0.36708862,-1.015923,0.376573,0.15301092,0.00054212316,0.0005421836
30,0.37974685,-1.1004126,0.40789083,0.16573614,0.000593682,0.00059374236
31,0.39240506,-1.1909924,0.44146597,0.17937854,0.0006345345,0.0006345946
32,0.4050633,-1.288239,0.47751242,0.19402513,0.0006769293,0.00067698426
33,0.41772154,-1.3927355,0.5162462,0.20976363,0.00073711347,0.0007371749
34,0.43037975,-1.5050867,0.5578914,0.22668515,0.000825209,0.00082527666
35,0.443038,-1.6259513,0.6026924,0.24488889,0.00090135064,0.000901414
36,0.45569623,-1.7560635,0.6509212,0.2644851,0.0009285515,0.00092860847
37,0.46835443,-1.8962308,0.7028771,0.28559607,0.0010026331,0.0010026915
38,0.48101267,-2.0473104,0.7588778,0.30835056,0.0011275253,0.00112759
39,0.4936709,-2.210172,0.8192458,0.33287913,0.001195105,0.001195177
40,0.5063291,-2.3856702,0.8842977,0.35930994,0.0012416947,0.0012417682
41,0.51898736,-2.5746272,0.9543384,0.38776925,0.0013812255,0.0013812911
42,0.53164554,-2.7778215,1.0296565,0.41837293,0.0015524441,0.0015524966
43,0.5443038,-2.9959903,1.1105253,0.45123193,0.0017289977,0.0017290515
44,0.556962,-3.2298257,1.1972009,0.4864505,0.0018246836,0.0018247348
45,0.56962025,-3.4799922,1.2899301,0.52412874,0.001942135,0.001942175
46,0.5822785,-3.7471576,1.3889604,0.5643673,0.0021142508,0.0021142815
47,0.5949367,-4.0320554,1.4945631,0.60727566,0.002312312,0.0023123417
48,0.6075949,-4.3355722,1.6070676,0.6529891,0.002489699,0.0024897233
49,0.62025315,-4.6588564,1.7268995,0.7016798,0.0026196344,0.002619658
50,0.6329114,-5.003395,1.8546095,0.7535717,0.0027197069,0.0027197273
51,0.6455696,-5.3710546,1.9908895,0.80894285,0.0028956418,0.0028956593
52,0.65822786,-5.764046,2.1365597,0.86813235,0.0030939323,0.003093949
53,0.67088604,-6.1847973,2.2925198,0.9315029,0.0033019003,0.003301923
54,0.6835443,-6.6357474,2.4596734,0.9994217,0.003641276,0.003641305
55,0.6962025,-7.1191335,2.6388495,1.0722258,0.0038094185,0.0038094337
56,0.70886075,-7.6369724,2.830796,1.1502143,0.004059461,0.004059478
57,0.721519,-8.191314,3.0362709,1.2336984,0.0044930633,0.004493083
58,0.73417723,-8.784684,3.2561474,1.323071,0.0048602265,0.0048602447
59,0.7468354,-9.420348,3.491695,1.4188176,0.0050553037,0.0050553083
60,0.75949365,-10.1023245,3.7444746,1.5215245,0.005349743,0.005349753
61,0.7721519,-10.835068,4.0160723,1.6318779,0.005650323,0.0056503434
62,0.7848101,-11.623058,4.308148,1.7505533,0.0062204273,0.0062204464
63,0.79746836,-12.470666,4.62232,1.8782052,0.0070130085,0.0070130345
64,0.8101266,-13.3822975,4.9600973,2.0155904,0.0074456646,0.007445694
65,0.8227848,-14.362642,5.3234386,2.163239,0.008306779,0.008306804
66,0.835443,-15.417336,5.714366,2.322097,0.009240457,0.00924048
67,0.84810126,-16.553411,6.135461,2.4931939,0.0095007075,0.00950074
68,0.8607595,-17.7795,6.589793,2.6779044,0.010685691,0.010685718
69,0.87341774,-19.10518,7.081123,2.8775609,0.01146011,0.011460134
70,0.886076,-20.5399,7.6127496,3.0936525,0.012205425,0.012205442
71,0.89873415,-22.091057,8.187692,3.3272612,0.01311329,0.013113307
72,0.9113924,-23.762867,8.807364,3.5790422,0.013997666,0.013997674
73,0.9240506,-25.555792,9.471918,3.849092,0.014896189,0.014896202
74,0.93670887,-27.468077,10.180713,4.137089,0.015859108,0.015859118
75,0.9493671,-29.499123,10.933537,4.442972,0.016862601,0.016862616
76,0.96202534,-31.654182,11.732321,4.767532,0.018630736,0.018630756
77,0.9746835,-33.949013,12.582925,5.113144,0.020030256,0.020030275
78,0.98734176,-36.41257,13.4960575,5.4841647,0.02137351,0.021373522
79,1.0,-39.08619,14.487045,5.88682,0.02282407,0.02282408
