index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.010853129,-0.0022721398,-0.0011267895,0.024605403,0.024605403
2,0.025316456,0.023099653,-0.0046885516,-0.00221398,0.05205325,0.052053265
3,0.037974685,0.03646216,-0.0076283934,-0.003600384,0.08125718,0.081257194
4,0.050632913,0.050833397,-0.011064091,-0.0048125624,0.11207495,0.11207496
5,0.06329114,0.06619106,-0.014852025,-0.0060458407,0.14480792,0.14480792
6,0.07594937,0.082619004,-0.019003786,-0.00736626,0.17959015,0.17959017
7,0.088607594,0.10021123,-0.023707446,-0.008799729,0.21354415,0.21354416
8,0.101265825,0.119128995,-0.02888538,-0.010021114,0.24748684,0.24748686
9,0.11392406,0.13947372,-0.034332167,-0.011266892,0.28788465,0.28788465
10,0.12658228,0.16118367,-0.040458266,-0.012823658,0.3304678,0.3304678
11,0.1392405,0.18455411,-0.046097677,-0.015358896,0.3755491,0.3755491
12,0.15189874,0.20944616,-0.05249917,-0.017833844,0.4205302,0.4205302
13,0.16455697,0.2363386,-0.054728955,-0.021274222,0.4765535,0.4765535
14,0.17721519,0.26501894,-0.05321246,-0.027501428,0.5403665,0.5403665
15,0.18987343,0.29578537,-0.050233692,-0.033267856,0.60077506,0.60077506
16,0.20253165,0.32837093,-0.044906836,-0.039872114,0.66730577,0.66730577
17,0.21518987,0.36347148,-0.03899415,-0.046097446,0.7376391,0.73763907
18,0.22784811,0.40071666,-0.0302076,-0.052733883,0.8105225,0.81052244
19,0.24050634,0.44092917,-0.019582916,-0.05687263,0.88602394,0.8860239
20,0.25316456,0.4838164,-0.006922473,-0.061881095,0.96978754,0.9697875
21,0.2658228,0.52869797,0.010230592,-0.06787231,1.0594748,1.0594747
22,0.278481,0.5756889,0.032792293,-0.07119245,1.1459812,1.1459811
23,0.29113925,0.6261605,0.05731932,-0.07517436,1.2389858,1.2389857
24,0.30379748,0.67964387,0.08550456,-0.079025246,1.3266019,1.3266017
25,0.3164557,0.7367075,0.1166114,-0.0811306,1.4146724,1.4146724
26,0.32911393,0.7953937,0.15411413,-0.08082636,1.5047387,1.5047387
27,0.34177217,0.85621554,0.19702879,-0.083005905,1.5936894,1.5936894
28,0.35443038,0.9226428,0.24066669,-0.086092964,1.6845393,1.6845393
29,0.36708862,0.99358034,0.28725818,-0.09078778,1.7794311,1.7794311
30,0.37974685,1.0696942,0.3367506,-0.09673749,1.8758441,1.8758441
31,0.39240506,1.1498986,0.39159888,-0.09053009,1.9732608,1.9732608
32,0.4050633,1.2212601,0.4651942,-0.0851999,2.0645328,2.0645328
33,0.41772154,1.2712053,0.56473804,-0.08110729,2.1335573,2.1335573
34,0.43037975,1.3158238,0.676002,-0.07889686,2.19069,2.19069
35,0.443038,1.3562505,0.7994159,-0.07548366,2.2410834,2.2410834
36,0.45569623,1.3971999,0.93096167,-0.05478975,2.2788382,2.2788382
37,0.46835443,1.4377785,1.0734246,-0.027421951,2.3134947,2.3134947
38,0.48101267,1.4807568,1.2262487,0.0071096085,2.344674,2.344674
39,0.4936709,1.5246518,1.3946326,0.032904796,2.3811412,2.3811412
40,0.5063291,1.5604824,1.578283,0.06365635,2.41267,2.41267
41,0.51898736,1.5953553,1.7767265,0.095681146,2.4393818,2.4393818
42,0.53164554,1.6419123,1.9899546,0.120337956,2.4709957,2.4709957
43,0.5443038,1.6980838,2.2184374,0.13654521,2.5037425,2.5037425
44,0.556962,1.7512889,2.4654567,0.1444731,2.5356107,2.5356107
45,0.56962025,1.8118652,2.7290828,0.14631905,2.5689015,2.5689015
46,0.5822785,1.870921,3.0117047,0.15263906,2.6052234,2.6052234
47,0.5949367,1.9341853,3.3128102,0.16814904,2.6413584,2.6413584
48,0.6075949,1.9928321,3.635576,0.17940164,2.6764212,2.6764212
49,0.62025315,2.05523,3.9794416,0.17297174,2.7146158,2.7146158
50,0.6329114,2.124466,4.344514,0.14839506,2.7578154,2.7578154
51,0.6455696,2.214412,4.7266164,0.08575186,2.805861,2.8058612
52,0.65822786,2.2858126,5.1379204,0.006343633,2.8575466,2.8575468
53,0.67088604,2.3571947,5.584031,-0.04733912,2.9049869,2.904987
54,0.6835443,2.4772942,6.0552764,-0.081373125,2.953362,2.9533622
55,0.6962025,2.6192493,6.554854,-0.13944866,3.0020025,3.0020027
56,0.70886075,2.780417,7.0832076,-0.22927673,3.0484478,3.048448
57,0.721519,2.9822505,7.6359925,-0.34464252,3.090882,3.0908823
