index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0016183838,-0.010618523,0.0014069084,0.019514885,0.01951489
2,0.025316456,0.004193821,-0.022414036,0.0041753035,0.039894186,0.039894186
3,0.037974685,0.0070717884,-0.03511822,0.007941504,0.06464772,0.06464772
4,0.050632913,0.010548718,-0.04840494,0.012971534,0.09056257,0.09056257
5,0.06329114,0.012465399,-0.0632451,0.01752607,0.11508806,0.11508805
6,0.07594937,0.014136163,-0.07823017,0.024812862,0.14117801,0.141178
7,0.088607594,0.016514001,-0.09233946,0.03541704,0.17196713,0.1719671
8,0.101265825,0.024223465,-0.1083876,0.041806556,0.2089508,0.20895079
9,0.11392406,0.039814867,-0.12141389,0.044875257,0.27017346,0.27017343
10,0.12658228,0.059600316,-0.13041914,0.047418892,0.35409856,0.35409853
11,0.1392405,0.08059768,-0.13998099,0.050378274,0.4364465,0.43644643
12,0.15189874,0.10161503,-0.14408769,0.06392032,0.48523614,0.48523608
13,0.16455697,0.1229289,-0.14874223,0.079445235,0.5450272,0.54502714
14,0.17721519,0.14251333,-0.16070503,0.09699622,0.60006344,0.6000634
15,0.18987343,0.16062997,-0.17232867,0.11922321,0.6494782,0.64947814
16,0.20253165,0.1796381,-0.17991112,0.14484663,0.6987285,0.69872844
17,0.21518987,0.19330356,-0.1923378,0.17535158,0.74006027,0.7400602
18,0.22784811,0.20429203,-0.20993459,0.20766686,0.77800363,0.7780036
19,0.24050634,0.20782733,-0.2312666,0.2428307,0.81736004,0.81736
20,0.25316456,0.213073,-0.2550473,0.28000945,0.85610545,0.8561054
21,0.2658228,0.2266163,-0.2800099,0.31884453,0.89133024,0.8913302
22,0.278481,0.2375665,-0.3070507,0.36141762,0.92060304,0.920603
23,0.29113925,0.24626008,-0.34177792,0.4040984,0.960165,0.96016496
24,0.30379748,0.22397721,-0.3721377,0.4502849,0.9992671,0.99926704
25,0.3164557,0.18221867,-0.40467662,0.4867285,1.0430603,1.0430602
26,0.32911393,0.1399646,-0.43159103,0.534104,1.0819074,1.0819073
