index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.0014165167,-0.008703737,0.006625706,0.13157466,0.13157465
2,0.025316456,-0.0032267987,-0.017573599,0.015180787,0.2837479,0.28374788
3,0.037974685,-0.0061465115,-0.027352352,0.024343397,0.41388375,0.41388375
4,0.050632913,-0.007537028,-0.037999343,0.034501057,0.5477348,0.5477348
5,0.06329114,-0.010568459,-0.050043747,0.044203356,0.7129296,0.7129296
6,0.07594937,-0.01333694,-0.064523816,0.052521292,0.8856628,0.8856628
7,0.088607594,-0.013034959,-0.08104985,0.060060468,1.04251,1.04251
8,0.101265825,-0.011117813,-0.09710855,0.07108946,1.1747117,1.1747117
9,0.11392406,-0.0074909846,-0.11456595,0.082341716,1.2874308,1.2874308
10,0.12658228,-0.002581532,-0.134087,0.09265587,1.388358,1.388358
11,0.1392405,0.0049857125,-0.15380748,0.104387976,1.4729295,1.4729295
12,0.15189874,0.021471923,-0.17036569,0.114390664,1.5164707,1.5164707
13,0.16455697,0.044916283,-0.18295689,0.11939702,1.5615447,1.5615447
14,0.17721519,0.07181239,-0.1936512,0.12463514,1.5979213,1.5979213
15,0.18987343,0.10082806,-0.20488669,0.12964568,1.6265707,1.6265707
16,0.20253165,0.13173054,-0.21766335,0.13465631,1.6499274,1.6499274
17,0.21518987,0.16696301,-0.22345196,0.1404735,1.6823604,1.6823604
18,0.22784811,0.20474419,-0.2303313,0.14742643,1.7086102,1.7086102
19,0.24050634,0.24567607,-0.2379537,0.1529103,1.7313441,1.7313441
20,0.25316456,0.28926948,-0.24835272,0.15917881,1.7448497,1.7448497
21,0.2658228,0.3356948,-0.26245043,0.16434157,1.748642,1.748642
22,0.278481,0.38571548,-0.27784842,0.16934471,1.7516788,1.7516788
23,0.29113925,0.43951768,-0.29443765,0.17542386,1.7536471,1.7536471
24,0.30379748,0.4969879,-0.31313285,0.18308869,1.7544184,1.7544184
25,0.3164557,0.5589018,-0.33329505,0.1891285,1.753926,1.753926
26,0.32911393,0.62762207,-0.345376,0.19478303,1.7551217,1.7551217
27,0.34177217,0.70072865,-0.35913327,0.20330642,1.7544461,1.7544461
28,0.35443038,0.7785231,-0.3739067,0.21442118,1.7553759,1.7553759
29,0.36708862,0.8608838,-0.39129943,0.22891559,1.7490357,1.7490357
30,0.37974685,0.948519,-0.4127665,0.24383454,1.7363766,1.7363766
31,0.39240506,1.0418482,-0.43893665,0.25845394,1.7241054,1.7241054
32,0.4050633,1.139844,-0.4734074,0.27513218,1.7132139,1.7132139
33,0.41772154,1.243811,-0.5135736,0.2943199,1.7002457,1.7002457
34,0.43037975,1.3549958,-0.55893904,0.31374893,1.6883423,1.6883423
35,0.443038,1.4766333,-0.60312283,0.3331605,1.6761445,1.6761445
36,0.45569623,1.6094736,-0.6440582,0.35623023,1.6635444,1.6635444
