index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.010490435,-0.0038490281,0.0010204079,-1.0215783e-06,-1.0189921e-06
2,0.025316456,0.022282418,-0.0081755025,0.0021674233,-3.2186508e-06,-3.219479e-06
3,0.037974685,0.035224505,-0.012923956,0.0034262952,-5.0807303e-06,-5.0813005e-06
4,0.050632913,0.049175173,-0.018042263,0.004783267,-6.666666e-06,-6.6751986e-06
5,0.06329114,0.06410528,-0.023520155,0.006235494,-8.003621e-06,-8.012899e-06
6,0.07594937,0.080099225,-0.029388482,0.007791247,-1.1419948e-05,-1.1432093e-05
7,0.088607594,0.097282946,-0.03569332,0.009462679,-1.1629696e-05,-1.16450865e-05
8,0.101265825,0.11576536,-0.04247397,0.011260433,-1.2839897e-05,-1.2862091e-05
9,0.11392406,0.13562031,-0.049758926,0.013191691,-1.3944469e-05,-1.3962433e-05
10,0.12658228,0.15689954,-0.057566278,0.015261534,-1.5281423e-05,-1.5296171e-05
11,0.1392405,0.17965358,-0.06591474,0.017474743,-1.798551e-05,-1.7990678e-05
12,0.15189874,0.20395033,-0.07482925,0.019838054,-2.0597554e-05,-2.0608259e-05
13,0.16455697,0.22988428,-0.08434462,0.022360602,-2.2052209e-05,-2.2073933e-05
14,0.17721519,0.25758076,-0.09450661,0.025054652,-2.609627e-05,-2.6123305e-05
15,0.18987343,0.28719765,-0.10537264,0.027935475,-2.7048436e-05,-2.7075575e-05
16,0.20253165,0.31892246,-0.117012516,0.031021247,-3.0116189e-05,-3.0144813e-05
17,0.21518987,0.35296595,-0.12950327,0.03433267,-3.446506e-05,-3.4496737e-05
18,0.22784811,0.38955247,-0.14292714,0.037891485,-3.4976605e-05,-3.5011606e-05
19,0.24050634,0.42891482,-0.1573695,0.04172031,-3.8017195e-05,-3.8056452e-05
20,0.25316456,0.4712949,-0.17291874,0.04584265,-4.5116936e-05,-4.5160967e-05
21,0.2658228,0.51694566,-0.18966813,0.050283078,-4.9675564e-05,-4.971848e-05
22,0.278481,0.56612784,-0.20771208,0.05506702,-5.153764e-05,-5.1581246e-05
23,0.29113925,0.6190941,-0.22714576,0.06021911,-5.553493e-05,-5.5586206e-05
24,0.30379748,0.67606825,-0.24804877,0.06576096,-6.224687e-05,-6.230871e-05
25,0.3164557,0.7372272,-0.27048665,0.07170964,-6.374076e-05,-6.3794774e-05
26,0.32911393,0.8027155,-0.29451486,0.07807958,-6.487551e-05,-6.492862e-05
27,0.34177217,0.8726976,-0.3201919,0.08488676,-6.932851e-05,-6.93747e-05
