index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.010170257,-0.003315339,-0.0032226772,0.12018166,0.12018163
2,0.025316456,-0.021456987,-0.008464434,-0.00533936,0.25009197,0.25009194
3,0.037974685,-0.033908177,-0.013534799,-0.008529994,0.3701749,0.37017488
4,0.050632913,-0.046677876,-0.0194358,-0.013413622,0.4778952,0.47789517
5,0.06329114,-0.060359437,-0.025844473,-0.018487338,0.5842413,0.5842412
6,0.07594937,-0.07506599,-0.03279187,-0.023725051,0.69117934,0.6911793
7,0.088607594,-0.090957694,-0.039886065,-0.02958158,0.79692364,0.7969236
8,0.101265825,-0.107773475,-0.047873035,-0.036191292,0.89624035,0.8962403
9,0.11392406,-0.12568237,-0.05576833,-0.04439866,0.9823603,0.98236024
10,0.12658228,-0.14474586,-0.06454015,-0.053178847,1.0689509,1.0689508
11,0.1392405,-0.16077068,-0.07287144,-0.06925683,1.1248844,1.1248842
12,0.15189874,-0.17854565,-0.08225015,-0.08560995,1.1710554,1.1710553
13,0.16455697,-0.19911624,-0.09197821,-0.10154779,1.2106634,1.2106633
14,0.17721519,-0.22058709,-0.10260687,-0.11904643,1.2529627,1.2529626
15,0.18987343,-0.24300292,-0.11408687,-0.13834801,1.2979062,1.297906
16,0.20253165,-0.26607722,-0.12672052,-0.1598572,1.3418975,1.3418972
17,0.21518987,-0.29020548,-0.14047974,-0.18351044,1.383891,1.3838907
18,0.22784811,-0.31704018,-0.1550436,-0.20806931,1.4254392,1.425439
19,0.24050634,-0.34662014,-0.16779959,-0.23533054,1.4650494,1.4650491
20,0.25316456,-0.37769014,-0.18209705,-0.26524374,1.5090415,1.5090413
21,0.2658228,-0.41418475,-0.1959089,-0.29463035,1.5582405,1.5582403
22,0.278481,-0.45336255,-0.21557777,-0.32378334,1.6063896,1.6063894
23,0.29113925,-0.49417216,-0.24067184,-0.35423642,1.6558053,1.6558051
24,0.30379748,-0.53762174,-0.27000588,-0.38543433,1.7044665,1.7044662
25,0.3164557,-0.5828916,-0.30335805,-0.4191906,1.7513051,1.7513049
26,0.32911393,-0.6322388,-0.3386441,-0.45456424,1.7990274,1.7990272
27,0.34177217,-0.6808651,-0.37845212,-0.49548534,1.8540999,1.8540996
28,0.35443038,-0.7306216,-0.42271352,-0.54007816,1.9089079,1.9089077
29,0.36708862,-0.78158015,-0.46937078,-0.5906083,1.9575559,1.9575557
30,0.37974685,-0.8355095,-0.5214111,-0.64318,1.9990654,1.9990652
31,0.39240506,-0.88994884,-0.5837315,-0.69604784,2.039629,2.0396287
32,0.4050633,-0.95064557,-0.6475708,-0.75386626,2.0773518,2.0773513
33,0.41772154,-1.0164533,-0.713254,-0.8185951,2.1097274,2.109727
34,0.43037975,-1.0837277,-0.78266126,-0.89278495,2.1385748,2.1385744
35,0.443038,-1.1547824,-0.86089617,-0.97030395,2.1632447,2.1632442
36,0.45569623,-1.2345115,-0.943751,-1.0521587,2.192261,2.1922605
37,0.46835443,-1.3224567,-1.0336974,-1.1374177,2.2090068,2.2090063
38,0.48101267,-1.4238644,-1.1330334,-1.2193561,2.2236652,2.2236648
39,0.4936709,-1.5374839,-1.2410862,-1.3007072,2.2485056,2.248505
40,0.5063291,-1.6606423,-1.354588,-1.3911471,2.2689347,2.2689342
41,0.51898736,-1.7916998,-1.4823567,-1.4833273,2.2813673,2.2813668
42,0.53164554,-1.9325776,-1.6188962,-1.5835316,2.2874997,2.2874992
43,0.5443038,-2.091458,-1.7562966,-1.6923778,2.2810743,2.2810738
44,0.556962,-2.269772,-1.9032274,-1.7967138,2.2754788,2.2754784
45,0.56962025,-2.4550946,-2.0557735,-1.9228203,2.2786598,2.2786593
46,0.5822785,-2.6501434,-2.216431,-2.0642128,2.2847826,2.2847822
47,0.5949367,-2.8619685,-2.3722596,-2.2258694,2.2868674,2.286867
48,0.6075949,-3.0927558,-2.5221531,-2.4061675,2.274948,2.2749474
49,0.62025315,-3.33541,-2.6666617,-2.613386,2.2748077,2.2748072
50,0.6329114,-3.589234,-2.818449,-2.8414443,2.2829685,2.282968
51,0.6455696,-3.8438659,-2.9881947,-3.0966685,2.2800095,2.280009
52,0.65822786,-4.116367,-3.1639445,-3.373034,2.2863069,2.2863064
53,0.67088604,-4.402906,-3.3628416,-3.6669378,2.2789946,2.278994
54,0.6835443,-4.6999106,-3.5926652,-3.9800286,2.2676418,2.2676413
55,0.6962025,-5.0326777,-3.8317902,-4.306669,2.2543771,2.2543766
56,0.70886075,-5.364567,-4.0941215,-4.675618,2.264969,2.2649686
57,0.721519,-5.716551,-4.403261,-5.05206,2.2928078,2.2928073
58,0.73417723,-6.113957,-4.7626085,-5.408091,2.3145306,2.3145301
59,0.7468354,-6.5655127,-5.1637335,-5.740189,2.3275652,2.3275647
60,0.75949365,-7.0476556,-5.6090884,-6.080945,2.3267002,2.3266997
61,0.7721519,-7.5708365,-6.089139,-6.437536,2.3149364,2.314936
62,0.7848101,-8.144925,-6.616441,-6.7873263,2.3190122,2.3190117
63,0.79746836,-8.753029,-7.1820745,-7.180995,2.3487992,2.3487988
64,0.8101266,-9.397057,-7.824713,-7.5658455,2.4015489,2.4015484
65,0.8227848,-10.118029,-8.52096,-7.919455,2.471458,2.4714575
66,0.835443,-10.883737,-9.286867,-8.285976,2.5308955,2.530895
67,0.84810126,-11.68463,-10.1352215,-8.679373,2.6039727,2.6039722
68,0.8607595,-12.534169,-11.088411,-9.0473585,2.6615365,2.661536
69,0.87341774,-13.468391,-12.120802,-9.401086,2.6967063,2.6967058
70,0.886076,-14.541356,-13.194423,-9.737107,2.6857247,2.6857243
71,0.89873415,-15.742732,-14.307411,-10.110367,2.6321068,2.6321063
72,0.9113924,-17.053646,-15.50074,-10.477523,2.549969,2.5499685
73,0.9240506,-18.509565,-16.70345,-10.927552,2.4610233,2.4610229
74,0.93670887,-20.064775,-17.974625,-11.427554,2.361869,2.3618686
75,0.9493671,-21.690182,-19.366474,-11.930011,2.2468462,2.2468457
76,0.96202534,-23.434616,-20.849852,-12.368776,2.1469743,2.1469738
77,0.9746835,-25.39536,-22.316889,-12.773807,2.0980437,2.0980432
78,0.98734176,-27.562613,-23.827988,-13.099372,2.0200028,2.0200024
79,1.0,-29.821568,-25.62707,-13.156296,1.8445352,1.8445348
