index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.007895806,-0.0067332503,-0.0040268656,0.049289282,0.049289286
2,0.025316456,0.01726669,-0.014138351,-0.007661568,0.1004183,0.100418314
3,0.037974685,0.027825173,-0.02253853,-0.010110857,0.15074289,0.15074292
4,0.050632913,0.03953886,-0.031445682,-0.0116890855,0.20087686,0.20087689
5,0.06329114,0.0512271,-0.041567475,-0.01446573,0.2547649,0.25476497
6,0.07594937,0.063697815,-0.052415337,-0.018221647,0.31389898,0.31389904
7,0.088607594,0.07811289,-0.063134335,-0.021367583,0.37268206,0.37268212
8,0.101265825,0.09457722,-0.07354302,-0.022701742,0.42682305,0.4268231
9,0.11392406,0.11053531,-0.086217254,-0.024456441,0.5021714,0.50217146
10,0.12658228,0.12708685,-0.10132661,-0.025688106,0.6093422,0.6093423
11,0.1392405,0.14464664,-0.117784604,-0.024518553,0.6854896,0.68548965
12,0.15189874,0.16345778,-0.13450693,-0.023208007,0.742058,0.74205804
13,0.16455697,0.18497626,-0.15090284,-0.017684087,0.7732244,0.7732245
14,0.17721519,0.20875104,-0.16681771,-0.010786741,0.79556906,0.7955691
15,0.18987343,0.23513013,-0.1816435,-0.00176802,0.81252635,0.8125264
16,0.20253165,0.26471263,-0.19536449,0.007269305,0.8301563,0.8301563
17,0.21518987,0.29652423,-0.21027602,0.016394762,0.8481762,0.84817624
18,0.22784811,0.33267102,-0.22154629,0.025928382,0.8631529,0.863153
19,0.24050634,0.37261015,-0.23338689,0.031359278,0.88316053,0.88316065
20,0.25316456,0.41581935,-0.24463964,0.0389438,0.898948,0.89894813
21,0.2658228,0.46257222,-0.25622302,0.046764307,0.91452235,0.91452247
22,0.278481,0.51283956,-0.26958442,0.05445311,0.93280303,0.93280315
23,0.29113925,0.566569,-0.28271824,0.0663997,0.95316374,0.95316386
24,0.30379748,0.6224911,-0.29553884,0.08698404,0.9688628,0.9688629
25,0.3164557,0.68178177,-0.31077555,0.10993981,0.9850033,0.9850034
26,0.32911393,0.74477106,-0.32942024,0.13437787,1.001457,1.0014571
27,0.34177217,0.81113595,-0.34946084,0.1627082,1.0163898,1.01639
28,0.35443038,0.8816154,-0.37108716,0.193699,1.0307351,1.0307353
29,0.36708862,0.95907855,-0.39177847,0.22330573,1.044955,1.0449551
30,0.37974685,1.0421603,-0.4090861,0.25738385,1.0578231,1.0578232
31,0.39240506,1.1310571,-0.42735624,0.29464167,1.0689718,1.0689719
32,0.4050633,1.222941,-0.455962,0.33731952,1.0777136,1.0777137
33,0.41772154,1.3222823,-0.48999575,0.37958446,1.0868163,1.0868165
34,0.43037975,1.4279898,-0.5282159,0.42621377,1.0962228,1.096223
35,0.443038,1.5415231,-0.5723886,0.47426012,1.1057707,1.105771
36,0.45569623,1.6677418,-0.61570144,0.5195842,1.1175771,1.1175773
37,0.46835443,1.8072555,-0.648577,0.5698634,1.1288956,1.1288959
38,0.48101267,1.9553356,-0.67944133,0.6325867,1.1402247,1.1402249
39,0.4936709,2.1154733,-0.7060752,0.70193267,1.153175,1.1531752
40,0.5063291,2.2892232,-0.74072385,0.7714085,1.166738,1.1667383
41,0.51898736,2.4760303,-0.76401216,0.852309,1.18075,1.1807503
42,0.53164554,2.6777308,-0.79609156,0.9351611,1.1949537,1.1949539
43,0.5443038,2.89313,-0.850716,1.0164399,1.210629,1.2106292
44,0.556962,3.1250482,-0.9101085,1.0999451,1.2274064,1.2274066
45,0.56962025,3.3720376,-0.96267605,1.1996229,1.2421931,1.2421933
46,0.5822785,3.6340406,-1.0212486,1.3090563,1.2571851,1.2571853
47,0.5949367,3.9131796,-1.0870275,1.4245652,1.2725642,1.2725644
48,0.6075949,4.213612,-1.1567211,1.5402999,1.2878718,1.2878721
49,0.62025315,4.5270514,-1.228472,1.6801566,1.3029366,1.3029368
50,0.6329114,4.859303,-1.3184457,1.825916,1.3191322,1.3191324
51,0.6455696,5.2081227,-1.4206879,1.9901754,1.3366442,1.3366444
52,0.65822786,5.5858893,-1.5402681,2.1476283,1.3528957,1.352896
53,0.67088604,5.995574,-1.6244711,2.3296084,1.3696833,1.3696835
54,0.6835443,6.431052,-1.716891,2.5321934,1.3860028,1.386003
55,0.6962025,6.9019475,-1.7913624,2.7500515,1.4007354,1.4007356
56,0.70886075,7.4094777,-1.8681303,2.9779239,1.414419,1.4144193
57,0.721519,7.9487476,-1.9667741,3.2244854,1.4293118,1.429312
58,0.73417723,8.534842,-2.0364773,3.4794652,1.4402401,1.4402404
59,0.7468354,9.170769,-2.0963538,3.737835,1.4483285,1.4483287
60,0.75949365,9.8594265,-2.1452248,4.001967,1.4554659,1.4554662
61,0.7721519,10.605988,-2.215319,4.263659,1.4595737,1.459574
62,0.7848101,11.393519,-2.2498603,4.5902786,1.4564867,1.4564869
63,0.79746836,12.234914,-2.308769,4.9515543,1.447366,1.4473662
64,0.8101266,13.137938,-2.3941886,5.3421397,1.4393222,1.4393225
65,0.8227848,14.118802,-2.5363503,5.723501,1.431108,1.4311082
66,0.835443,15.17236,-2.715821,6.126708,1.4200808,1.420081
67,0.84810126,16.314009,-2.8722315,6.55826,1.4095552,1.4095554
68,0.8607595,17.561045,-3.0049899,6.9926147,1.4004334,1.4004337
69,0.87341774,18.928722,-3.0006986,7.4245915,1.4080762,1.4080764
70,0.886076,20.338753,-2.9518602,8.071578,1.4170521,1.4170524
71,0.89873415,21.863897,-2.9818149,8.77134,1.4234263,1.4234265
72,0.9113924,23.579144,-2.9496424,9.33701,1.4597656,1.4597658
73,0.9240506,25.40072,-2.9611456,9.98091,1.5228388,1.5228391
74,0.93670887,27.236652,-2.75913,10.898464,1.6108173,1.6108177
75,0.9493671,29.246983,-2.8742402,11.744373,1.7019651,1.7019655
76,0.96202534,31.235054,-2.8610954,12.7763815,1.9432039,1.9432043
77,0.9746835,33.023518,-4.47391,12.448186,2.0932848,2.0932853
78,0.98734176,35.332787,-5.456906,13.172849,2.1343594,2.1343598
79,1.0,37.899536,-6.228062,14.118103,2.198315,2.1983154
