index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.010241408,0.0037771962,0.00073187205,0.04085825,0.04085825
2,0.025316456,-0.02188825,0.008056242,0.00032825914,0.06940461,0.0694046
3,0.037974685,-0.034800004,0.012380395,2.4742389e-05,0.09981449,0.09981449
4,0.050632913,-0.048845112,0.016435925,-0.0010367474,0.13086882,0.1308688
5,0.06329114,-0.06381806,0.020973569,-0.0023925551,0.1615799,0.16157989
6,0.07594937,-0.079786435,0.02601037,-0.003322001,0.1981781,0.19817808
7,0.088607594,-0.0973091,0.030236023,-0.0037648708,0.23619796,0.23619795
8,0.101265825,-0.11621436,0.034692723,-0.0040675877,0.27400404,0.27400404
9,0.11392406,-0.13649718,0.03965603,-0.0046479106,0.31007487,0.31007484
10,0.12658228,-0.15798241,0.04623552,-0.0048226616,0.3431021,0.34310207
11,0.1392405,-0.18042059,0.05438547,-0.0024956681,0.3861562,0.38615614
12,0.15189874,-0.2053199,0.060380016,0.0006863598,0.41054428,0.4105442
13,0.16455697,-0.23201188,0.0663124,0.0042657964,0.4325508,0.4325507
14,0.17721519,-0.26050135,0.073247656,0.006604486,0.452809,0.45280892
15,0.18987343,-0.29053026,0.08261713,0.0069148396,0.46996778,0.4699677
16,0.20253165,-0.32316458,0.091020845,0.005512569,0.4862308,0.48623073
17,0.21518987,-0.35875183,0.09670064,0.0019806793,0.5009438,0.5009437
18,0.22784811,-0.39696923,0.10287724,-0.002229904,0.518708,0.51870793
19,0.24050634,-0.4376898,0.110813625,-0.008224493,0.5363329,0.53633285
20,0.25316456,-0.48156437,0.11502123,-0.01730375,0.5556381,0.555638
21,0.2658228,-0.52860624,0.116668,-0.029635476,0.5760757,0.5760756
22,0.278481,-0.57924885,0.119992524,-0.042843994,0.5962247,0.59622467
23,0.29113925,-0.63426346,0.12548204,-0.054529265,0.61326027,0.6132602
24,0.30379748,-0.6932326,0.13183059,-0.06789946,0.6258675,0.6258674
25,0.3164557,-0.75673735,0.13763398,-0.081865855,0.637453,0.63745296
26,0.32911393,-0.8254052,0.14224784,-0.09411656,0.64804345,0.6480434
27,0.34177217,-0.8987138,0.1485533,-0.107092045,0.65568966,0.6556896
28,0.35443038,-0.9770818,0.157601,-0.119010925,0.6631869,0.6631868
29,0.36708862,-1.059704,0.1735735,-0.1325807,0.66234773,0.6623476
30,0.37974685,-1.1478,0.19271947,-0.14648604,0.66121626,0.66121614
31,0.39240506,-1.2415067,0.21718419,-0.16049111,0.6558964,0.6558963
32,0.4050633,-1.3422874,0.24350454,-0.17420585,0.65035003,0.65034986
33,0.41772154,-1.4491142,0.27846038,-0.18493605,0.6465122,0.64651203
34,0.43037975,-1.5646573,0.31496316,-0.18796736,0.6460854,0.6460852
35,0.443038,-1.6882441,0.35609713,-0.19155733,0.65009356,0.6500934
36,0.45569623,-1.8223705,0.39724925,-0.18714356,0.65802425,0.6580241
37,0.46835443,-1.9647062,0.4420811,-0.20685725,0.66748667,0.6674865
38,0.48101267,-2.1122599,0.50137484,-0.24290948,0.68313074,0.68313056
39,0.4936709,-2.2679613,0.5625349,-0.29171997,0.69307244,0.69307226
