index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.0033553788,0.006181877,0.0084780445,0.10056943,0.10056943
2,0.025316456,-0.0072863963,0.013578319,0.017603602,0.20826307,0.20826307
3,0.037974685,-0.013919405,0.023067169,0.024752567,0.2936998,0.2936998
4,0.050632913,-0.021477167,0.03352939,0.031843774,0.37207234,0.37207234
5,0.06329114,-0.030560128,0.0441707,0.039122634,0.44613785,0.44613785
6,0.07594937,-0.041311428,0.05442833,0.047086827,0.5191203,0.5191203
7,0.088607594,-0.054546483,0.06448184,0.054326214,0.5841484,0.5841484
8,0.101265825,-0.070320815,0.074158706,0.060546618,0.6325649,0.6325649
9,0.11392406,-0.08838135,0.08322025,0.066347495,0.67069846,0.6706985
10,0.12658228,-0.10918254,0.089351624,0.07179795,0.70220953,0.7022096
11,0.1392405,-0.1325098,0.09290013,0.07668365,0.7257516,0.72575164
12,0.15189874,-0.15622303,0.08837652,0.075106084,0.74195623,0.7419563
13,0.16455697,-0.17865148,0.07304388,0.070683256,0.7781973,0.77819735
14,0.17721519,-0.20160107,0.06369656,0.07081048,0.8344967,0.8344967
15,0.18987343,-0.22633263,0.054054216,0.06899485,0.88633615,0.88633615
16,0.20253165,-0.24996823,0.03838911,0.050531685,0.9094242,0.9094242
17,0.21518987,-0.274932,0.020930143,0.030734723,0.93521774,0.93521774
18,0.22784811,-0.30271152,0.0039006118,0.009235982,0.9582167,0.9582167
19,0.24050634,-0.3341177,-0.012274899,-0.01347141,0.97449446,0.97449446
20,0.25316456,-0.36919236,-0.027428286,-0.037745632,0.9856032,0.9856032
21,0.2658228,-0.40650576,-0.04149751,-0.06556359,0.999646,0.999646
22,0.278481,-0.44645077,-0.052856363,-0.09775637,1.0161028,1.0161028
23,0.29113925,-0.48696324,-0.06588538,-0.13387293,1.0418386,1.0418386
24,0.30379748,-0.5044998,-0.093570344,-0.18404411,1.1544803,1.1544803
25,0.3164557,-0.5224028,-0.12001684,-0.24019769,1.2692809,1.2692809
26,0.32911393,-0.52754927,-0.14312325,-0.30590165,1.4117208,1.4117208
27,0.34177217,-0.5397004,-0.16755459,-0.37542892,1.5474032,1.5474032
28,0.35443038,-0.5535509,-0.19091186,-0.45041633,1.6810422,1.6810422
29,0.36708862,-0.5698137,-0.21277161,-0.53116035,1.8159307,1.8159307
30,0.37974685,-0.63498956,-0.20826504,-0.591202,1.831853,1.831853
31,0.39240506,-0.7110608,-0.19688477,-0.6518317,1.8304611,1.8304611
32,0.4050633,-0.79573953,-0.18862729,-0.7133932,1.8302222,1.8302222
33,0.41772154,-0.8907118,-0.17833653,-0.7737856,1.8279672,1.8279672
34,0.43037975,-0.9936522,-0.17031546,-0.8378141,1.8251809,1.8251809
35,0.443038,-1.1058685,-0.16490425,-0.90452284,1.8247186,1.8247186
36,0.45569623,-1.2343102,-0.15473947,-0.9609667,1.8089223,1.8089223
37,0.46835443,-1.3765304,-0.13976358,-1.0111885,1.7913839,1.7913839
38,0.48101267,-1.5330055,-0.12655924,-1.0562428,1.7746595,1.7746595
39,0.4936709,-1.7022755,-0.11193077,-1.102838,1.7652198,1.7652198
40,0.5063291,-1.8873379,-0.10811165,-1.144743,1.7516685,1.7516685
41,0.51898736,-2.0878158,-0.095754914,-1.1818814,1.7179028,1.7179028
42,0.53164554,-2.3051085,-0.08365953,-1.2120152,1.6828358,1.6828358
43,0.5443038,-2.539603,-0.07444039,-1.234369,1.6368624,1.6368624
44,0.556962,-2.7915173,-0.07978368,-1.2540965,1.5847294,1.5847294
45,0.56962025,-3.060666,-0.078773834,-1.2803175,1.5226136,1.5226136
46,0.5822785,-3.3477097,-0.063201286,-1.3070587,1.4592718,1.4592718
47,0.5949367,-3.6546903,-0.065148786,-1.3308423,1.3967745,1.3967745
48,0.6075949,-3.9821036,-0.06236571,-1.3499633,1.3379598,1.3379598
49,0.62025315,-4.3312726,-0.052740764,-1.3469882,1.2873588,1.2873588
50,0.6329114,-4.702947,-0.05503903,-1.3297222,1.2512289,1.251229
51,0.6455696,-5.0986547,-0.076123655,-1.3077106,1.229032,1.2290322
52,0.65822786,-5.5204763,-0.10567073,-1.2691133,1.2069219,1.206922
53,0.67088604,-5.972456,-0.15423769,-1.2650012,1.1840491,1.1840492
54,0.6835443,-6.452685,-0.22917348,-1.2352183,1.1738279,1.173828
55,0.6962025,-6.9659185,-0.31720075,-1.2008044,1.1913453,1.1913455
56,0.70886075,-7.5047617,-0.45276785,-1.1367484,1.2716687,1.2716689
57,0.721519,-8.083391,-0.57265365,-1.0401975,1.3903553,1.3903556
58,0.73417723,-8.716583,-0.6559835,-0.99774873,1.4925725,1.4925728
59,0.7468354,-9.386447,-0.7633583,-1.0897001,1.5527527,1.552753
60,0.75949365,-10.091443,-0.9122826,-1.2415746,1.6064036,1.6064038
61,0.7721519,-10.85109,-1.1116973,-1.3417494,1.7146527,1.7146529
62,0.7848101,-11.6267,-1.4011632,-1.5371969,1.8399063,1.8399066
63,0.79746836,-12.496495,-1.5427158,-1.7699125,1.9225283,1.9225285
64,0.8101266,-13.307026,-1.608456,-2.3213243,2.067589,2.0675893
65,0.8227848,-14.149706,-1.8429948,-2.914078,2.1915224,2.1915226
66,0.835443,-15.149911,-2.0310628,-3.417405,2.4399393,2.4399395
67,0.84810126,-16.264626,-2.3116775,-3.8413348,2.8026683,2.8026686
68,0.8607595,-17.476877,-2.5838284,-4.2882442,3.2227995,3.2227998
69,0.87341774,-18.759483,-2.8378458,-4.8655205,3.6518605,3.6518607
70,0.886076,-20.0411,-3.31543,-5.571101,3.8550518,3.855052
71,0.89873415,-21.20782,-4.125827,-6.4588556,3.810212,3.8102121
72,0.9113924,-22.597857,-4.9385433,-7.2769637,3.5992522,3.5992525
73,0.9240506,-24.325996,-5.502738,-7.927732,3.6027594,3.6027596
74,0.93670887,-26.33002,-5.827077,-8.312714,3.781719,3.7817192
75,0.9493671,-28.473434,-6.16131,-8.657516,3.8513079,3.851308
76,0.96202534,-30.598885,-6.739436,-9.384335,3.6948383,3.6948385
77,0.9746835,-32.76232,-7.350846,-10.434534,3.4134839,3.413484
78,0.98734176,-34.99133,-8.088105,-11.689655,3.0602639,3.060264
79,1.0,-37.46052,-8.948304,-12.921833,2.8744202,2.8744204
