index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0047596353,-0.006470551,-0.007816151,0.008699804,0.008699805
2,0.025316456,0.010347787,-0.013325963,-0.01679156,0.018408803,0.018408798
3,0.037974685,0.016405556,-0.02067111,-0.026818246,0.028956376,0.028956376
4,0.050632913,0.023058021,-0.028521754,-0.03760376,0.040151797,0.040151805
5,0.06329114,0.030136943,-0.037000444,-0.04911351,0.051933564,0.051933564
6,0.07594937,0.037569746,-0.045579564,-0.06188826,0.06478235,0.06478235
7,0.088607594,0.045445293,-0.054625206,-0.075786605,0.07848057,0.07848058
8,0.101265825,0.053350903,-0.064732105,-0.090793185,0.093079425,0.09307943
9,0.11392406,0.061149992,-0.0765308,-0.10660462,0.10825543,0.10825543
10,0.12658228,0.06992184,-0.08904223,-0.12344136,0.12378855,0.12378855
11,0.1392405,0.079254285,-0.10227734,-0.14157817,0.14058417,0.14058417
12,0.15189874,0.08837819,-0.115256116,-0.16208853,0.15761803,0.15761803
13,0.16455697,0.100550815,-0.1281947,-0.18335721,0.1761719,0.1761719
14,0.17721519,0.11305252,-0.14188977,-0.2064242,0.19568625,0.19568625
15,0.18987343,0.12671076,-0.15621918,-0.23111854,0.2153521,0.2153521
16,0.20253165,0.14139849,-0.17128241,-0.25770262,0.23518647,0.23518647
17,0.21518987,0.1569892,-0.1861939,-0.28700256,0.2549585,0.2549585
18,0.22784811,0.17368683,-0.20155491,-0.3188524,0.27534845,0.27534845
19,0.24050634,0.18978235,-0.21639895,-0.35478747,0.29581416,0.29581416
20,0.25316456,0.20815115,-0.23068617,-0.39366996,0.31753144,0.31753144
21,0.2658228,0.22925192,-0.24521825,-0.43521592,0.34038672,0.34038672
22,0.278481,0.25388268,-0.26216766,-0.478479,0.3663805,0.3663805
23,0.29113925,0.28182894,-0.28183743,-0.5236391,0.39587793,0.39587793
24,0.30379748,0.31174606,-0.30376145,-0.5719673,0.42787912,0.42787912
25,0.3164557,0.3458894,-0.32646886,-0.62290466,0.46033132,0.46033132
26,0.32911393,0.38533255,-0.35027525,-0.67566174,0.49467677,0.49467677
27,0.34177217,0.43124887,-0.37444654,-0.7295217,0.5310091,0.53100914
28,0.35443038,0.48242092,-0.39769524,-0.78632206,0.56909394,0.569094
29,0.36708862,0.5377891,-0.42415732,-0.84570795,0.6113795,0.6113795
30,0.37974685,0.600299,-0.45302898,-0.9057602,0.6541323,0.6541323
31,0.39240506,0.66854393,-0.48215622,-0.9697309,0.6949698,0.6949698
32,0.4050633,0.7382097,-0.5061653,-1.0447222,0.7370135,0.7370135
33,0.41772154,0.8134868,-0.5318417,-1.124982,0.78121847,0.78121847
34,0.43037975,0.8993512,-0.5611424,-1.2057631,0.8287148,0.8287148
35,0.443038,0.9886764,-0.5980304,-1.2937411,0.88072157,0.88072157
36,0.45569623,1.0826901,-0.63251376,-1.3925724,0.93365276,0.93365276
37,0.46835443,1.1918236,-0.67303854,-1.4894261,0.99531525,0.99531525
38,0.48101267,1.317114,-0.70997286,-1.587451,1.0564921,1.0564921
39,0.4936709,1.4438386,-0.73720664,-1.7065351,1.1146886,1.1146886
40,0.5063291,1.5789967,-0.7624458,-1.837373,1.1712422,1.1712422
41,0.51898736,1.736665,-0.78421354,-1.9655794,1.2208099,1.2208099
42,0.53164554,1.9090983,-0.80869204,-2.0995932,1.2747178,1.2747178
43,0.5443038,2.0892575,-0.83087176,-2.2504044,1.3305516,1.3305516
44,0.556962,2.2808392,-0.8444256,-2.4149225,1.3976188,1.3976188
