index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.007440297,0.0042316015,-0.0043600877,0.17405431,0.17405431
2,0.025316456,-0.0152600305,0.0072484254,-0.012123704,0.29074523,0.29074523
3,0.037974685,-0.02347212,0.009314296,-0.021368552,0.41108185,0.41108185
4,0.050632913,-0.029361997,0.01291528,-0.032736853,0.50359035,0.50359035
5,0.06329114,-0.030930065,0.019961629,-0.046444975,0.5433625,0.5433625
6,0.07594937,-0.033419833,0.027814131,-0.060739245,0.5935918,0.5935918
7,0.088607594,-0.035446674,0.034706064,-0.07674929,0.65141964,0.65141964
8,0.101265825,-0.03642533,0.041204445,-0.09447174,0.7060399,0.7060399
9,0.11392406,-0.037163954,0.050046235,-0.11298402,0.7583496,0.7583496
10,0.12658228,-0.036464818,0.058782265,-0.13327312,0.80786914,0.80786914
11,0.1392405,-0.03688803,0.069555424,-0.15428983,0.8577284,0.8577284
12,0.15189874,-0.039869152,0.08065326,-0.17683743,0.90475756,0.90475756
13,0.16455697,-0.040453013,0.09311774,-0.20085357,0.95276976,0.95276976
14,0.17721519,-0.03975061,0.106422395,-0.22656132,0.99961954,0.99961954
15,0.18987343,-0.038510215,0.122284375,-0.25309896,1.0494895,1.0494895
16,0.20253165,-0.04162014,0.13988855,-0.28114685,1.090053,1.090053
17,0.21518987,-0.046298753,0.1523669,-0.31464294,1.1077182,1.1077182
18,0.22784811,-0.051669214,0.16445625,-0.35106757,1.1242756,1.1242756
19,0.24050634,-0.058020562,0.17681415,-0.3904087,1.1381925,1.1381925
20,0.25316456,-0.068361,0.19110012,-0.43174803,1.1521145,1.1521145
21,0.2658228,-0.07581653,0.20574713,-0.47731072,1.1656193,1.1656193
22,0.278481,-0.08401416,0.2202463,-0.5267975,1.1776204,1.1776204
23,0.29113925,-0.09385138,0.23603119,-0.5798186,1.1886765,1.1886765
24,0.30379748,-0.11083737,0.252989,-0.6353693,1.2007202,1.2007202
25,0.3164557,-0.12827393,0.27040747,-0.69548774,1.2116241,1.2116241
26,0.32911393,-0.14251505,0.28720078,-0.7615869,1.2200927,1.2200927
27,0.34177217,-0.15679547,0.3070452,-0.8319224,1.2272187,1.2272187
28,0.35443038,-0.17522055,0.32575807,-0.9067692,1.2291989,1.2291989
29,0.36708862,-0.20141932,0.3588879,-0.9803798,1.226821,1.226821
30,0.37974685,-0.22754198,0.3875566,-1.0622704,1.222904,1.222904
31,0.39240506,-0.25815186,0.41230854,-1.1512992,1.2200711,1.2200711
32,0.4050633,-0.2882799,0.4427298,-1.2464561,1.2138834,1.2138834
33,0.41772154,-0.30764413,0.48480728,-1.3486751,1.2002281,1.2002281
34,0.43037975,-0.31359428,0.53074443,-1.4600435,1.1819183,1.1819183
35,0.443038,-0.33094296,0.5901671,-1.5722545,1.1674114,1.1674114
36,0.45569623,-0.3678453,0.65275025,-1.6916862,1.1531991,1.1531991
37,0.46835443,-0.42645156,0.71580267,-1.8150402,1.1390463,1.1390463
38,0.48101267,-0.48822954,0.7780584,-1.9508919,1.1227158,1.1227158
39,0.4936709,-0.5331641,0.82945615,-2.1113396,1.1040665,1.1040665
40,0.5063291,-0.5804462,0.8938459,-2.2806847,1.074235,1.074235
41,0.51898736,-0.6889197,0.9553512,-2.4369857,1.0551807,1.0551808
42,0.53164554,-0.8100581,0.98658574,-2.6146286,1.010946,1.0109462
43,0.5443038,-0.9320784,0.99613774,-2.8128898,0.93777096,0.9377711
44,0.556962,-1.0509696,0.94915205,-3.0274007,0.83118623,0.83118635
45,0.56962025,-1.1650399,0.8489239,-3.2472978,0.71356803,0.71356815
46,0.5822785,-1.270267,0.781227,-3.5050755,0.6016785,0.6016786
47,0.5949367,-1.3379731,0.697475,-3.7909927,0.49784032,0.49784043
48,0.6075949,-1.399051,0.5873912,-4.090087,0.36084664,0.36084676
49,0.62025315,-1.4727706,0.42638218,-4.387112,0.13336192,0.13336204
50,0.6329114,-1.552493,0.2220197,-4.6825957,-0.17810814,-0.17810802
51,0.6455696,-1.7279786,0.030691758,-4.975926,-0.51637274,-0.5163726
52,0.65822786,-1.8836778,-0.21316026,-5.273581,-0.93337995,-0.9333798
53,0.67088604,-1.9507262,-0.58476627,-5.5095754,-1.5172155,-1.5172155
54,0.6835443,-2.1357646,-0.9976083,-5.6551456,-2.048836,-2.048836
55,0.6962025,-2.3704503,-1.4460773,-5.7281547,-2.5293171,-2.5293171
56,0.70886075,-2.592567,-1.9518487,-5.764324,-3.0945535,-3.0945535
57,0.721519,-2.9241564,-2.4418921,-5.723369,-3.4961703,-3.4961703
58,0.73417723,-3.3174126,-2.9423678,-5.6959615,-3.7478216,-3.7478216
59,0.7468354,-3.8296595,-3.3676074,-5.5515547,-3.9397058,-3.9397058
60,0.75949365,-4.4556828,-3.7271078,-5.4318295,-4.0727406,-4.0727406
61,0.7721519,-5.1624355,-4.0556116,-5.320604,-4.137708,-4.137708
62,0.7848101,-5.9495173,-4.372868,-5.301836,-4.2000375,-4.2000375
63,0.79746836,-6.7922053,-4.6936646,-5.1564703,-4.2637515,-4.2637515
64,0.8101266,-7.6910233,-4.9758153,-4.875207,-4.359812,-4.359812
65,0.8227848,-8.699223,-5.226378,-4.696365,-4.499197,-4.499197
66,0.835443,-9.80241,-5.4332633,-4.527609,-4.593154,-4.593154
67,0.84810126,-10.945659,-5.7416883,-4.2790694,-4.981941,-4.981941
68,0.8607595,-12.189765,-5.9743056,-3.940234,-5.8631873,-5.8631873
69,0.87341774,-13.517156,-6.396404,-3.648655,-6.570828,-6.570828
70,0.886076,-14.928878,-6.8561306,-3.216393,-7.012881,-7.012881
71,0.89873415,-16.413177,-7.488564,-2.7875645,-7.7051907,-7.7051907
72,0.9113924,-18.02878,-7.99958,-2.1811626,-8.668166,-8.668166
73,0.9240506,-19.744104,-8.47562,-1.4594929,-9.3598995,-9.3598995
74,0.93670887,-21.696634,-8.595605,-0.8235289,-9.761143,-9.761143
75,0.9493671,-23.704035,-7.943828,-0.2719487,-9.8242855,-9.8242855
76,0.96202534,-25.792747,-7.145258,0.36409324,-9.749139,-9.749139
