index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,-0.007648355,0.004740649,0.006141798,0.02568419,0.025684189
2,0.025316456,-0.016231468,0.01038917,0.012804566,0.05366016,0.05366015
3,0.037974685,-0.026011566,0.016463336,0.019692637,0.08502335,0.08502333
4,0.050632913,-0.036673706,0.022531841,0.027139496,0.1208359,0.12083588
5,0.06329114,-0.047347303,0.02561578,0.037727207,0.18192595,0.18192594
6,0.07594937,-0.05875674,0.02908712,0.04903208,0.24790029,0.24790028
7,0.088607594,-0.07044053,0.033433378,0.06148817,0.32097113,0.32097113
8,0.101265825,-0.08363622,0.038860288,0.07397796,0.38663137,0.38663137
9,0.11392406,-0.09724183,0.045269422,0.087578475,0.4556486,0.4556486
10,0.12658228,-0.11163269,0.05343178,0.10174613,0.5233621,0.5233621
11,0.1392405,-0.12800206,0.060872164,0.11638814,0.6014655,0.6014655
12,0.15189874,-0.15015392,0.06275887,0.12549672,0.6716594,0.6716594
13,0.16455697,-0.17537862,0.05810174,0.13192715,0.74978924,0.74978924
14,0.17721519,-0.19877046,0.04736031,0.14372393,0.8452666,0.8452666
15,0.18987343,-0.22086534,0.03333125,0.15928134,0.93877435,0.93877435
16,0.20253165,-0.24449888,0.0169603,0.17444044,1.0395367,1.0395367
17,0.21518987,-0.27261692,2.3707747e-05,0.18586348,1.1298476,1.1298476
18,0.22784811,-0.30480796,-0.01367791,0.19775054,1.2113899,1.2113899
19,0.24050634,-0.345132,-0.018016886,0.19846761,1.257987,1.257987
20,0.25316456,-0.3892751,-0.01745829,0.19398622,1.2894795,1.2894796
21,0.2658228,-0.43688154,-0.016574798,0.19132274,1.329144,1.329144
22,0.278481,-0.48699662,-0.00616711,0.18814419,1.3511176,1.3511176
23,0.29113925,-0.53985083,0.0106499065,0.18480185,1.3559318,1.3559318
24,0.30379748,-0.5958593,0.030118573,0.19038552,1.3731813,1.3731813
25,0.3164557,-0.65113115,0.062207684,0.19620453,1.3883888,1.3883888
26,0.32911393,-0.70723724,0.10218167,0.20069535,1.3988875,1.3988875
27,0.34177217,-0.7671975,0.14391944,0.21093878,1.4212137,1.4212137
28,0.35443038,-0.8326376,0.18769531,0.21357884,1.4289156,1.4289155
29,0.36708862,-0.8976805,0.23744206,0.19372484,1.401768,1.4017678
30,0.37974685,-0.96683556,0.28805774,0.16453367,1.3658669,1.3658668
31,0.39240506,-1.0436246,0.33936682,0.1350072,1.3343539,1.3343538
32,0.4050633,-1.1237903,0.3968689,0.10176183,1.2990475,1.2990474
33,0.41772154,-1.1995275,0.46581012,0.05725861,1.259447,1.2594469
34,0.43037975,-1.2843815,0.54067826,0.017266627,1.2215519,1.2215518
35,0.443038,-1.3852489,0.6143281,-0.016636651,1.1911489,1.1911488
36,0.45569623,-1.4904915,0.70206636,-0.041198432,1.1598063,1.1598061
37,0.46835443,-1.5738206,0.8117406,-0.07742032,1.1398145,1.1398144
38,0.48101267,-1.6157249,0.94533587,-0.008276761,1.1746908,1.1746907
39,0.4936709,-1.7232956,1.0739077,0.033831924,1.1688149,1.1688147
40,0.5063291,-1.8495767,1.2085798,0.06382428,1.141744,1.1417438
41,0.51898736,-1.9650277,1.3701584,0.08234009,1.1230452,1.123045
42,0.53164554,-2.0705407,1.5581546,0.10278509,1.1051748,1.1051745
43,0.5443038,-2.1677716,1.7595143,0.16609469,1.095572,1.0955718
44,0.556962,-2.2266746,1.9870125,0.24727443,1.0772651,1.0772649
45,0.56962025,-2.221808,2.2399049,0.3252673,1.0598397,1.0598395
46,0.5822785,-2.1591933,2.5147545,0.36694407,1.024201,1.0242008
47,0.5949367,-2.0610626,2.7874308,0.4577838,1.0013907,1.0013905
48,0.6075949,-1.9309633,3.0626607,0.56404984,0.971167,0.97116673
49,0.62025315,-1.810485,3.375189,0.641725,0.9802438,0.9802435
50,0.6329114,-1.7600497,3.7332096,0.7025308,1.0278,1.0277997
51,0.6455696,-1.7138337,4.1189485,0.70396554,1.0231315,1.0231313
52,0.65822786,-1.5965493,4.5164285,0.6561519,0.96246624,0.962466
53,0.67088604,-1.5908645,4.941628,0.53661025,0.8478503,0.84785014
54,0.6835443,-1.5250767,5.4136806,0.55359584,0.8344314,0.8344313
55,0.6962025,-1.4224969,5.891119,0.71337295,0.8897141,0.889714
56,0.70886075,-1.2276286,6.328577,0.98344177,1.00408,1.0040799
57,0.721519,-1.0161648,6.7758236,1.3138332,1.1406245,1.1406244
58,0.73417723,-0.75032246,7.222177,1.6816838,1.2243514,1.2243513
