index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.004984809,0.0057419436,0.007886731,0.048366502,0.0483665
2,0.025316456,0.009854514,0.008289728,0.019040398,0.084568396,0.084568396
3,0.037974685,0.012570417,0.01244832,0.03179288,0.12661177,0.12661178
4,0.050632913,0.013547442,0.016141387,0.046048585,0.17448434,0.17448437
5,0.06329114,0.016845029,0.020202428,0.060958613,0.22289847,0.2228985
6,0.07594937,0.027875328,0.022430647,0.07365006,0.25033623,0.25033626
7,0.088607594,0.039244235,0.028646402,0.08644614,0.28239805,0.28239807
8,0.101265825,0.052497968,0.035640985,0.0989177,0.32204303,0.32204306
9,0.11392406,0.06358115,0.04255645,0.11544712,0.3680809,0.36808094
10,0.12658228,0.07142081,0.04907021,0.13567285,0.4082558,0.40825582
11,0.1392405,0.07636555,0.057624716,0.15772498,0.44953918,0.4495392
12,0.15189874,0.0706318,0.06845624,0.18024185,0.5048742,0.5048742
13,0.16455697,0.06504308,0.08756651,0.19909893,0.5579445,0.5579445
14,0.17721519,0.059688948,0.110950515,0.21627487,0.6083618,0.6083618
15,0.18987343,0.054971464,0.13446511,0.23657739,0.6648002,0.6648002
16,0.20253165,0.05542892,0.15984324,0.25865445,0.7379567,0.7379567
17,0.21518987,0.06138682,0.18890928,0.2786816,0.801808,0.801808
18,0.22784811,0.071602255,0.21989928,0.2998271,0.8532517,0.8532517
19,0.24050634,0.07554774,0.25037533,0.32810602,0.90528405,0.90528405
20,0.25316456,0.07020401,0.28161725,0.35980377,0.9757369,0.9757369
21,0.2658228,0.052676834,0.3158013,0.3888811,1.0667672,1.0667672
22,0.278481,0.028342763,0.34922528,0.41892883,1.2350636,1.2350636
23,0.29113925,-0.021437785,0.3658046,0.4371769,1.3924487,1.3924487
24,0.30379748,-0.072542906,0.3902589,0.45809823,1.5514193,1.5514193
25,0.3164557,-0.11076902,0.41772267,0.5004943,1.7807972,1.7807972
26,0.32911393,-0.14873025,0.45534465,0.5428742,1.9200176,1.9200176
27,0.34177217,-0.16866846,0.48350877,0.60294724,2.0713325,2.0713325
28,0.35443038,-0.1488599,0.50369453,0.67540264,2.303996,2.303996
29,0.36708862,-0.10300192,0.5022605,0.7265653,2.775245,2.7752447
30,0.37974685,-0.015773408,0.4915629,0.74375373,3.085795,3.0857947
31,0.39240506,0.07059425,0.45522198,0.7633485,3.2839649,3.2839646
32,0.4050633,0.16235605,0.42301074,0.78404397,3.5002582,3.500258
33,0.41772154,0.24954659,0.39686775,0.84000105,3.689129,3.6891289
34,0.43037975,0.32968938,0.44209749,0.8808981,4.323117,4.323117
35,0.443038,0.38807613,0.47336942,0.9865197,4.653153,4.653153
36,0.45569623,0.43389168,0.48525497,1.108429,4.97466,4.97466
37,0.46835443,0.5088361,0.56257606,1.2130256,5.1185837,5.1185837
38,0.48101267,0.5419032,0.6604676,1.3354386,5.3058553,5.3058553
39,0.4936709,0.55167747,0.78326476,1.4593668,5.5362015,5.5362015
40,0.5063291,0.526204,0.8991771,1.6008596,5.7555437,5.7555437
41,0.51898736,0.53514624,1.0610509,1.7170146,6.1003203,6.1003203
42,0.53164554,0.45363146,1.2232625,1.8373144,6.474687,6.474687
43,0.5443038,0.4146673,1.4220467,1.9522195,6.9220943,6.9220943
44,0.556962,0.38960364,1.6079631,2.115818,7.312762,7.312762
45,0.56962025,0.37526646,1.7596725,2.3389919,7.645104,7.645104
46,0.5822785,0.3844426,1.9028584,2.589242,7.892888,7.892888
47,0.5949367,0.40457273,2.071574,2.8464577,8.12935,8.12935
48,0.6075949,0.45486546,2.3011253,3.0730128,8.362115,8.362115
49,0.62025315,0.49188113,2.5690577,3.2942874,8.6014185,8.6014185
50,0.6329114,0.45992082,2.8885705,3.4823422,8.796908,8.796909
51,0.6455696,0.34124887,3.2027175,3.694021,8.953316,8.953317
52,0.65822786,0.20217822,3.5660858,3.8657837,9.117984,9.117985
53,0.67088604,-0.007121265,3.951273,3.9865646,9.252031,9.252032
54,0.6835443,-0.25078705,4.3593698,4.0987587,9.397422,9.397423
55,0.6962025,-0.4755841,4.817514,4.2118106,9.582485,9.582486
56,0.70886075,-0.71824867,5.294338,4.377717,9.805844,9.805845
57,0.721519,-0.95895785,5.8265014,4.5162954,10.016136,10.016137
58,0.73417723,-1.185772,6.403956,4.6807704,10.214752,10.214753
59,0.7468354,-1.4716964,7.004485,4.858523,10.385778,10.385779
60,0.75949365,-1.7399344,7.6796713,4.9867845,10.535437,10.535438
61,0.7721519,-2.0305736,8.416657,5.0379934,10.693717,10.693718
62,0.7848101,-2.385671,9.188018,5.1058216,10.8863735,10.886374
63,0.79746836,-2.7740107,10.017363,5.171989,11.089429,11.08943
64,0.8101266,-3.1085732,10.933775,5.3164506,11.294059,11.29406
65,0.8227848,-3.3909168,11.942381,5.4890976,11.522884,11.522885
66,0.835443,-3.7226746,13.014385,5.700454,11.738992,11.738993
67,0.84810126,-4.185967,14.138649,5.8798018,11.899456,11.899457
68,0.8607595,-4.7426095,15.330372,6.0534406,12.002913,12.002914
69,0.87341774,-5.380094,16.586548,6.319091,12.029467,12.029468
70,0.886076,-6.1296487,17.858082,6.7911625,12.06133,12.061331
71,0.89873415,-7.321526,18.969362,7.1507626,12.134229,12.13423
72,0.9113924,-8.823324,19.930101,7.4599032,12.1680765,12.168077
73,0.9240506,-10.416252,20.945171,7.8878746,12.262032,12.2620325
74,0.93670887,-11.923041,22.227707,8.486532,12.357842,12.357843
75,0.9493671,-13.580206,23.61961,8.800248,12.177337,12.177338
76,0.96202534,-15.294199,25.098072,9.307513,11.86002,11.86002
77,0.9746835,-17.065445,26.682356,10.015138,11.640103,11.640103
78,0.98734176,-19.153257,28.29796,10.306292,11.48476,11.48476
79,1.0,-21.560408,29.646772,11.153747,11.513102,11.513102
