index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.012658228,0.0012994292,0.0028824457,0.010731311,0.0074982643,0.0074982727
2,0.025316456,0.0027942248,0.006172741,0.02277733,0.015796933,0.015796944
3,0.037974685,0.004425343,0.0098430235,0.035981428,0.024845289,0.024845306
4,0.050632913,0.006506404,0.013700752,0.05019324,0.03478103,0.034781054
5,0.06329114,0.009678388,0.016937902,0.06544024,0.04622244,0.04622247
6,0.07594937,0.012799193,0.020019447,0.08190499,0.05855751,0.058557544
7,0.088607594,0.015728045,0.022537945,0.09980007,0.07229512,0.07229516
8,0.101265825,0.019139728,0.025306793,0.118994825,0.08688434,0.08688438
9,0.11392406,0.02524044,0.028734243,0.13895413,0.100027494,0.100027524
10,0.12658228,0.03331734,0.033230275,0.15966369,0.11231865,0.11231869
11,0.1392405,0.042835,0.03883246,0.18126763,0.12481647,0.12481651
12,0.15189874,0.053251818,0.04583069,0.20391528,0.13760534,0.13760538
13,0.16455697,0.06525478,0.053279072,0.22769982,0.15109712,0.15109716
14,0.17721519,0.07776408,0.05992959,0.2536256,0.16553964,0.16553968
15,0.18987343,0.089922346,0.067553505,0.28176707,0.18135831,0.18135835
16,0.20253165,0.1029896,0.07674236,0.31160387,0.19738516,0.1973852
17,0.21518987,0.117159724,0.08821378,0.34303504,0.21186613,0.21186617
18,0.22784811,0.13592774,0.10047567,0.37498403,0.22621806,0.22621809
19,0.24050634,0.1568451,0.11354887,0.40901187,0.2403364,0.24033643
20,0.25316456,0.18003894,0.12818542,0.44501328,0.2541955,0.25419557
21,0.2658228,0.207123,0.14481384,0.48197508,0.26937234,0.2693724
22,0.278481,0.23615178,0.16222537,0.5221213,0.28548497,0.28548503
23,0.29113925,0.26453504,0.18183112,0.5669578,0.30397254,0.30397257
24,0.30379748,0.29207996,0.20176606,0.61740255,0.32439694,0.32439697
25,0.3164557,0.32049823,0.22736344,0.6703539,0.3460817,0.34608173
26,0.32911393,0.3518377,0.25560975,0.72616035,0.37004095,0.37004098
27,0.34177217,0.38917428,0.2850267,0.7838492,0.3940362,0.39403623
28,0.35443038,0.43175897,0.31300238,0.84512955,0.41927326,0.4192733
29,0.36708862,0.47418922,0.33578226,0.915496,0.4491394,0.44913942
30,0.37974685,0.5198855,0.36194384,0.9900123,0.4815438,0.48154384
31,0.39240506,0.57451713,0.3939349,1.0645828,0.514892,0.514892
32,0.4050633,0.6380627,0.4287613,1.140609,0.54835045,0.54835045
33,0.41772154,0.7103688,0.46803033,1.217891,0.5802106,0.5802106
34,0.43037975,0.77393806,0.513693,1.310547,0.6140036,0.6140036
35,0.443038,0.8409848,0.54686844,1.4175508,0.6519473,0.6519473
36,0.45569623,0.9234239,0.5749509,1.5279086,0.68782234,0.68782234
37,0.46835443,1.0197823,0.5865929,1.6440527,0.7264759,0.7264759
38,0.48101267,1.1315042,0.5998865,1.7622807,0.7643093,0.7643093
39,0.4936709,1.2588964,0.62229156,1.8814042,0.7970068,0.7970068
40,0.5063291,1.4075359,0.6379141,1.9982055,0.82163155,0.82163155
41,0.51898736,1.5614796,0.6632993,2.1298912,0.84428114,0.84428114
42,0.53164554,1.7141747,0.6896306,2.2855291,0.8692374,0.8692374
43,0.5443038,1.8799887,0.7268074,2.4490402,0.8939465,0.8939465
44,0.556962,2.0641792,0.7804459,2.6135402,0.91585004,0.91585004
