index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.07009937,0.28341,0.21502489,-0.0,-0.0
1,0.025641026,0.073560245,0.30706573,0.21588705,0.0343049,0.03430489
2,0.051282052,0.07707822,0.33576298,0.21717675,0.07093106,0.070931055
3,0.07692308,0.081176616,0.36827454,0.22224008,0.103077695,0.10307768
4,0.102564104,0.082396895,0.4059488,0.23043784,0.13065723,0.1306572
5,0.12820514,0.09149897,0.44798172,0.24165513,0.16027291,0.16027287
6,0.15384616,0.11048518,0.49178648,0.26008925,0.18840899,0.18840896
7,0.17948718,0.12721886,0.5409083,0.28676355,0.21238968,0.21238965
8,0.20512821,0.13942848,0.6006457,0.31471598,0.2404555,0.24045548
9,0.23076923,0.15391946,0.66872525,0.34867662,0.2675871,0.26758707
10,0.25641027,0.17571174,0.7451973,0.39054883,0.3011848,0.30118477
11,0.2820513,0.19754222,0.8350668,0.43930072,0.33309442,0.33309436
12,0.30769232,0.22113328,0.9379785,0.499178,0.36497036,0.3649703
13,0.33333334,0.23496996,1.0579637,0.569753,0.3922641,0.39226407
14,0.35897437,0.24294743,1.1971266,0.6483222,0.41797414,0.41797408
15,0.3846154,0.25037754,1.360703,0.7310503,0.4481024,0.44810236
16,0.41025642,0.25456247,1.5514545,0.82231516,0.48039055,0.4803905
17,0.43589744,0.24522798,1.7773244,0.91606474,0.5133882,0.51338816
18,0.46153846,0.23445933,2.0422297,1.018139,0.5411334,0.54113334
19,0.4871795,0.2198186,2.353887,1.1271176,0.5755539,0.57555383
20,0.5128205,0.16311371,2.7144003,1.245185,0.6213294,0.62132937
21,0.5384615,0.07478162,3.1297572,1.3817829,0.6785407,0.6785406
22,0.56410253,-0.0048089474,3.6170201,1.5252836,0.74217325,0.74217314
23,0.5897436,-0.06005847,4.1797633,1.6874154,0.81852895,0.81852883
24,0.61538464,-0.077298455,4.8105464,1.9071983,0.88995963,0.8899595
25,0.64102566,-0.043287974,5.5099587,2.2057467,0.93799305,0.93799293
26,0.6666667,0.0422001,6.3062406,2.5461848,0.9794074,0.9794073
27,0.6923077,0.16186811,7.2560606,2.8343976,1.0399857,1.0399855
28,0.71794873,0.33244568,8.368609,3.0718062,1.108294,1.1082939
29,0.74358976,0.55767953,9.603676,3.4850862,1.1722717,1.1722716
30,0.7692308,0.88612854,10.997714,3.9967713,1.2553182,1.255318
31,0.7948718,1.3086915,12.583421,4.6377363,1.333646,1.3336459
32,0.82051283,1.7827797,14.400537,5.441968,1.4191806,1.4191804
33,0.84615386,2.1666667,16.47964,6.5035267,1.4709562,1.470956
34,0.8717949,2.3745317,18.97984,7.657568,1.5010281,1.501028
35,0.8974359,2.4648337,21.89208,9.053131,1.5165454,1.5165453
36,0.9230769,2.1988823,25.497917,10.131678,1.5186392,1.5186391
37,0.94871795,1.6270018,26.67334,14.221308,1.5189687,1.5189686
38,0.974359,0.9806876,28.001722,18.843103,1.5210686,1.5210685
39,1.0,0.23345172,29.537405,24.18621,1.5211573,1.5211571
