index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,-11.701916,24.995934,-21.335672,-0.0,-0.0
1,0.025641026,-11.70919,25.016912,-21.345297,-0.0006346886,-0.0006346769
2,0.051282052,-11.717943,25.042355,-21.356798,-0.0014180862,-0.0014180744
3,0.07692308,-11.727953,25.071703,-21.370035,-0.002276922,-0.0022769193
4,0.102564104,-11.7394285,25.105658,-21.38536,-0.0032733039,-0.003273292
5,0.12820514,-11.75283,25.144741,-21.40327,-0.004538191,-0.004538205
6,0.15384616,-11.768758,25.189268,-21.42387,-0.0060297744,-0.006029803
7,0.17948718,-11.78645,25.240446,-21.44703,-0.007844061,-0.007844095
8,0.20512821,-11.806295,25.299253,-21.47361,-0.009798836,-0.009798844
9,0.23076923,-11.830271,25.366167,-21.505554,-0.011825073,-0.011825077
10,0.25641027,-11.856819,25.444166,-21.542725,-0.014609005,-0.014609016
11,0.2820513,-11.887973,25.534529,-21.586372,-0.017942432,-0.017942455
12,0.30769232,-11.924649,25.639013,-21.637514,-0.021578994,-0.021579036
13,0.33333334,-11.965051,25.760445,-21.69561,-0.026003052,-0.026003106
14,0.35897437,-12.009292,25.903973,-21.752613,-0.031648234,-0.0316483
15,0.3846154,-12.057633,26.070248,-21.814817,-0.03686275,-0.036862817
16,0.41025642,-12.115013,26.262644,-21.883043,-0.044204812,-0.04420489
17,0.43589744,-12.175566,26.484348,-21.968815,-0.0574908,-0.057490874
18,0.46153846,-12.237749,26.741327,-22.074097,-0.07722886,-0.07722895
19,0.4871795,-12.285861,27.044065,-22.19921,-0.103862,-0.1038621
20,0.5128205,-12.342148,27.397514,-22.342003,-0.12737861,-0.12737872
21,0.5384615,-12.39665,27.805738,-22.515757,-0.14510822,-0.14510833
22,0.56410253,-12.469711,28.280613,-22.70158,-0.17014408,-0.17014419
23,0.5897436,-12.594774,28.816673,-22.911522,-0.18443316,-0.18443327
24,0.61538464,-12.755678,29.419756,-23.156944,-0.20562336,-0.20562346
25,0.64102566,-12.895733,30.115494,-23.436104,-0.2151415,-0.21514162
26,0.6666667,-13.0179405,30.917591,-23.755482,-0.21225646,-0.2122566
27,0.6923077,-13.139956,31.858925,-24.078505,-0.21042874,-0.21042888
28,0.71794873,-13.259408,32.957184,-24.41044,-0.20534897,-0.2053491
29,0.74358976,-13.2809105,34.236443,-24.748394,-0.19928351,-0.19928364
30,0.7692308,-13.34175,35.731194,-25.044308,-0.19233441,-0.19233455
31,0.7948718,-13.4426365,37.47698,-25.296873,-0.18601678,-0.18601692
32,0.82051283,-13.60237,39.51041,-25.46633,-0.17681986,-0.17682
33,0.84615386,-13.662317,41.8579,-25.801727,-0.17089571,-0.17089586
34,0.8717949,-13.840916,44.602036,-26.105753,-0.17257112,-0.17257127
35,0.8974359,-13.797659,47.834923,-26.073866,-0.17160639,-0.17160654
36,0.9230769,-12.774565,51.23921,-25.346077,-0.105385356,-0.1053855
37,0.94871795,-9.318885,53.3436,-25.454226,0.15980104,0.1598009
38,0.974359,-6.069829,54.61914,-24.911097,0.19642588,0.19642574
39,1.0,-0.96747446,54.50999,-24.682186,0.34437722,0.34437704
