index,timestep,sample
0,0.0,-2.685077
1,0.01010101,-3.175088
2,0.02020202,-3.7328227
3,0.030303031,-4.1602526
4,0.04040404,-4.4932237
5,0.05050505,-4.7278657
6,0.060606062,-4.8623304
7,0.07070707,-4.943041
8,0.08080808,-4.9604216
9,0.09090909,-4.9537473
10,0.1010101,-4.919254
11,0.11111111,-4.8551474
12,0.121212125,-4.7892294
13,0.13131313,-4.7076325
14,0.14141414,-4.621842
15,0.15151516,-4.537921
16,0.16161616,-4.4464135
17,0.17171717,-4.358765
18,0.18181819,-4.2665973
19,0.1919192,-4.1797795
20,0.2020202,-4.0930605
21,0.21212122,-4.003325
22,0.22222222,-3.9182718
23,0.23232323,-3.8368742
24,0.24242425,-3.7576313
25,0.25252524,-3.6807835
26,0.26262626,-3.6073287
27,0.27272728,-3.5374954
28,0.28282827,-3.4743993
29,0.2929293,-3.4113564
30,0.3030303,-3.3524585
31,0.3131313,-3.2985728
32,0.32323232,-3.2409606
33,0.33333334,-3.1810749
34,0.34343433,-3.1283326
35,0.35353535,-3.0776503
36,0.36363637,-3.0283325
37,0.37373737,-2.9818735
38,0.3838384,-2.9372818
39,0.3939394,-2.890446
40,0.4040404,-2.8473759
41,0.41414142,-2.806316
42,0.42424244,-2.768015
43,0.43434343,-2.7343361
44,0.44444445,-2.700799
45,0.45454547,-2.6725726
46,0.46464646,-2.650696
47,0.47474748,-2.622016
48,0.4848485,-2.5928657
49,0.4949495,-2.5714927
50,0.5050505,-2.5453756
51,0.5151515,-2.5214171
52,0.5252525,-2.5012672
53,0.53535354,-2.479026
54,0.54545456,-2.4588053
55,0.5555556,-2.440743
56,0.56565654,-2.4240963
57,0.57575756,-2.408963
58,0.5858586,-2.3948169
59,0.5959596,-2.381641
60,0.6060606,-2.367218
61,0.61616164,-2.3526845
62,0.6262626,-2.3382726
63,0.6363636,-2.3264089
64,0.64646465,-2.3122494
65,0.65656567,-2.2999504
66,0.6666667,-2.2917647
67,0.6767677,-2.2821195
68,0.68686867,-2.2726736
69,0.6969697,-2.265573
70,0.7070707,-2.2573447
71,0.7171717,-2.2521956
72,0.72727275,-2.2445302
73,0.7373737,-2.2392313
74,0.74747473,-2.234762
75,0.75757575,-2.2282133
76,0.7676768,-2.2244802
77,0.7777778,-2.2244236
78,0.7878788,-2.2268975
79,0.7979798,-2.223858
80,0.8080808,-2.2201445
81,0.8181818,-2.2208717
82,0.82828283,-2.2224681
83,0.83838385,-2.2248254
84,0.8484849,-2.2297802
85,0.85858583,-2.232953
86,0.86868685,-2.2347844
87,0.8787879,-2.2362206
88,0.8888889,-2.241572
89,0.8989899,-2.243802
90,0.90909094,-2.24766
91,0.9191919,-2.2541494
92,0.9292929,-2.2568452
93,0.93939394,-2.262299
94,0.94949496,-2.2660675
95,0.959596,-2.2693882
96,0.969697,-2.272658
97,0.97979796,-2.2748814
98,0.989899,-2.2794986
99,1.0,-2.2840009
