index,timestep,sample
0,1.0,-113.95059
1,0.998999,-107.544586
2,0.997998,-108.16868
3,0.996997,-111.22132
4,0.995996,-111.72017
5,0.994995,-120.77483
6,0.993994,-121.92027
7,0.992993,-124.55568
8,0.991992,-126.34459
9,0.990991,-122.76633
10,0.98999,-128.12328
11,0.988989,-126.1424
12,0.987988,-123.35605
13,0.986987,-122.16974
14,0.985986,-119.381485
15,0.984985,-118.861885
16,0.983984,-126.13597
17,0.982983,-127.07241
18,0.981982,-126.265625
19,0.980981,-125.11581
20,0.97998,-121.886986
21,0.978979,-120.699265
22,0.977978,-121.019684
23,0.976977,-118.68867
24,0.975976,-113.22551
25,0.974975,-114.8182
26,0.973974,-115.62151
27,0.972973,-116.46511
28,0.971972,-119.48961
29,0.970971,-122.96126
30,0.96997,-122.44016
31,0.968969,-121.73486
32,0.967968,-120.64571
33,0.966967,-118.2308
34,0.965966,-120.793526
35,0.964965,-126.81979
36,0.963964,-121.60843
37,0.962963,-125.4046
38,0.961962,-127.41816
39,0.960961,-129.40947
40,0.95996,-126.64056
41,0.958959,-126.351524
42,0.957958,-128.51012
43,0.956957,-128.92258
44,0.955956,-127.955925
45,0.954955,-127.85262
46,0.953954,-128.30803
47,0.952953,-129.28555
48,0.951952,-129.10733
49,0.950951,-127.96149
50,0.94995,-130.2507
51,0.948949,-126.53053
52,0.9479479,-124.84326
53,0.9469469,-123.625206
54,0.9459459,-120.75892
55,0.9449449,-119.9145
56,0.9439439,-125.07156
57,0.9429429,-124.70121
58,0.9419419,-123.74415
59,0.9409409,-124.49324
60,0.9399399,-124.55312
61,0.9389389,-130.91634
62,0.9379379,-129.15155
63,0.9369369,-130.57854
64,0.9359359,-127.54428
65,0.9349349,-121.90882
66,0.9339339,-124.87793
67,0.9329329,-123.15805
68,0.9319319,-128.8617
69,0.9309309,-127.393715
70,0.9299299,-129.08191
71,0.9289289,-127.63949
72,0.9279279,-130.61444
73,0.9269269,-127.38353
74,0.9259259,-130.33215
75,0.9249249,-133.63493
76,0.9239239,-135.42326
77,0.9229229,-138.10324
78,0.9219219,-132.01862
79,0.9209209,-130.62228
80,0.9199199,-128.4748
81,0.9189189,-126.332985
82,0.9179179,-129.95079
83,0.9169169,-124.17028
84,0.9159159,-123.7721
85,0.9149149,-125.8076
86,0.9139139,-125.39343
87,0.9129129,-124.52189
88,0.9119119,-125.640816
89,0.9109109,-125.68707
90,0.9099099,-129.51207
91,0.9089089,-134.07916
92,0.9079079,-132.31331
93,0.9069069,-129.99837
94,0.9059059,-134.52399
95,0.9049049,-138.33913
96,0.9039039,-142.5719
97,0.9029029,-135.90273
98,0.9019019,-137.63036
99,0.9009009,-137.1994
100,0.8998999,-136.953
