id,prior_position,prior_time,prior:smax_gaussian,prior:receptor_smax_gaussian,integrand:TotalIntegrand,integrand:FlowIntegrand
1AVX_p0,"[-32.85894012451172, 15.078311920166016, 21.70478057861328]",1.0,-13.94827651977539,-20.190927505493164,-0.00023308773,-0.00023315834
1AVX_p1,"[1.6127567291259766, -26.576824188232422, 3.281399726867676]",1.0,-13.360239028930664,-13.000332832336426,-0.91157854,-0.91157854
1AVX_p2,"[-17.77680778503418, -16.64368438720703, 10.495829582214355]",1.0,-13.351069450378418,-14.80918025970459,1.2010646,1.201065
1AVX_p3,"[-5.285909652709961, 25.446374893188477, 5.163625240325928]",1.0,-13.350476264953613,-14.573894500732422,1.1605256,1.1605254
1AVX_p4,"[12.53331470489502, 29.315553665161133, -15.82507038116455]",1.0,-13.664251327514648,-12.992794036865234,8.350909,8.350909
1AVX_p5,"[-12.502776145935059, -22.508935928344727, -7.35610294342041]",1.0,-13.35878849029541,-14.828536987304688,3.4596148,3.4596148
1AVX_p6,"[-0.5444481372833252, 36.45063018798828, -11.804910659790039]",1.0,-13.776130676269531,-13.220447540283203,9.991617,9.991617
1AVX_p7,"[33.375999450683594, -12.728849411010742, 2.164689540863037]",1.0,-13.671890258789062,-13.00572395324707,1.9435923,1.9435928
1AVX_p8,"[0.8918985724449158, -25.90174674987793, 3.9784798622131348]",1.0,-13.342366218566895,-12.9931640625,-0.6001203,-0.6001203
1AVX_p9,"[20.75676727294922, 28.056692123413086, -11.632610321044922]",1.0,-13.712263107299805,-12.978681564331055,2.8342304,2.834231
1AVX_p10,"[18.911184310913086, 30.68737030029297, 5.767914295196533]",1.0,-13.700750350952148,-12.99032211303711,-0.13999414,-0.13999403
1AVX_p11,"[-32.75513458251953, 15.30211067199707, 21.706161499023438]",1.0,-13.94830322265625,-18.400632858276367,-0.000844714,-0.00084480364
1AVX_p12,"[-32.83516311645508, 15.209663391113281, 21.64990997314453]",1.0,-13.948297500610352,-22.114742279052734,-0.0005448414,-0.0005447909
1AVX_p13,"[16.104482650756836, 28.32307243347168, -15.879207611083984]",1.0,-13.690241813659668,-12.978654861450195,6.3362484,6.3362484
1AVX_p14,"[11.506646156311035, -12.838228225708008, -27.002700805664062]",1.0,-13.53061294555664,-13.457487106323242,11.110006,11.110006
1AVX_p15,"[23.1520938873291, 20.23369789123535, 3.533851146697998]",1.0,-13.49258041381836,-15.048091888427734,0.71861726,0.71861714
1AVX_p16,"[21.762636184692383, 20.5251407623291, 4.24483060836792]",1.0,-13.467581748962402,-15.025606155395508,0.55387557,0.55387586
1AVX_p17,"[-1.8319876194000244, 25.375577926635742, 5.768269062042236]",1.0,-13.338491439819336,-14.551944732666016,1.8500388,1.8500386
1AVX_p18,"[-5.294987678527832, -16.569656372070312, 12.330215454101562]",1.0,-13.212977409362793,-14.557900428771973,1.6240636,1.6240636
1AVX_p19,"[-34.462745666503906, 16.593650817871094, 9.884928703308105]",1.0,-13.827486991882324,-16.195987701416016,4.0751753,4.0751753
1AVX_p20,"[-32.852779388427734, 15.202333450317383, 21.62963104248047]",1.0,-13.948328971862793,-16.569618225097656,-0.00045806283,-0.0004581515
1AVX_p21,"[-32.85670471191406, 15.174718856811523, 21.642797470092773]",1.0,-13.948322296142578,-17.533302307128906,-0.0014473659,-0.0014473045
1AVX_p22,"[-32.752166748046875, 15.342455863952637, 21.68343734741211]",1.0,-13.948334693908691,-17.113271713256836,-0.0017002637,-0.00170027
1AVX_p23,"[32.08958053588867, 3.036484479904175, -12.854230880737305]",1.0,-13.629404067993164,-14.66590690612793,0.54969394,0.54969394
1AVX_p24,"[33.633296966552734, 21.56100082397461, -7.502744674682617]",1.0,-13.878389358520508,-13.324554443359375,9.666947,9.666947
1AVX_p25,"[-3.646994113922119, 32.30635070800781, -3.5287182331085205]",1.0,-13.554548263549805,-13.120587348937988,4.7086596,4.708659
1AVX_p26,"[-32.81806182861328, 14.734817504882812, 10.319108963012695]",1.0,-13.738533020019531,-14.898107528686523,0.95545745,0.9554577
1AVX_p27,"[-6.915863990783691, 29.00914764404297, 15.129945755004883]",1.0,-13.581671714782715,-13.00575065612793,6.204513,6.204513
1AVX_p28,"[-12.052343368530273, -18.352256774902344, 12.471216201782227]",1.0,-13.314627647399902,-14.804847717285156,2.011088,2.0110874
1AVX_p29,"[-6.986259460449219, 28.173664093017578, 14.268482208251953]",1.0,-13.541604042053223,-13.004541397094727,10.400875,10.400875
1AVX_p30,"[6.941171169281006, 25.48731231689453, 7.608382225036621]",1.0,-13.38022518157959,-14.689847946166992,0.086977415,0.08697741
1AVX_p31,"[-32.72883224487305, 15.331094741821289, 21.72538948059082]",1.0,-13.94830322265625,-17.120237350463867,-0.00047300407,-0.00047284644
1AVX_p32,"[5.619120121002197, 24.615554809570312, 21.632797241210938]",1.0,-13.574563026428223,-14.614054679870605,3.5456254,3.5456254
1AVX_p33,"[-2.9193155765533447, 17.227609634399414, -12.930743217468262]",1.0,-13.222917556762695,-14.416303634643555,1.8812944,1.8812941
1AVX_p34,"[-7.658134460449219, 28.553760528564453, -8.952290534973145]",1.0,-13.49046802520752,-13.26109504699707,0.6880905,0.68809015
1AVX_p35,"[-13.146541595458984, -23.643205642700195, -6.10086727142334]",1.0,-13.387660026550293,-14.893526077270508,4.934195,4.934195
1AVX_p36,"[-0.6151537895202637, 33.664085388183594, 2.8802998065948486]",1.0,-13.59482192993164,-13.024152755737305,6.5492215,6.549221
1AVX_p37,"[20.794374465942383, 26.69593048095703, -13.409092903137207]",1.0,-13.696454048156738,-12.984078407287598,-1.6207789,-1.6207787
1AVX_p38,"[-20.581418991088867, -13.466126441955566, 14.521808624267578]",1.0,-13.4136381149292,-14.929357528686523,1.8484353,1.8484354
1AVX_p39,"[16.295520782470703, 32.834407806396484, -12.218544006347656]",1.0,-13.789816856384277,-13.010353088378906,0.49080634,0.4908061
1AVX_p40,"[-32.89932632446289, 15.20921802520752, 21.552745819091797]",1.0,-13.948301315307617,-20.40835952758789,0.00036125313,0.00036124996
1AVX_p41,"[-32.75653076171875, 15.157058715820312, 21.804431915283203]",1.0,-13.948274612426758,-18.001598358154297,-0.00043298653,-0.00043305033
1AVX_p42,"[-22.074342727661133, -13.369609832763672, -22.88442611694336]",1.0,-13.621363639831543,-14.994158744812012,-6.5828686,-6.5828686
1AVX_p43,"[-6.777411460876465, -27.318004608154297, 14.934362411499023]",1.0,-13.524431228637695,-14.79462718963623,-2.5657454,-2.5657456
1AVX_p44,"[-25.036691665649414, 17.666885375976562, 14.795945167541504]",1.0,-13.60367202758789,-14.886693954467773,-2.2652938,-2.2652938
1AVX_p45,"[-2.5501368045806885, 26.735469818115234, 20.011035919189453]",1.0,-13.58359146118164,-13.009095191955566,7.415827,7.415827
1AVX_p46,"[15.867982864379883, 30.736600875854492, 1.5971770286560059]",1.0,-13.626564979553223,-12.997182846069336,-2.9734166,-2.9734168
1AVX_p47,"[17.68219566345215, 28.33562469482422, -11.37346076965332]",1.0,-13.652031898498535,-12.974814414978027,8.037764,8.037764
1AVX_p48,"[-32.67236328125, 15.349139213562012, 21.799463272094727]",1.0,-13.94835090637207,-24.8875732421875,-0.0006413001,-0.000641332
1AVX_p49,"[20.36376953125, 27.819074630737305, -14.099355697631836]",1.0,-13.731172561645508,-12.987576484680176,-1.4622893,-1.4622891
1AVX_p50,"[32.96696472167969, 21.962905883789062, -4.5978593826293945]",1.0,-13.843925476074219,-13.272546768188477,7.841606,7.841606
1AVX_p51,"[-9.395515441894531, -24.182214736938477, 3.807446241378784]",1.0,-13.342381477355957,-14.881583213806152,4.7751536,4.7751536
1AVX_p52,"[-24.62390899658203, 22.47513198852539, 0.05976295471191406]",1.0,-13.577892303466797,-15.730653762817383,1.339339,1.3393389
1AVX_p53,"[-20.4962215423584, -12.813089370727539, 15.295917510986328]",1.0,-13.414983749389648,-14.919647216796875,3.813239,3.813239
1AVX_p54,"[-24.68841552734375, 12.38459587097168, -15.60472297668457]",1.0,-13.519521713256836,-15.471370697021484,1.0060483,1.0060482
1AVX_p55,"[-21.00203514099121, -13.373956680297852, 14.467216491699219]",1.0,-13.421101570129395,-14.944297790527344,1.1320094,1.1320093
1AVX_p56,"[-13.987878799438477, -23.416589736938477, -5.132594108581543]",1.0,-13.388375282287598,-14.917031288146973,3.3440099,3.3440099
1AVX_p57,"[-4.671689033508301, -27.586956024169922, 14.698265075683594]",1.0,-13.515355110168457,-14.807847023010254,-2.3046243,-2.3046248
1AVX_p58,"[8.423958778381348, -24.90174674987793, 16.536531448364258]",1.0,-13.496251106262207,-14.679508209228516,-2.3169532,-2.3169532
1AVX_p59,"[14.949641227722168, 28.34048843383789, -14.036845207214355]",1.0,-13.640246391296387,-12.972334861755371,3.5110776,3.5110776
1AVX_p60,"[3.583019495010376, -26.158939361572266, 7.545746803283691]",1.0,-13.379334449768066,-12.985480308532715,-2.7436075,-2.7436075
1AVX_p61,"[-32.848785400390625, 15.190879821777344, 21.642650604248047]",1.0,-13.948302268981934,-22.609703063964844,-0.0011880461,-0.0011880435
