id,prior_position,prior_time,prior:smax_gaussian,prior:receptor_smax_gaussian,integrand:TotalIntegrand,integrand:FlowIntegrand
1AVX_p0,"[-88.66600799560547, 39.65534591674805, 46.47236251831055]",1.0,-19.401456832885742,-16.973752975463867,14.423767,-0.00026239228
1AVX_p1,"[1.6246919631958008, 9.963300704956055, 9.951703071594238]",1.0,-13.072043418884277,-13.773491859436035,10.344727,13.4107895
1AVX_p2,"[-12.793859481811523, 5.095837593078613, -12.945621490478516]",1.0,-13.15887451171875,-13.654865264892578,2.86872,1.7799625
1AVX_p3,"[21.156536102294922, -25.794876098632812, 7.939902305603027]",1.0,-13.613750457763672,-13.26486587524414,9.5238085,14.311808
1AVX_p4,"[-14.684127807617188, -0.4049644470214844, -7.931342601776123]",1.0,-13.115238189697266,-13.856748580932617,4.4687424,10.489721
1AVX_p5,"[-8.613279342651367, 19.449495315551758, 26.182594299316406]",1.0,-13.592630386352539,-13.380677223205566,15.75514,21.370707
1AVX_p6,"[48.40172576904297, 5.614964962005615, -16.78492546081543]",1.0,-14.435956954956055,-13.807323455810547,11.791016,9.636572
1AVX_p7,"[19.865921020507812, 22.09198760986328, -11.114255905151367]",1.0,-13.519429206848145,-14.186880111694336,7.5463333,10.09111
1AVX_p8,"[23.3601016998291, 16.783071517944336, 25.198659896850586]",1.0,-13.772818565368652,-14.546242713928223,6.981809,12.273104
1AVX_p9,"[2.34700608253479, 0.49142423272132874, 40.385406494140625]",1.0,-13.86970329284668,-14.940505981445312,8.443763,10.615229
1AVX_p10,"[22.146930694580078, 4.597761631011963, 2.5124363899230957]",1.0,-13.248151779174805,-13.384963989257812,7.6562166,14.404355
1AVX_p11,"[-69.42657470703125, 53.009979248046875, 43.72453689575195]",1.0,-18.26148796081543,-14.380735397338867,16.401201,-0.0006691647
1AVX_p12,"[-87.11359405517578, 1.6387618780136108, 64.4502944946289]",1.0,-19.485576629638672,-15.0628662109375,14.798775,-0.00046056355
1AVX_p13,"[12.347766876220703, -1.0543196201324463, -35.54716491699219]",1.0,-13.747730255126953,-13.606188774108887,1.6041472,5.0692563
1AVX_p14,"[21.152042388916016, 17.82276153564453, -27.723430633544922]",1.0,-13.812435150146484,-14.314469337463379,12.191313,11.773723
1AVX_p15,"[1.0092384815216064, -11.740765571594238, -31.027423858642578]",1.0,-13.572388648986816,-13.644371032714844,8.151362,13.971568
1AVX_p16,"[-4.837099075317383, 27.224918365478516, 24.549968719482422]",1.0,-13.720016479492188,-15.060510635375977,6.445628,9.779485
1AVX_p17,"[6.570598602294922, 13.515568733215332, -6.370187282562256]",1.0,-13.108420372009277,-14.121461868286133,8.155851,2.3097556
